,Count,Min,Mean,Median,Max
2022-10-25 00:30:00+02:00,75.0,28.0,279.06666666666666,184.0,2708.0
2022-10-25 01:00:00+02:00,75.0,36.0,245.6,162.0,2682.0
2022-10-25 01:30:00+02:00,75.0,12.0,240.93333333333334,152.0,2764.0
2022-10-25 02:00:00+02:00,75.0,14.0,241.92,152.0,2770.0
2022-10-25 02:30:00+02:00,75.0,34.0,230.82666666666665,156.0,2792.0
2022-10-25 03:00:00+02:00,75.0,38.0,242.02666666666667,144.0,2894.0
2022-10-25 03:30:00+02:00,75.0,14.0,223.54666666666665,136.0,2920.0
2022-10-25 04:00:00+02:00,75.0,12.0,230.45333333333335,138.0,2918.0
2022-10-25 04:30:00+02:00,75.0,14.0,235.17333333333335,138.0,2880.0
2022-10-25 05:00:00+02:00,75.0,32.0,200.98666666666668,136.0,2464.0
2022-10-25 05:30:00+02:00,75.0,26.0,178.82666666666665,134.0,2434.0
2022-10-25 06:00:00+02:00,75.0,14.0,206.58666666666667,142.0,2434.0
2022-10-25 06:30:00+02:00,75.0,12.0,252.74666666666667,172.0,2408.0
2022-10-25 07:00:00+02:00,75.0,28.0,275.25333333333333,194.0,2424.0
2022-10-25 07:30:00+02:00,75.0,54.0,271.3066666666667,188.0,1722.0
2022-10-25 08:00:00+02:00,75.0,14.0,251.49333333333334,194.0,842.0
2022-10-25 08:30:00+02:00,75.0,30.0,236.18666666666667,204.0,1024.0
2022-10-25 09:00:00+02:00,75.0,38.0,234.45333333333335,178.0,1120.0
2022-10-25 09:30:00+02:00,75.0,2.0,269.38666666666666,168.0,2162.0
2022-10-25 10:00:00+02:00,75.0,0.0,373.6,198.0,3336.0
2022-10-25 10:30:00+02:00,75.0,28.0,348.85333333333335,186.0,2552.0
2022-10-25 11:00:00+02:00,75.0,28.0,333.25333333333333,188.0,2566.0
2022-10-25 11:30:00+02:00,75.0,0.0,333.25333333333333,154.0,2568.0
2022-10-25 12:00:00+02:00,75.0,0.0,374.0,176.0,2910.0
2022-10-25 12:30:00+02:00,75.0,0.0,463.76,202.0,3124.0
2022-10-25 13:00:00+02:00,75.0,0.0,369.8933333333333,220.0,2524.0
2022-10-25 13:30:00+02:00,75.0,0.0,401.84,204.0,3412.0
2022-10-25 14:00:00+02:00,75.0,0.0,355.0933333333333,164.0,1660.0
2022-10-25 14:30:00+02:00,75.0,0.0,370.2133333333333,208.0,1490.0
2022-10-25 15:00:00+02:00,75.0,0.0,339.68,172.0,2228.0
2022-10-25 15:30:00+02:00,75.0,2.0,242.02666666666667,154.0,1250.0
2022-10-25 16:00:00+02:00,75.0,0.0,285.41333333333336,182.0,2256.0
2022-10-25 16:30:00+02:00,75.0,0.0,272.72,166.0,3526.0
2022-10-25 17:00:00+02:00,75.0,2.0,285.2266666666667,178.0,2628.0
2022-10-25 17:30:00+02:00,75.0,4.0,246.08,178.0,1816.0
2022-10-25 18:00:00+02:00,75.0,10.0,281.94666666666666,196.0,1742.0
2022-10-25 18:30:00+02:00,75.0,12.0,308.4,220.0,1488.0
2022-10-25 19:00:00+02:00,75.0,56.0,434.16,266.0,2106.0
2022-10-25 19:30:00+02:00,75.0,34.0,575.92,314.0,2290.0
2022-10-25 20:00:00+02:00,75.0,64.0,602.2133333333334,342.0,2598.0
2022-10-25 20:30:00+02:00,75.0,22.0,522.16,354.0,2510.0
2022-10-25 21:00:00+02:00,75.0,50.0,443.04,342.0,2944.0
2022-10-25 21:30:00+02:00,75.0,60.0,395.04,326.0,1688.0
2022-10-25 22:00:00+02:00,75.0,12.0,373.12,242.0,2300.0
2022-10-25 22:30:00+02:00,75.0,20.0,395.49333333333334,228.0,3856.0
2022-10-25 23:00:00+02:00,75.0,38.0,315.94666666666666,238.0,2002.0
2022-10-25 23:30:00+02:00,75.0,32.0,296.48,232.0,1542.0
2022-10-26 00:00:00+02:00,75.0,22.0,243.46666666666667,190.0,1406.0
2022-10-26 00:30:00+02:00,75.0,12.0,262.7733333333333,188.0,1482.0
2022-10-26 01:00:00+02:00,75.0,20.0,253.68,172.0,2056.0
2022-10-26 01:30:00+02:00,75.0,38.0,217.57333333333332,170.0,2328.0
2022-10-26 02:00:00+02:00,75.0,20.0,200.50666666666666,138.0,1766.0
2022-10-26 02:30:00+02:00,75.0,12.0,166.98666666666668,130.0,1612.0
2022-10-26 03:00:00+02:00,75.0,12.0,201.65333333333334,140.0,1690.0
2022-10-26 03:30:00+02:00,75.0,28.0,177.22666666666666,154.0,956.0
2022-10-26 04:00:00+02:00,75.0,24.0,168.0,130.0,692.0
2022-10-26 04:30:00+02:00,75.0,12.0,170.93333333333334,138.0,568.0
2022-10-26 05:00:00+02:00,75.0,12.0,178.53333333333333,140.0,1468.0
2022-10-26 05:30:00+02:00,75.0,12.0,159.33333333333334,136.0,726.0
2022-10-26 06:00:00+02:00,75.0,30.0,170.53333333333333,140.0,1598.0
2022-10-26 06:30:00+02:00,75.0,24.0,198.88,146.0,852.0
