utc_timestamp,FR_heat_demand_space_SFH,FR_heat_demand_water,FR_COP_ASHP_water,FR_COP_GSHP_floor
2015-12-01 00:00:00+00:00,8955.0,2986.0,"2,58","5,27"
2015-12-01 01:00:00+00:00,9554.0,2923.0,"2,57","5,26"
2015-12-01 02:00:00+00:00,10874.0,3256.0,"2,56","5,25"
2015-12-01 03:00:00+00:00,14375.0,5410.0,"2,56","5,26"
2015-12-01 04:00:00+00:00,21291.0,11030.0,"2,56","5,28"
2015-12-01 05:00:00+00:00,25835.0,14255.0,"2,56","5,3"
2015-12-01 06:00:00+00:00,25608.0,13495.0,"2,55","5,3"
2015-12-01 07:00:00+00:00,23330.0,10511.0,"2,57","5,31"
2015-12-01 08:00:00+00:00,21273.0,10083.0,"2,6","5,39"
2015-12-01 09:00:00+00:00,19626.0,9435.0,"2,65","5,55"
2015-12-01 10:00:00+00:00,17933.0,9260.0,"2,68","5,66"
2015-12-01 11:00:00+00:00,17417.0,8951.0,"2,71","5,76"
2015-12-01 12:00:00+00:00,17801.0,7402.0,"2,72","5,83"
2015-12-01 13:00:00+00:00,18130.0,7071.0,"2,72","5,85"
2015-12-01 14:00:00+00:00,19292.0,6456.0,"2,7","5,82"
2015-12-01 15:00:00+00:00,20157.0,6782.0,"2,67","5,74"
2015-12-01 16:00:00+00:00,21241.0,7668.0,"2,63","5,57"
2015-12-01 17:00:00+00:00,22636.0,7687.0,"2,6","5,46"
2015-12-01 18:00:00+00:00,23447.0,8238.0,"2,57","5,38"
2015-12-01 19:00:00+00:00,22309.0,8636.0,"2,55","5,28"
2015-12-01 20:00:00+00:00,19744.0,7727.0,"2,52","5,21"
2015-12-01 21:00:00+00:00,13695.0,5795.0,"2,5","5,11"
2015-12-01 22:00:00+00:00,9350.0,3534.0,"2,48","4,99"
2015-12-01 23:00:00+00:00,9917.0,2550.0,"2,46","4,91"
