Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,28,66,28,0,0,0,0,0
7,0,0,0,50,162,178,159,86,14,0,0,0
8,0,0,53,216,251,253,239,228,170,22,0,0
9,0,46,193,301,313,313,296,301,271,168,32,0
10,92,196,269,356,349,351,338,356,325,230,147,88
11,155,234,301,381,365,366,352,373,339,251,174,154
12,183,253,315,387,370,367,354,369,351,272,200,180
13,198,271,336,385,367,373,357,371,355,289,214,189
14,195,275,339,374,357,367,350,359,347,275,204,184
15,178,241,305,346,337,349,331,337,330,247,190,161
16,150,212,278,315,313,336,319,314,299,223,158,117
17,70,178,252,291,293,322,305,303,278,179,47,17
18,0,32,189,249,260,285,281,273,207,26,0,0
19,0,0,26,150,212,239,243,200,37,0,0,0
20,0,0,0,8,86,153,141,33,0,0,0,0
21,0,0,0,0,0,17,8,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
