utc_timestamp,FR_heat_demand_space_SFH,FR_heat_demand_water,FR_COP_ASHP_water,FR_COP_GSHP_floor
2015-06-01 00:00:00+00:00,3513.0,2979.0,"2,67","5,81"
2015-06-01 01:00:00+00:00,4167.0,3309.0,"2,65","5,74"
2015-06-01 02:00:00+00:00,5982.0,5404.0,"2,63","5,68"
2015-06-01 03:00:00+00:00,9842.0,11015.0,"2,64","5,66"
2015-06-01 04:00:00+00:00,11097.0,14121.0,"2,7","5,8"
2015-06-01 05:00:00+00:00,11531.0,13392.0,"2,77","5,99"
2015-06-01 06:00:00+00:00,10144.0,10244.0,"2,82","6,18"
2015-06-01 07:00:00+00:00,9323.0,9823.0,"2,87","6,28"
2015-06-01 08:00:00+00:00,8266.0,9181.0,"2,91","6,32"
2015-06-01 09:00:00+00:00,7220.0,9030.0,"2,94","6,33"
2015-06-01 10:00:00+00:00,6746.0,8738.0,"2,98","6,34"
2015-06-01 11:00:00+00:00,6956.0,7243.0,3,"6,34"
2015-06-01 12:00:00+00:00,6911.0,7013.0,"3,03","6,34"
2015-06-01 13:00:00+00:00,7391.0,6437.0,"3,04","6,34"
2015-06-01 14:00:00+00:00,7694.0,6824.0,"3,03","6,34"
2015-06-01 15:00:00+00:00,8007.0,7668.0,"3,01","6,34"
2015-06-01 16:00:00+00:00,9002.0,7668.0,"2,97","6,34"
2015-06-01 17:00:00+00:00,9848.0,8241.0,"2,91","6,33"
2015-06-01 18:00:00+00:00,9432.0,8715.0,"2,84","6,31"
2015-06-01 19:00:00+00:00,8366.0,7793.0,"2,8","6,25"
2015-06-01 20:00:00+00:00,5913.0,5868.0,"2,79","6,19"
2015-06-01 21:00:00+00:00,3451.0,3598.0,"2,77","6,16"
2015-06-01 22:00:00+00:00,1875.0,2538.0,"2,76","6,14"
2015-06-01 23:00:00+00:00,2018.0,2960.0,"2,75","6,12"
