N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
1,0.0,423003.1,33355.31,40.0
40,0.0,239939.84,93392.91,0.0
1,0.0,423003.1,33355.31,40.0
40,0.0,239939.84,93392.91,0.0
8,0.0,389794.92,38756.87,37.48
2,0.0,357856.47,38784.34,0.0
1,0.0,423003.03,33355.36,40.0
2,0.0,413579.49,33359.77,40.0
33,0.13,263997.84,81637.43,0.0
34,0.13,260999.24,83297.8,0.0
18,0.0,306118.32,57452.17,0.0
39,0.13,245960.85,91643.8,0.0
12,0.0,324181.63,48495.36,0.0
33,0.0,261002.51,81707.96,0.0
40,0.13,242953.06,93321.43,0.0
31,0.13,270002.72,78328.51,0.0
32,0.13,266990.84,79980.99,0.0
28,0.0,276023.73,73465.27,0.0
17,0.13,312145.37,55840.24,0.0
27,0.0,279027.58,71830.4,0.0
17,0.0,309132.62,55909.2,0.0
29,0.13,276020.17,75035.1,0.0
24,0.13,291040.78,66892.12,0.0
22,0.13,297067.57,63681.41,0.0
3,0.02,352674.33,38873.96,0.0
14,0.13,321158.31,51316.8,0.0
26,0.13,285021.72,70131.71,0.0
20,0.13,303107.21,60507.53,0.0
15,0.13,318156.63,52799.92,0.0
25,0.13,288034.86,68508.44,0.0
11,0.0,327183.95,47100.73,0.0
39,0.0,242953.7,91715.09,0.0
13,0.0,321179.3,49924.13,0.0
22,0.0,294057.87,63751.24,0.0
2,0.0,357856.47,38784.34,0.0
16,0.13,315159.62,54309.65,0.0
37,0.13,251971.82,88296.8,0.0
38,0.0,245964.99,90039.84,0.0
30,0.0,270010.35,76750.41,0.0
24,0.0,288039.8,66961.64,0.0
19,0.13,306094.1,58938.56,0.0
10,0.0,330222.56,45737.48,0.0
28,0.13,279008.18,73395.45,0.0
13,0.13,324173.54,49858.96,0.0
37,0.0,248972.97,88367.67,0.0
35,0.0,254985.66,85032.01,0.0
36,0.13,254983.1,86627.61,0.0
32,0.0,264006.33,80051.15,0.0
36,0.0,251979.09,86698.52,0.0
23,0.0,291048.0,65352.77,0.0
10,0.14,333225.41,45675.67,0.0
38,0.13,248972.31,89968.72,0.0
31,0.0,267007.07,78398.98,0.0
34,0.0,257993.46,83368.55,0.0
35,0.13,257990.91,84961.14,0.0
19,0.0,303108.27,59007.49,0.0
9,0.15,336334.28,44358.68,0.0
30,0.13,273009.9,76679.7,0.0
27,0.13,282025.6,71760.39,0.0
26,0.0,282028.9,70201.57,0.0
29,0.0,273016.44,75105.72,0.0
25,0.0,285033.57,68578.24,0.0
23,0.13,294054.44,65283.07,0.0
21,0.13,300084.55,62089.1,0.0
21,0.0,297070.62,62158.86,0.0
20,0.0,300090.01,60577.1,0.0
3,0.13,409059.14,33688.18,40.0
18,0.13,309110.83,57383.35,0.0
16,0.0,312147.89,54378.04,0.0
14,0.0,318167.74,51383.36,0.0
15,0.0,315160.16,52867.55,0.0
7,0.0,339437.67,41993.48,0.0
3,0.51,412645.57,33684.13,40.0
6,0.19,345564.95,40898.72,0.0
9,0.0,333271.62,44419.7,0.0
11,0.13,330103.23,47039.4,0.0
12,0.14,327166.59,48431.62,0.0
8,0.16,339428.74,43101.7,0.0
8,0.0,336341.13,43160.78,0.0
7,0.15,342147.17,41943.96,0.0
3,0.0,406793.09,34274.34,36.66
5,0.0,345608.83,40040.1,0.0
5,0.09,401365.13,35102.09,40.0
4,0.0,402803.65,34761.87,37.2
6,0.0,342529.97,40946.51,0.0
40,0.08,241891.6,93346.46,0.0
34,0.05,259240.84,83339.24,0.0
20,0.09,302215.22,60527.72,0.0
12,0.09,326274.01,48450.5,0.0
5,0.19,348410.82,40003.3,0.0
36,0.06,253290.24,86667.39,0.0
4,0.12,405020.22,34288.01,40.0
8,0.08,337967.6,43128.98,0.0
7,0.09,395102.75,37160.19,40.0
7,0.05,340414.37,41974.9,0.0
22,0.09,296098.67,63703.7,0.0
3,0.0,407300.84,33861.08,39.05
6,0.01,395845.44,36870.59,34.96
7,0.0,392520.26,38034.15,34.33
19,0.05,304374.38,58977.88,0.0
6,0.01,396369.33,36406.57,38.02
5,0.0,398859.93,36011.24,34.39
6,0.04,397269.82,36087.55,40.0
18,0.08,307931.76,57410.36,0.0
8,0.1,392036.02,38365.16,39.89
4,0.15,350772.99,39305.12,0.0
7,0.0,393051.16,37464.62,38.2
14,0.08,319976.58,51342.91,0.0
5,0.06,346527.81,40027.21,0.0
8,0.0,390201.68,38386.28,40.0
27,0.04,280018.64,71807.04,0.0
20,0.0,300164.51,60575.35,0.0
21,0.08,298869.43,62116.87,0.0
25,0.05,286296.77,68548.52,0.0
11,0.06,328425.22,47074.76,0.0
22,0.03,294704.52,63736.04,0.0
40,0.0,239976.28,93392.04,0.0
4,0.0,348808.74,39322.93,0.0
4,0.07,349737.43,39313.64,0.0
17,0.07,310797.88,55870.9,0.0
29,0.09,275128.09,75055.74,0.0
5,0.14,347804.59,40010.75,0.0
33,0.05,262189.02,81679.75,0.0
6,0.0,395985.93,36638.83,36.5
21,0.0,297089.7,62158.39,0.0
6,0.09,344067.83,40921.74,0.0
2,0.0,413192.39,33636.96,38.51
28,0.05,277212.17,73437.08,0.0
7,0.01,393523.7,37191.25,40.0
31,0.06,268294.7,78368.5,0.0
6,0.02,396919.26,36147.88,39.66
25,0.1,287306.38,68525.15,0.0
30,0.06,271472.08,76715.74,0.0
14,0.04,318999.43,51364.57,0.0
31,0.08,268828.79,78355.89,0.0
10,0.09,332268.45,45694.98,0.0
5,0.0,399631.42,35294.67,39.0
9,0.09,335226.04,44380.44,0.0
9,0.06,334618.18,44392.54,0.0
17,0.05,310280.79,55882.74,0.0
36,0.12,254772.86,86632.49,0.0
4,0.3,352423.56,39295.94,0.0
4,0.05,404013.08,34300.16,40.0
35,0.06,256280.72,85001.25,0.0
11,0.09,329264.56,47056.79,0.0
8,0.0,336379.91,43160.0,0.0
26,0.1,284293.06,70148.55,0.0
37,0.06,250283.44,88336.6,0.0
4,0.26,352031.14,39297.81,0.0
7,0.04,394081.77,37180.08,40.0
30,0.13,272986.14,76680.31,0.0
39,0.02,243380.09,91704.91,0.0
5,0.03,400354.16,35118.1,40.0
23,0.07,292670.1,65314.76,0.0
15,0.08,317051.35,52824.68,0.0
38,0.04,246877.82,90018.23,0.0
4,0.0,403328.83,34309.21,40.0
39,0.07,244633.11,91675.17,0.0
7,0.13,341843.56,41949.21,0.0
8,0.13,339007.0,43109.48,0.0
23,0.01,291377.57,65345.01,0.0
38,0.07,247582.91,90001.43,0.0
16,0.05,313302.83,54351.45,0.0
5,0.0,399357.48,35571.02,37.22
3,0.05,408042.62,33695.62,40.0
38,0.1,248312.96,89984.21,0.0
24,0.05,289200.6,66934.38,0.0
5,0.01,399080.32,35889.35,35.16
26,0.03,282787.54,70183.67,0.0
9,0.01,333543.85,44414.15,0.0
23,0.08,292861.84,65310.32,0.0
36,0.0,251998.53,86698.03,0.0
37,0.0,249004.8,88366.91,0.0
35,0.0,255033.73,85030.83,0.0
13,0.08,323041.35,49883.28,0.0
6,0.07,343728.59,40927.76,0.0
19,0.01,303367.86,59001.38,0.0
39,0.07,244487.66,91678.61,0.0
30,0.01,270242.26,76744.89,0.0
25,0.01,285222.09,68573.75,0.0
8,0.0,389870.79,38677.67,38.02
31,0.0,267066.62,78397.67,0.0
34,0.0,258030.18,83367.66,0.0
15,0.07,316671.05,52833.17,0.0
30,0.05,271263.97,76721.0,0.0
7,0.0,392801.16,37717.38,36.5
19,0.11,305643.37,58948.76,0.0
37,0.09,251155.09,88316.02,0.0
3,0.0,352497.95,38874.17,0.0
23,0.13,293995.36,65284.36,0.0
33,0.05,262185.98,81679.83,0.0
35,0.13,257985.97,84961.26,0.0
5,0.0,399833.21,35128.18,39.99
6,0.01,342772.01,40942.48,0.0
5,0.0,399235.59,35660.7,36.65
7,0.0,392755.19,37795.34,35.97
21,0.09,299187.21,62109.55,0.0
32,0.08,265923.15,80005.76,0.0
16,0.0,312189.4,54377.07,0.0
2,0.0,413579.45,33359.79,40.0
