generation,best_cost_eur,best_emissions_kg
1,7191.85,726.84
2,7191.85,726.84
3,7155.78,724.81
4,7155.78,723.85
5,7155.78,723.85
6,7155.68,723.77
7,7155.68,723.77
8,7152.85,723.77
9,7152.85,723.77
10,7152.85,723.77
11,7148.58,723.77
12,7143.97,723.75
13,7143.89,723.75
14,7143.89,723.75
15,7143.89,723.75
16,7143.89,723.75
17,7143.89,723.75
18,7143.89,723.75
19,7143.89,723.75
20,7143.89,723.75
21,7143.89,723.75
22,7143.89,723.75
23,7143.89,723.75
24,7143.89,723.75
25,7143.89,723.75
26,7143.89,723.75
27,7143.89,723.74
28,7143.89,723.74
29,7143.89,723.74
30,7143.89,723.74
31,7143.89,723.74
32,7143.89,723.74
33,7143.89,723.74
34,7143.89,723.74
35,7143.89,723.74
36,7143.89,723.74
37,7143.89,723.74
38,7143.89,723.74
39,7143.89,723.74
40,7143.89,723.74
41,7143.89,723.74
42,7143.89,723.74
43,7143.89,723.74
44,7143.89,723.74
45,7143.89,723.74
46,7143.89,723.74
47,7143.89,723.74
48,7143.89,723.74
49,7143.89,723.74
50,7143.89,723.74
51,7143.89,723.74
52,7143.89,723.74
53,7143.89,723.74
54,7143.89,723.74
55,7143.89,723.74
56,7143.89,723.74
57,7143.89,723.74
58,7143.89,723.74
59,7143.89,723.74
60,7143.89,723.74
