N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
40,0.0,7143.89,1168.58
4,0.0,7986.19,723.74
40,0.0,7143.89,1168.58
38,0.11,7224.78,1136.53
36,0.11,7279.04,1105.3
27,0.0,7489.42,969.7
32,0.11,7385.01,1043.8
26,0.11,7539.75,954.63
31,0.11,7411.45,1028.65
38,0.0,7198.59,1137.11
29,0.0,7438.07,999.23
26,0.0,7514.77,955.15
18,0.1,7736.01,843.6
36,0.0,7252.87,1105.87
37,0.0,7225.79,1121.46
34,0.11,7332.22,1074.4
24,0.11,7589.48,925.97
39,0.11,7197.6,1152.24
39,0.0,7171.27,1152.82
23,0.11,7614.2,911.83
25,0.11,7564.64,940.23
37,0.11,7252.1,1120.88
22,0.11,7638.98,897.82
40,0.11,7169.84,1168.01
20,0.11,7687.78,870.3
24,0.0,7564.98,926.48
35,0.0,7279.8,1090.37
34,0.0,7306.57,1074.96
35,0.11,7305.71,1089.81
33,0.0,7333.18,1059.61
32,0.0,7359.69,1044.35
28,0.11,7489.23,983.86
33,0.11,7358.74,1059.06
19,0.11,7712.12,856.84
29,0.11,7463.73,998.68
31,0.0,7386.03,1029.2
30,0.0,7412.12,1014.17
30,0.11,7437.86,1013.61
17,0.1,7758.59,830.63
12,0.0,7844.78,773.34
28,0.0,7463.87,984.4
25,0.0,7539.96,940.75
27,0.11,7514.54,969.17
17,0.0,7736.16,831.08
15,0.1,7804.04,805.93
22,0.0,7614.77,898.32
21,0.0,7639.49,884.47
23,0.0,7589.89,912.34
21,0.11,7663.67,883.97
20,0.0,7664.06,870.78
14,0.09,7821.87,794.42
19,0.0,7688.4,857.32
18,0.0,7712.46,844.07
13,0.0,7824.79,783.78
16,0.0,7759.36,818.45
15,0.0,7782.67,806.33
16,0.11,7782.22,818.02
11,0.0,7864.27,763.5
10,0.0,7882.89,754.42
13,0.1,7844.75,783.44
14,0.0,7804.17,794.76
12,0.1,7863.81,773.03
10,0.1,7899.92,754.18
9,0.0,7900.55,746.26
11,0.1,7882.1,763.23
8,0.09,7930.51,738.89
6,0.0,7950.86,728.22
38,0.04,7209.28,1136.82
5,0.03,7970.11,724.99
4,0.0,7985.89,723.75
7,0.0,7934.59,733.01
17,0.04,7745.9,830.88
6,0.07,7958.86,728.15
28,0.04,7474.28,984.13
8,0.0,7917.74,739.06
9,0.11,7917.72,746.03
7,0.09,7946.19,732.87
38,0.09,7220.13,1136.6
26,0.08,7533.22,954.75
39,0.07,7188.01,1152.43
22,0.04,7624.67,898.07
21,0.06,7654.33,884.16
17,0.09,7755.3,830.68
35,0.06,7294.22,1090.05
14,0.04,7813.03,794.57
16,0.08,7775.99,818.13
27,0.03,7496.27,969.53
35,0.08,7299.34,1089.92
39,0.04,7181.79,1152.55
37,0.08,7245.86,1120.99
29,0.02,7443.08,999.11
28,0.0,7463.97,984.39
40,0.08,7163.79,1168.11
34,0.09,7328.93,1074.52
30,0.04,7422.68,1013.89
30,0.08,7431.25,1013.74
21,0.02,7644.69,884.33
32,0.04,7370.16,1044.07
19,0.04,7698.02,857.08
26,0.02,7520.38,955.0
23,0.09,7609.63,911.91
22,0.08,7633.78,897.92
23,0.06,7604.35,912.04
17,0.01,7738.78,831.03
20,0.04,7673.54,870.55
23,0.04,7599.12,912.11
39,0.02,7176.81,1152.67
40,0.06,7159.13,1168.22
21,0.05,7650.17,884.24
9,0.03,7905.17,746.17
25,0.09,7559.94,940.31
7,0.07,7943.66,732.9
29,0.04,7448.61,998.95
34,0.06,7321.7,1074.6
21,0.1,7663.18,884.0
27,0.09,7509.84,969.25
40,0.04,7154.18,1168.31
11,0.06,7875.04,763.32
29,0.07,7454.4,998.86
33,0.09,7353.88,1059.14
19,0.07,7703.65,857.02
35,0.03,7287.39,1090.2
19,0.02,7693.4,857.19
23,0.0,7590.22,912.32
22,0.02,7620.44,898.2
20,0.01,7667.35,870.7
27,0.07,7505.11,969.36
15,0.04,7792.21,806.13
40,0.02,7149.85,1168.41
32,0.08,7378.79,1043.91
7,0.01,7936.54,732.99
14,0.0,7804.75,794.74
27,0.05,7500.94,969.48
14,0.06,7816.58,794.53
13,0.02,7828.36,783.72
28,0.07,7479.97,984.03
18,0.07,7727.58,843.74
34,0.03,7312.76,1074.81
31,0.09,7406.91,1028.72
26,0.04,7524.94,954.9
36,0.03,7261.44,1105.69
36,0.01,7256.46,1105.78
13,0.05,7835.55,783.62
37,0.02,7231.74,1121.29
20,0.08,7682.98,870.38
39,0.1,7196.34,1152.26
5,0.0,7967.19,725.01
5,0.0,7967.19,725.01
29,0.1,7461.8,998.74
13,0.09,7842.0,783.46
36,0.06,7268.2,1105.51
12,0.04,7852.81,773.18
6,0.04,7956.1,728.18
24,0.06,7578.08,926.22
12,0.08,7859.15,773.11
24,0.05,7576.31,926.26
38,0.01,7202.2,1137.01
33,0.02,7338.44,1059.48
35,0.02,7285.08,1090.24
24,0.02,7570.46,926.33
8,0.06,7926.51,738.96
37,0.06,7239.86,1121.16
10,0.03,7887.69,754.33
9,0.09,7914.64,746.04
28,0.08,7482.99,983.97
10,0.07,7895.05,754.25
37,0.05,7238.06,1121.21
24,0.08,7584.05,926.08
36,0.05,7265.07,1105.62
15,0.02,7787.46,806.22
34,0.04,7316.59,1074.7
16,0.01,7761.19,818.4
18,0.04,7722.15,843.83
30,0.09,7433.06,1013.69
25,0.04,7549.46,940.52
33,0.04,7343.67,1059.34
13,0.06,7836.78,783.57
11,0.03,7869.36,763.4
12,0.04,7852.81,773.18
31,0.06,7400.95,1028.85
35,0.11,7305.58,1089.82
16,0.05,7769.57,818.25
37,0.1,7250.87,1120.9
28,0.1,7487.07,983.92
16,0.1,7781.13,818.04
36,0.09,7274.01,1105.39
15,0.08,7798.94,806.03
31,0.04,7396.39,1028.93
40,0.1,7169.67,1168.02
31,0.07,7402.85,1028.84
20,0.07,7679.56,870.47
20,0.06,7677.07,870.52
40,0.01,7145.33,1168.55
34,0.01,7308.04,1074.92
32,0.09,7380.55,1043.87
30,0.02,7416.52,1014.07
36,0.08,7272.85,1105.41
33,0.07,7349.44,1059.24
29,0.06,7452.55,998.91
33,0.06,7348.1,1059.26
