generation,best_cost_eur,best_emissions_kg
1,9629.391099999999,391.2534
2,9487.435199999998,391.2534
3,9311.259699999999,391.2534
4,9290.2482,389.7458
5,9208.017399999999,388.8758
6,9199.3248,388.8093
7,9199.3248,388.8093
8,9199.3248,388.75620000000004
9,9199.0535,388.75620000000004
10,9199.0535,388.75620000000004
11,9199.0535,388.75620000000004
12,9199.0535,388.75280000000004
13,9199.0535,388.75280000000004
14,9199.0535,388.75280000000004
15,9198.7768,388.75280000000004
16,9198.7768,388.7507
17,9198.7768,388.7507
18,9198.7768,388.7507
19,9198.7768,388.7507
20,9198.7768,388.7507
21,9198.7768,388.7507
22,9198.7107,388.7505
23,9198.7107,388.7505
24,9198.7107,388.7505
25,9198.7107,388.7505
26,9198.7107,388.7505
27,9198.7107,388.7505
28,9198.7107,388.7505
29,9198.7107,388.7505
30,9198.7107,388.7505
31,9198.7107,388.7505
32,9198.7107,388.7505
33,9198.7107,388.7505
34,9198.7107,388.7505
35,9198.7107,388.7505
36,9198.298999999999,388.7505
37,9198.298999999999,388.7505
38,9198.298999999999,388.75020000000006
39,9198.267999999998,388.75020000000006
40,9198.267999999998,388.75020000000006
41,9198.267999999998,388.75020000000006
42,9198.267999999998,388.75020000000006
43,9198.267999999998,388.75020000000006
44,9198.267999999998,388.75020000000006
45,9198.267999999998,388.75020000000006
46,9198.267999999998,388.75020000000006
47,9198.267999999998,388.75020000000006
48,9198.2307,388.75020000000006
49,9198.2307,388.75020000000006
50,9198.2307,388.75020000000006
