generation,best_cost_eur,best_emissions_kg
1,4314.252200000001,154.0439
2,4213.2344,149.0664
3,3997.6424999999995,149.0664
4,3960.6547,149.0664
5,3832.8277,146.8471
6,3421.4084999999995,145.0509
7,3324.744,145.0509
8,3323.5482999999995,144.7847
9,3307.8961999999997,144.4506
10,3307.8961999999997,144.4506
11,3307.8961999999997,143.1463
12,3278.6336,143.01839999999999
13,3271.7801999999997,143.01839999999999
14,3271.7801999999997,143.01839999999999
15,3271.7801999999997,143.0105
16,3254.1935,142.9957
17,3254.1935,142.98669999999998
18,3232.4894999999997,142.98669999999998
19,3232.4894999999997,142.98669999999998
20,3232.4894999999997,142.97719999999998
21,3232.4894999999997,142.97719999999998
22,3232.4894999999997,142.97719999999998
23,3232.4894999999997,142.97719999999998
24,3207.9961,142.9616
25,3207.9961,142.961
26,3207.9961,142.961
27,3207.9961,142.961
28,3207.9716999999996,142.961
29,3207.9716999999996,142.9606
30,3207.9716999999996,142.9606
31,3206.473,142.9606
32,3203.2416,142.9606
33,3201.3711000000003,142.9606
34,3201.3711000000003,142.9606
35,3201.3711000000003,142.9606
36,3201.2463000000002,142.9606
37,3201.2463000000002,142.9606
38,3201.2463000000002,142.9606
39,3201.2463000000002,142.9606
40,3201.2463000000002,142.9606
41,3201.2463000000002,142.9606
42,3201.1748,142.9606
43,3201.1748,142.9606
44,3201.1748,142.9606
45,3201.1748,142.9606
46,3201.1748,142.9606
47,3201.0643,142.9606
48,3201.0643,142.9606
49,3201.0643,142.9606
50,3201.0643,142.9606
