generation,best_cost_eur,best_emissions_kg
1,7373.99,728.96
2,7373.99,726.96
3,7280.87,724.91
4,7280.87,723.96
5,7199.22,723.96
6,7199.22,723.77
7,7191.56,723.76
8,7171.59,723.76
9,7150.15,723.74
10,7149.57,723.74
11,7149.57,723.74
12,7146.53,723.74
13,7144.14,723.74
14,7144.14,723.74
15,7144.1,723.74
16,7144.1,723.74
17,7144.1,723.74
18,7143.89,723.74
19,7143.89,723.74
20,7143.89,723.74
21,7143.89,723.74
22,7143.89,723.74
23,7143.89,723.74
24,7143.89,723.74
25,7143.89,723.74
26,7143.89,723.74
27,7143.89,723.74
28,7143.89,723.74
29,7143.89,723.74
30,7143.89,723.74
31,7143.89,723.74
32,7143.89,723.74
33,7143.89,723.74
34,7143.89,723.74
35,7143.89,723.74
36,7143.89,723.74
37,7143.89,723.74
38,7143.89,723.74
39,7143.89,723.74
40,7143.89,723.74
41,7143.89,723.74
42,7143.89,723.74
43,7143.89,723.74
44,7143.89,723.74
45,7143.89,723.74
46,7143.89,723.74
47,7143.89,723.74
48,7143.89,723.74
49,7143.89,723.74
50,7143.89,723.74
51,7143.89,723.74
52,7143.89,723.74
53,7143.89,723.74
54,7143.89,723.74
55,7143.89,723.74
56,7143.89,723.74
57,7143.89,723.74
58,7143.89,723.74
59,7143.89,723.74
60,7143.89,723.74
61,7143.89,723.74
62,7143.89,723.74
63,7143.89,723.74
64,7143.89,723.74
65,7143.89,723.74
66,7143.89,723.74
67,7143.89,723.74
68,7143.89,723.74
69,7143.89,723.74
70,7143.89,723.74
71,7143.89,723.74
72,7143.89,723.74
73,7143.89,723.74
74,7143.89,723.74
75,7143.89,723.74
76,7143.89,723.74
77,7143.89,723.74
78,7143.89,723.74
79,7143.89,723.74
80,7143.89,723.74
81,7143.89,723.74
82,7143.89,723.74
83,7143.89,723.74
84,7143.89,723.74
85,7143.89,723.74
86,7143.89,723.74
87,7143.89,723.74
88,7143.89,723.74
89,7143.89,723.74
90,7143.89,723.74
91,7143.89,723.74
92,7143.89,723.74
93,7143.89,723.74
94,7143.89,723.74
95,7143.89,723.74
96,7143.89,723.74
97,7143.89,723.74
98,7143.89,723.74
99,7143.89,723.74
100,7143.89,723.74
