N_PV_hh,E_BESS_cap_kwh,E_TESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
4,0.0,39.54,7986.16,723.74
4,0.0,36.6,7986.16,723.74
40,0.0,23.09,7143.89,1168.58
40,0.0,22.99,7143.89,1168.58
30,0.0,37.46,7412.12,1014.17
27,0.0,7.49,7489.42,969.7
30,0.11,35.35,7437.9,1013.61
27,0.11,27.01,7514.54,969.17
39,0.11,13.52,7197.6,1152.24
36,0.11,24.52,7279.01,1105.3
17,0.1,30.44,7759.35,830.63
38,0.0,23.69,7198.59,1137.11
16,0.11,30.13,7782.14,818.02
33,0.0,19.99,7333.18,1059.61
8,0.11,27.0,7933.42,738.89
35,0.11,27.19,7305.71,1089.81
25,0.11,36.3,7564.64,940.23
14,0.1,35.25,7824.68,794.4
22,0.0,22.99,7614.77,898.32
21,0.0,21.99,7639.49,884.47
32,0.0,6.04,7359.69,1044.35
18,0.1,33.4,7736.01,843.6
31,0.0,32.92,7386.03,1029.2
7,0.11,34.8,7949.86,732.89
32,0.11,26.97,7386.0,1043.79
20,0.11,16.65,7687.78,870.3
11,0.09,32.66,7881.09,763.28
11,0.0,32.66,7864.27,763.5
12,0.0,16.44,7844.96,773.34
21,0.11,3.26,7663.67,883.97
22,0.11,36.51,7638.97,897.82
6,0.0,39.24,7951.28,728.21
18,0.0,11.8,7712.46,844.07
37,0.0,25.54,7225.79,1121.46
31,0.11,8.06,7411.45,1028.65
10,0.0,28.95,7883.15,754.41
26,0.11,11.18,7539.66,954.63
15,0.1,28.12,7804.05,805.93
10,0.09,27.12,7897.29,754.2
13,0.0,37.66,7824.99,783.78
5,0.02,27.12,7969.1,725.01
24,0.11,36.51,7589.48,925.97
39,0.0,22.99,7171.27,1152.82
36,0.0,38.4,7252.87,1105.87
13,0.1,27.96,7844.83,783.44
34,0.0,37.61,7306.57,1074.96
35,0.0,38.08,7279.8,1090.37
40,0.11,23.13,7171.03,1167.99
38,0.11,31.17,7225.78,1136.52
34,0.11,34.6,7332.45,1074.39
33,0.11,30.54,7359.64,1059.05
24,0.0,35.97,7564.98,926.48
28,0.11,7.49,7489.19,983.86
37,0.11,17.44,7252.1,1120.88
8,0.0,35.46,7918.23,739.04
28,0.0,32.9,7463.87,984.4
29,0.0,38.09,7438.07,999.23
26,0.0,29.72,7514.77,955.15
29,0.11,38.08,7463.73,998.68
25,0.0,26.39,7539.96,940.75
23,0.0,25.45,7589.89,912.34
33,0.07,30.54,7349.3,1059.25
34,0.1,26.19,7331.68,1074.43
39,0.03,13.28,7178.07,1152.65
29,0.05,22.86,7449.32,998.99
36,0.03,24.52,7259.62,1105.7
23,0.11,27.01,7614.2,911.83
35,0.05,27.13,7291.16,1090.12
20,0.0,21.66,7664.06,870.78
9,0.0,30.8,7900.55,746.26
19,0.0,11.41,7688.4,857.32
28,0.1,0.01,7487.64,983.9
22,0.06,36.11,7628.99,898.01
21,0.06,27.11,7654.08,884.17
34,0.0,26.19,7306.81,1074.94
23,0.0,27.01,7590.77,912.3
28,0.0,37.96,7464.64,984.36
19,0.11,9.81,7712.15,856.84
25,0.04,23.05,7549.76,940.5
18,0.04,36.2,7721.71,843.85
23,0.1,16.77,7613.79,911.85
17,0.0,22.31,7736.16,831.08
9,0.1,37.45,7916.81,746.05
19,0.06,27.58,7701.12,857.07
16,0.0,36.33,7760.12,818.42
16,0.0,6.04,7759.36,818.45
24,0.09,27.11,7585.82,926.03
15,0.0,6.04,7782.67,806.33
17,0.0,17.5,7736.7,831.05
37,0.03,30.8,7232.96,1121.27
15,0.04,10.41,7792.3,806.13
24,0.01,23.49,7567.23,926.44
14,0.0,30.27,7804.17,794.76
12,0.1,36.2,7863.66,773.04
14,0.0,32.52,7804.45,794.75
38,0.06,34.53,7214.22,1136.77
31,0.05,23.73,7397.02,1028.96
13,0.05,27.12,7835.09,783.61
37,0.11,38.94,7252.03,1120.89
26,0.04,23.05,7524.68,954.91
