generation,best_cost_eur,best_emissions_kg
1,3052.11,339.79
2,3052.11,339.79
3,2889.67,339.41
4,2879.04,338.83
5,2681.2,335.48
6,2526.21,334.75
7,2499.0,333.88
8,2487.73,333.88
9,2395.65,333.73
10,2395.65,333.73
11,2382.53,333.73
12,2382.53,333.73
13,2382.53,333.63
14,2382.53,333.63
15,2379.65,333.63
16,2379.65,333.63
17,2379.65,333.63
18,2379.47,333.63
19,2379.47,333.63
20,2378.35,333.63
21,2378.35,333.63
22,2378.35,333.63
23,2378.27,333.58
24,2378.08,333.58
25,2377.99,333.58
26,2377.99,333.58
27,2377.99,333.58
28,2377.99,333.58
29,2377.99,333.56
30,2377.99,333.56
31,2377.99,333.56
32,2377.99,333.56
33,2377.99,333.56
34,2377.99,333.56
35,2377.99,333.56
36,2377.99,333.56
37,2377.99,333.56
38,2377.99,333.56
39,2377.99,333.56
40,2377.99,333.55
41,2377.99,333.55
42,2377.99,333.55
43,2377.99,333.55
44,2377.99,333.55
45,2377.99,333.55
46,2377.99,333.55
47,2377.99,333.55
48,2377.99,333.55
49,2377.99,333.55
50,2377.99,333.55
51,2377.99,333.55
52,2377.99,333.55
53,2377.99,333.55
54,2377.99,333.55
55,2377.99,333.55
56,2377.99,333.55
57,2377.99,333.55
58,2377.99,333.55
59,2377.99,333.55
60,2377.99,333.55
