N_PV_hh,E_BESS_cap_kwh,E_TESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
1,0.0,40.0,4230.45,333.55
40,0.0,0.0,2377.99,928.58
1,0.0,40.0,4230.45,333.55
40,0.0,0.0,2377.99,928.58
8,0.0,37.08,3885.96,387.61
2,0.0,0.0,3581.86,387.62
2,0.01,40.0,4138.88,333.9
1,0.0,39.85,4230.06,333.84
30,0.0,0.0,2679.44,762.82
36,0.13,0.0,2528.35,861.18
39,0.0,0.0,2408.14,911.87
38,0.13,0.0,2468.14,894.46
22,0.0,0.0,2921.25,633.6
37,0.13,0.0,2498.27,877.8
35,0.13,0.0,2558.51,844.58
31,0.13,0.0,2678.7,778.53
3,0.03,0.0,3529.29,388.73
2,0.0,0.0,3581.59,387.63
35,0.0,0.0,2528.74,845.3
29,0.13,0.0,2738.96,745.73
36,0.0,0.0,2498.6,861.9
37,0.0,0.0,2468.45,878.53
30,0.13,0.0,2708.98,762.1
28,0.13,0.0,2769.82,729.4
22,0.13,0.0,2951.1,632.89
23,0.0,0.0,2890.89,649.48
29,0.0,0.0,2709.6,746.44
38,0.0,0.0,2438.29,895.19
32,0.0,0.0,2619.08,795.71
40,0.13,0.0,2407.96,927.84
34,0.0,0.0,2558.87,828.73
23,0.13,0.0,2921.18,648.77
39,0.13,0.0,2438.12,911.13
33,0.0,0.0,2588.97,812.2
31,0.0,0.0,2649.27,779.24
33,0.13,0.0,2618.7,811.48
34,0.13,0.0,2588.68,828.01
32,0.13,0.0,2648.56,795.0
21,0.0,0.0,2951.68,617.79
28,0.0,0.0,2739.79,730.11
24,0.0,0.0,2860.64,665.45
24,0.13,0.0,2890.07,664.75
26,0.0,0.0,2800.18,697.63
25,0.13,0.0,2859.95,680.79
15,0.0,0.0,3135.45,525.79
27,0.0,0.0,2769.98,713.83
21,0.14,0.0,2982.1,617.08
25,0.0,0.0,2830.42,681.49
18,0.0,0.0,3043.19,571.06
20,0.13,0.0,3012.01,601.36
27,0.13,0.0,2800.03,713.12
26,0.13,0.0,2830.36,696.92
17,0.0,0.0,3073.6,555.78
20,0.0,0.0,2982.22,602.07
19,0.13,0.0,3042.89,585.77
17,0.13,0.0,3103.72,555.08
16,0.0,0.0,3104.06,540.67
18,0.13,0.0,3073.53,570.35
19,0.0,0.0,3012.77,586.48
15,0.13,0.0,3165.26,525.12
16,0.14,0.0,3134.75,539.97
13,0.0,0.0,3196.61,496.75
9,0.0,0.0,3321.64,442.38
14,0.0,0.0,3165.97,511.14
14,0.13,0.0,3195.73,510.48
12,0.14,0.0,3257.98,481.98
12,0.0,0.0,3227.35,482.63
10,0.15,0.0,3321.36,454.74
13,0.14,0.0,3226.87,496.08
11,0.14,0.0,3287.8,468.19
