N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
40,0.0,222834.0,92570.71,0.0
1,0.0,404131.42,31969.96,40.0
40,0.0,222834.0,92570.71,0.0
8,0.0,370358.65,37530.34,37.6
2,0.0,341890.47,37534.05,0.0
2,0.0,394651.39,31976.96,40.0
1,0.0,404126.45,31973.46,39.98
13,0.0,304581.41,48905.09,0.0
13,0.13,307593.38,48838.39,0.0
18,0.13,292396.16,56423.58,0.0
21,0.13,283248.84,61158.8,0.0
30,0.0,253030.45,75880.17,0.0
28,0.13,262080.57,72514.05,0.0
26,0.13,268065.04,69239.32,0.0
37,0.0,231904.03,87532.26,0.0
36,0.0,234924.35,85858.04,0.0
28,0.0,259068.77,72585.34,0.0
33,0.13,246996.41,80782.2,0.0
38,0.13,231892.54,89137.66,0.0
19,0.0,286328.95,58059.58,0.0
23,0.0,274186.28,64438.52,0.0
3,0.02,336649.75,37637.67,0.0
17,0.13,295428.77,54872.79,0.0
12,0.13,310567.44,47397.56,0.0
16,0.13,298463.8,53333.71,0.0
40,0.13,225856.37,92498.77,0.0
2,0.0,341890.26,37534.06,0.0
14,0.0,301535.81,50378.74,0.0
34,0.0,240960.21,82519.19,0.0
25,0.13,271145.01,67608.46,0.0
22,0.13,280229.78,62759.63,0.0
10,0.14,316756.64,44612.73,0.0
29,0.13,259067.47,74159.19,0.0
24,0.0,271155.76,66055.59,0.0
18,0.0,289364.62,56493.8,0.0
31,0.13,253024.39,77463.0,0.0
32,0.0,246998.56,79192.1,0.0
38,0.0,228884.27,89209.13,0.0
17,0.0,292397.28,54942.62,0.0
37,0.13,234918.31,87460.72,0.0
39,0.0,225860.0,90888.67,0.0
36,0.13,237941.53,85786.39,0.0
39,0.13,228883.65,90816.73,0.0
33,0.0,243980.92,80853.74,0.0
35,0.0,237943.14,84187.2,0.0
34,0.13,243974.71,82447.71,0.0
35,0.13,240960.03,84115.59,0.0
30,0.13,256042.77,75808.96,0.0
20,0.13,286291.58,59568.6,0.0
27,0.0,262090.33,70944.12,0.0
31,0.0,250014.15,77534.26,0.0
32,0.13,250008.81,79120.68,0.0
29,0.0,256048.81,74230.72,0.0
26,0.0,265107.32,69308.75,0.0
9,0.15,319880.93,43279.66,0.0
27,0.13,265093.58,70873.4,0.0
25,0.0,268129.67,67679.15,0.0
24,0.13,274170.4,65985.09,0.0
21,0.0,280248.88,61228.82,0.0
23,0.13,277213.05,64367.93,0.0
12,0.0,307621.06,47461.33,0.0
22,0.0,277214.51,62830.07,0.0
16,0.0,295437.85,53403.13,0.0
10,0.0,313723.71,44675.96,0.0
15,0.0,298485.18,51878.69,0.0
20,0.0,283288.04,59638.56,0.0
11,0.0,310658.74,46051.39,0.0
19,0.13,289352.37,57989.43,0.0
15,0.13,301502.87,51809.85,0.0
4,0.12,385878.19,32967.94,40.0
14,0.13,304575.94,50310.03,0.0
11,0.14,313709.66,45986.66,0.0
6,0.0,326243.33,39792.16,0.0
9,0.0,316812.33,43341.72,0.0
7,0.0,323086.18,40867.03,0.0
8,0.0,319921.32,42062.96,0.0
8,0.02,371025.48,37175.54,40.0
8,0.16,323044.7,42002.44,0.0
18,0.03,290021.34,56478.39,0.0
