N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
4,0.0,76728.64,6980.93
40,0.0,68328.45,11533.54
40,0.0,68328.45,11533.54
4,0.0,76728.64,6980.93
30,0.11,71296.31,9966.86
28,0.11,71814.07,9665.48
29,0.0,71296.53,9821.04
29,0.11,71554.76,9815.62
27,0.11,72071.71,9516.33
36,0.0,69422.36,10901.62
26,0.0,72072.15,9373.61
26,0.11,72327.23,9368.31
15,0.1,74968.15,7854.12
38,0.11,69150.48,11210.61
35,0.0,69694.24,10745.11
28,0.0,71556.29,9670.88
18,0.0,74054.26,8244.98
21,0.0,73324.93,8655.2
34,0.0,69964.3,10589.19
33,0.11,70501.9,10428.17
33,0.0,70233.3,10433.88
40,0.11,68599.56,11527.74
36,0.11,69693.07,10895.86
39,0.11,68877.5,11368.86
16,0.0,74524.38,7983.39
34,0.11,70232.72,10583.48
39,0.0,68604.11,11374.73
37,0.0,69150.61,11058.74
31,0.0,70769.49,10125.17
37,0.11,69422.3,11052.91
38,0.0,68877.85,11216.45
25,0.11,72580.13,9221.52
32,0.0,70502.3,10279.2
35,0.11,69963.85,10739.38
32,0.11,70768.09,10273.52
23,0.11,73078.39,8932.36
19,0.0,73813.99,8379.71
14,0.1,75176.38,7734.07
31,0.11,71033.72,10119.56
30,0.0,71034.1,9972.38
17,0.0,74292.8,8112.45
24,0.0,72580.2,9081.23
27,0.0,71814.53,9521.71
18,0.1,74291.76,8240.33
14,0.0,74969.22,7737.66
22,0.11,73322.72,8790.56
16,0.1,74748.92,7979.21
25,0.0,72327.27,9226.75
24,0.11,72831.04,9076.08
23,0.0,72831.54,8937.37
22,0.0,73078.77,8795.46
20,0.0,73571.36,8516.41
21,0.11,73570.91,8650.27
20,0.11,73813.87,8511.61
19,0.1,74053.02,8375.01
11,0.0,75570.59,7412.35
17,0.1,74521.61,8108.06
12,0.0,75377.2,7515.05
15,0.0,74749.88,7858.07
13,0.1,75374.94,7619.96
13,0.0,75177.56,7623.31
12,0.1,75570.34,7511.91
5,0.01,76579.0,6996.32
37,0.03,69220.36,11057.23
11,0.1,75755.06,7409.52
4,0.0,76728.3,6980.94
7,0.11,76413.1,7085.07
13,0.06,75309.75,7621.04
10,0.0,75756.72,7316.69
30,0.04,71124.4,9970.45
8,0.1,76257.3,7150.48
9,0.0,75930.5,7229.69
6,0.0,76419.52,7033.15
7,0.0,76259.11,7086.45
10,0.1,75928.49,7314.29
35,0.03,69757.18,10743.72
33,0.04,70342.41,10431.53
21,0.02,73375.84,8654.13
8,0.0,76096.14,7152.32
22,0.08,73267.14,8791.65
12,0.05,75472.5,7513.5
9,0.1,76094.3,7227.57
