N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
4,0.0,1605325.77,145292.45
4,0.0,1605325.77,145292.45
40,0.0,1441444.01,235108.04
40,0.0,1441444.01,235108.04
21,0.1,1545008.41,177828.78
35,0.0,1468516.51,219415.53
34,0.11,1479228.86,216195.71
29,0.11,1505312.88,200945.24
39,0.0,1446904.06,231946.71
38,0.0,1452337.59,228796.51
29,0.0,1500210.61,201051.88
31,0.0,1489818.6,207083.37
35,0.11,1473868.29,219302.1
40,0.11,1446887.87,234991.57
27,0.0,1510456.11,195106.46
38,0.11,1457740.8,228681.3
34,0.0,1473886.98,216308.68
24,0.11,1530443.65,186269.65
18,0.0,1554496.77,169802.56
19,0.1,1554438.04,172382.07
37,0.11,1463134.72,225544.33
37,0.0,1457745.74,225658.8
31,0.11,1495032.86,206973.49
27,0.11,1515516.74,195001.31
33,0.11,1484527.77,213104.41
39,0.11,1452335.99,231830.5
32,0.0,1484550.74,210137.32
32,0.11,1489817.4,210025.74
36,0.0,1463140.51,222531.1
33,0.0,1479229.69,213217.0
23,0.1,1535338.26,183425.14
36,0.11,1468513.38,222417.29
25,0.11,1525540.8,189151.71
15,0.0,1567975.65,162199.35
26,0.11,1520552.8,192064.33
30,0.11,1500184.68,203947.93
28,0.11,1510454.32,197961.16
19,0.0,1549767.58,172473.85
28,0.0,1505352.18,198067.71
30,0.0,1495033.49,204055.95
13,0.09,1579959.57,157556.24
25,0.0,1520555.73,189254.05
26,0.0,1515520.62,192168.56
16,0.1,1567962.74,164574.42
20,0.0,1545008.68,175178.47
24,0.0,1525546.36,186368.98
22,0.0,1535349.66,180709.07
23,0.0,1530471.3,183523.58
21,0.0,1540197.88,177924.48
22,0.1,1540194.32,180611.84
15,0.1,1572168.97,162124.7
20,0.1,1549755.97,175085.32
17,0.1,1563602.74,167107.47
17,0.0,1559125.95,167191.54
18,0.1,1559122.41,169713.48
14,0.1,1576145.2,159782.8
16,0.0,1563616.13,164654.74
14,0.0,1572173.82,159850.56
12,0.1,1583699.34,155440.6
11,0.0,1583708.01,153495.67
12,0.0,1580014.07,155498.93
11,0.1,1587221.87,153444.26
13,0.0,1576176.58,157619.21
35,0.05,1470931.73,219364.03
17,0.03,1560303.21,167169.28
10,0.0,1587230.74,151638.43
33,0.04,1481084.05,213177.25
5,0.0,1602450.41,145533.61
24,0.06,1528464.22,186309.49
40,0.05,1443943.14,235054.25
8,0.0,1593647.47,148464.13
9,0.0,1590525.82,149956.39
26,0.05,1517967.53,192117.69
14,0.03,1573412.27,159829.25
37,0.08,1461793.4,225572.68
17,0.08,1562590.44,167126.34
35,0.1,1473351.39,219312.89
10,0.1,1590525.41,151594.68
33,0.08,1482960.4,213137.34
31,0.05,1492278.86,207031.26
24,0.02,1526571.3,186347.96
8,0.1,1596685.67,148431.34
20,0.08,1548637.15,175107.13
11,0.01,1584253.55,153487.57
7,0.0,1596690.54,147199.26
37,0.03,1459450.82,225622.43
14,0.08,1575510.55,159793.56
9,0.09,1593590.82,149917.99
34,0.06,1476994.9,216242.66
32,0.04,1486374.47,210098.3
26,0.02,1516408.15,192150.07
27,0.04,1512346.49,195067.0
15,0.05,1570330.89,162157.11
19,0.05,1552286.61,172423.98
15,0.02,1569046.87,162180.04
28,0.07,1508964.05,197992.1
11,0.08,1586485.09,153454.84
26,0.08,1519431.38,192087.4
12,0.03,1581142.12,155480.86
18,0.02,1555447.73,169784.13
25,0.05,1523044.92,189202.79
8,0.02,1594152.52,148458.48
40,0.01,1441794.95,235100.45
19,0.08,1553484.3,172400.55
10,0.05,1589081.15,151613.75
30,0.05,1497607.82,204001.76
39,0.06,1450048.56,231879.12
6,0.0,1599674.19,146194.3
21,0.06,1542995.53,177868.67
18,0.05,1556753.2,169758.97
24,0.09,1529756.62,186283.42
7,0.11,1599672.31,147175.19
16,0.04,1565219.98,164624.77
18,0.07,1557460.93,169745.43
16,0.08,1567091.93,164590.31
32,0.07,1487747.38,210069.22
6,0.11,1602355.98,146182.51
9,0.05,1592114.83,149936.24
34,0.03,1475189.35,216280.87
19,0.03,1551119.49,172447.02
39,0.02,1447695.26,231929.64
6,0.08,1601619.84,146185.47
8,0.07,1595856.12,148440.0
15,0.08,1571465.42,162137.08
22,0.1,1539804.02,180619.59
30,0.03,1496638.39,204022.11
22,0.06,1538346.54,180648.79
38,0.05,1455058.03,228738.29
33,0.01,1479737.98,213206.04
13,0.03,1577432.15,157597.99
10,0.03,1588397.78,151622.79
27,0.07,1513760.97,195037.59
31,0.02,1490703.19,207064.53
20,0.04,1546908.23,175141.01
29,0.02,1501112.31,201032.8
32,0.02,1485305.68,210121.13
23,0.07,1533674.42,183458.5
23,0.09,1534804.91,183435.79
36,0.03,1464471.32,222502.65
18,0.09,1558707.84,169721.41
28,0.03,1506583.02,198041.83
30,0.02,1495808.49,204039.56
38,0.04,1454203.63,228756.53
37,0.03,1459061.56,225630.71
40,0.07,1444894.74,235033.96
22,0.03,1536540.45,180685.02
13,0.06,1578565.87,157579.15
12,0.06,1582448.78,155460.24
29,0.06,1503359.54,200985.77
34,0.09,1478082.28,216219.72
22,0.04,1537207.07,180671.67
36,0.05,1465814.17,222474.25
32,0.08,1488318.03,210057.08
31,0.08,1493542.99,207004.65
35,0.03,1469839.97,219387.19
39,0.11,1452301.45,231831.24
39,0.08,1450896.7,231860.97
25,0.08,1524467.56,189173.69
10,0.1,1590514.17,151594.85
9,0.08,1593035.31,149924.84
9,0.02,1591072.16,149949.36
7,0.07,1598546.23,147183.93
40,0.08,1445483.85,235021.41
29,0.05,1502659.31,201000.37
19,0.01,1550395.2,172461.37
32,0.1,1489203.38,210038.48
37,0.0,1457872.77,225656.1
38,0.1,1457108.34,228694.66
36,0.02,1464172.75,222509.04
28,0.1,1510119.67,197968.07
30,0.09,1499561.08,203960.89
7,0.02,1597276.11,147194.17
27,0.02,1511348.0,195087.8
