generation,best_cost_eur,best_emissions_kg
1,630081.26,68160.56
2,630081.26,68160.56
3,614213.64,67979.54
4,614213.64,67028.64
5,564042.25,67028.64
6,543143.14,67028.64
7,543143.14,67028.64
8,510308.95,66988.64
9,491469.57,66980.1
10,491469.57,66980.1
11,491469.57,66980.1
12,491469.57,66957.64
13,488414.96,66957.64
14,483317.8,66950.66
15,483317.8,66942.56
16,483317.8,66923.35
17,483317.8,66923.35
18,483317.8,66923.35
19,483317.8,66923.35
20,483155.1,66916.29
21,482946.48,66915.04
22,482840.29,66913.57
23,482827.36,66913.46
24,482827.36,66913.46
25,482827.36,66913.46
26,482827.36,66913.46
27,482827.36,66913.46
28,482827.28,66913.45
29,482827.28,66913.45
30,482827.28,66913.45
31,482826.54,66913.45
32,482826.52,66913.45
33,482777.33,66913.45
34,482771.24,66913.45
35,482771.24,66913.45
36,482771.21,66913.45
37,482771.21,66913.45
38,482771.13,66913.44
39,482771.13,66913.44
40,482771.1,66913.44
41,482771.1,66913.44
42,482771.1,66913.44
43,482771.1,66913.44
44,482771.1,66913.41
45,482771.1,66913.41
46,482771.1,66913.41
47,482771.1,66913.41
48,482771.1,66913.37
49,482771.1,66913.37
50,482771.1,66913.37
51,482771.1,66913.37
52,482771.1,66913.37
53,482771.1,66913.37
54,482771.1,66913.37
55,482771.1,66913.37
56,482771.1,66913.37
57,482771.09,66913.37
58,482771.09,66913.35
59,482771.09,66913.35
60,482771.09,66913.35
