N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
1,0.0,849021.8,66913.35,40.0
1,0.0,849021.8,66913.35,40.0
40,0.0,482771.09,186927.7,0.0
2,0.0,718224.79,77747.9,0.0
8,0.0,782824.58,77685.61,37.52
2,0.0,830185.19,66921.55,40.0
1,0.0,849014.59,66918.42,39.99
35,0.13,518855.47,170066.69,0.0
39,0.13,494794.48,183430.44,0.0
20,0.13,608929.98,121169.98,0.0
36,0.13,512845.84,173399.04,0.0
11,0.0,657103.89,94363.13,0.0
38,0.13,500812.73,180080.41,0.0
33,0.13,530880.85,163419.43,0.0
35,0.0,512850.6,170208.23,0.0
10,0.14,669134.87,91515.17,0.0
21,0.13,602923.74,124331.73,0.0
17,0.13,627043.68,111835.96,0.0
31,0.13,542864.68,156802.98,0.0
31,0.0,536882.84,156943.67,0.0
16,0.0,627088.86,108911.17,0.0
19,0.13,615026.59,118029.79,0.0
3,0.01,707713.03,77925.24,0.0
33,0.0,524878.18,163560.81,0.0
12,0.0,651112.46,97151.04,0.0
21,0.0,596969.34,124469.54,0.0
12,0.14,657050.6,97024.27,0.0
28,0.0,554904.74,147078.19,0.0
2,0.0,718224.79,77747.9,0.0
8,0.15,681503.53,86370.69,0.0
24,0.13,584921.38,133933.96,0.0
16,0.13,633055.64,108775.75,0.0
25,0.13,578920.0,137165.55,0.0
30,0.0,542885.85,153647.08,0.0
20,0.0,603000.7,121306.69,0.0
26,0.0,566910.04,140551.71,0.0
10,0.0,663168.13,91637.91,0.0
36,0.0,506839.43,173540.72,0.0
17,0.0,621062.05,111972.77,0.0
40,0.13,488770.92,186785.43,0.0
38,0.0,494818.06,180222.27,0.0
34,0.0,518864.72,166881.56,0.0
30,0.13,548880.73,153505.83,0.0
39,0.0,488798.75,183572.52,0.0
37,0.0,500829.12,176878.65,0.0
25,0.0,572916.99,137305.3,0.0
11,0.13,662975.96,94239.95,0.0
26,0.13,572884.36,140412.15,0.0
18,0.13,620979.94,114921.76,0.0
29,0.13,554891.07,150217.41,0.0
29,0.0,548896.69,150358.28,0.0
