generation,best_cost_eur,best_emissions_kg
1,1451038.37,145927.02
2,1450775.44,145748.02
3,1450775.44,145540.45
4,1450775.44,145430.19
5,1443160.21,145313.16
6,1443160.21,145299.97
7,1443160.21,145292.68
8,1442022.11,145292.57
9,1441509.82,145292.46
10,1441493.41,145292.46
11,1441472.48,145292.46
12,1441472.48,145292.46
13,1441444.33,145292.46
14,1441444.33,145292.46
15,1441444.33,145292.45
16,1441444.33,145292.45
17,1441444.33,145292.45
18,1441444.22,145292.45
19,1441444.05,145292.45
20,1441444.05,145292.45
21,1441444.05,145292.45
22,1441444.05,145292.45
23,1441444.05,145292.45
24,1441444.05,145292.45
25,1441444.01,145292.45
26,1441444.01,145292.45
27,1441444.01,145292.45
28,1441444.01,145292.45
29,1441444.01,145292.45
30,1441444.01,145292.45
31,1441444.01,145292.45
32,1441444.01,145292.45
33,1441444.01,145292.45
34,1441444.01,145292.45
35,1441444.01,145292.45
36,1441444.01,145292.45
37,1441444.01,145292.45
38,1441444.01,145292.45
39,1441444.01,145292.45
40,1441444.01,145292.45
41,1441444.01,145292.45
42,1441444.01,145292.45
43,1441444.01,145292.45
44,1441444.01,145292.45
45,1441444.01,145292.45
46,1441444.01,145292.45
47,1441444.01,145292.45
48,1441444.01,145292.45
49,1441444.01,145292.45
50,1441444.01,145292.45
51,1441444.01,145292.45
52,1441444.01,145292.45
53,1441444.01,145292.45
54,1441444.01,145292.45
55,1441444.01,145292.45
56,1441444.01,145292.45
57,1441444.01,145292.45
58,1441444.01,145292.45
59,1441444.01,145292.45
60,1441444.01,145292.45
