generation,best_cost_eur,best_emissions_kg
1,160968.8,17159.51
2,154052.8,17159.51
3,154052.8,17092.72
4,150819.42,16984.64
5,149200.57,16984.64
6,143699.02,16965.54
7,136812.43,16934.0
8,130730.8,16915.77
9,128245.22,16915.77
10,124566.46,16852.57
11,124527.86,16852.57
12,124496.87,16852.57
13,124484.87,16852.33
14,124484.87,16850.61
15,124165.38,16850.61
16,123965.54,16850.4
17,123817.3,16850.19
18,123771.14,16847.82
19,123769.72,16847.82
20,123769.72,16847.44
21,123611.13,16847.44
22,123611.13,16847.44
23,123611.13,16847.44
24,123611.13,16847.38
25,123611.13,16847.36
26,123611.13,16847.22
27,123611.13,16847.22
28,123581.37,16847.18
29,123581.37,16846.96
30,123581.37,16846.96
31,123581.37,16846.96
32,123579.67,16846.96
33,123579.61,16846.96
34,123579.61,16846.96
35,123579.61,16846.96
36,123578.15,16846.96
37,123578.15,16846.96
38,123578.15,16846.96
39,123578.15,16846.96
40,123578.12,16846.96
41,123578.12,16846.96
42,123578.12,16846.96
43,123578.12,16846.96
44,123578.12,16846.96
45,123578.12,16846.96
46,123578.12,16846.96
47,123578.12,16846.96
48,123578.12,16846.96
49,123578.12,16846.96
50,123578.12,16846.95
51,123578.12,16846.95
52,123578.12,16846.95
53,123578.12,16846.95
54,123578.12,16846.95
55,123578.12,16846.95
56,123578.12,16846.95
57,123578.12,16846.95
58,123578.12,16846.95
59,123578.12,16846.95
60,123578.12,16846.95
