N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
9,11.66,481215.38,27574.08,40.0
9,11.66,481215.38,27574.08,40.0
40,0.0,222833.99,50065.84,0.0
38,0.0,228884.27,48829.51,0.0
38,0.13,231902.76,48757.82,0.0
36,0.13,237939.45,47532.09,0.0
33,0.13,246987.65,45715.91,0.0
39,0.13,228881.91,49374.55,0.0
30,0.13,256039.24,43930.42,0.0
28,0.0,259068.79,42831.93,0.0
28,0.13,262049.93,42761.39,0.0
25,0.0,268129.67,41113.61,0.0
36,0.0,234924.35,47603.66,0.0
33,0.0,243980.92,45787.23,0.0
20,0.0,283288.05,38386.13,0.0
20,0.13,286311.78,38315.74,0.0
23,0.13,277203.36,39927.87,0.0
16,0.0,345654.61,31720.2,39.99
37,0.0,231904.03,48215.26,0.0
7,2.24,405442.95,28093.76,39.95
29,0.13,259063.87,43343.27,0.0
37,0.13,234924.22,48143.57,0.0
8,5.94,444455.44,27722.25,40.0
35,0.0,237943.15,46995.44,0.0
9,10.28,474003.57,27591.14,39.95
26,0.0,265107.32,41680.58,0.0
8,0.03,320613.26,33548.0,0.0
27,0.13,265104.32,42182.35,0.0
7,0.1,325002.82,33392.31,0.0
27,0.0,262090.33,42253.34,0.0
24,0.0,271155.76,40552.68,0.0
19,0.13,289360.25,37799.47,0.0
22,0.13,280236.81,39381.77,0.0
7,2.0,402517.93,28118.69,39.99
29,0.0,256048.81,43414.69,0.0
39,0.0,225860.0,49446.42,0.0
40,0.13,225855.65,49993.9,0.0
7,0.9,388288.77,28299.83,39.95
24,0.13,274181.56,40481.91,0.0
21,0.0,280248.88,38913.77,0.0
31,0.0,250014.15,44592.99,0.0
7,1.75,399374.73,28152.33,40.0
7,3.47,419779.84,27955.7,39.99
35,0.13,240959.3,46923.87,0.0
7,2.55,409190.23,28050.51,39.99
34,0.0,240960.21,46390.05,0.0
34,0.13,243963.35,46318.87,0.0
32,0.0,246998.56,45188.21,0.0
32,0.13,249996.49,45117.09,0.0
30,0.0,253030.46,44001.52,0.0
31,0.13,253018.82,44521.89,0.0
17,0.0,292397.28,36878.05,0.0
16,0.0,345409.56,32056.42,37.31
22,0.0,277214.51,39452.39,0.0
8,7.96,458228.23,27652.79,40.0
6,0.22,380822.39,28406.99,39.98
7,0.0,373862.52,28597.48,39.5
26,0.13,268116.9,41609.92,0.0
7,3.74,422746.88,27934.62,39.98
25,0.13,271151.52,41042.74,0.0
9,0.0,367354.41,29106.15,38.69
23,0.0,274186.28,39998.22,0.0
10,0.04,365171.7,29206.54,40.0
11,0.04,362060.62,29555.99,39.97
7,3.96,425004.23,27914.65,40.0
11,0.0,361029.67,29758.31,38.63
21,0.13,283271.44,38843.26,0.0
15,0.0,298485.24,35939.37,0.0
15,0.06,350140.38,31217.66,39.97
8,6.79,450566.06,27689.79,40.0
8,4.86,435149.9,27811.77,40.0
7,1.19,392270.3,28242.58,39.98
19,0.0,286328.99,37869.77,0.0
7,0.61,384025.57,28352.59,40.0
9,9.24,468225.49,27608.75,40.0
15,0.0,348482.11,31580.37,37.39
18,0.0,289364.62,37366.61,0.0
7,0.11,375978.61,28484.49,40.0
7,3.01,414595.98,28000.63,39.98
8,8.7,462712.88,27639.59,40.0
18,0.13,292364.55,37297.16,0.0
18,0.0,339382.36,32903.97,38.4
17,0.13,295392.28,36809.07,0.0
9,11.11,478367.1,27575.19,40.0
16,0.0,295437.85,36401.19,0.0
7,0.99,389528.52,28275.27,40.0
14,0.09,353955.8,30746.04,40.0
16,0.13,298477.51,36331.42,0.0
17,0.0,342401.2,32454.44,38.0
8,5.13,437688.4,27781.61,40.0
9,0.15,370524.39,28858.2,40.0
7,0.24,327453.53,33349.56,0.0
13,0.0,304581.42,35091.01,0.0
14,0.0,301535.81,35502.04,0.0
15,0.13,301525.33,35870.05,0.0
8,7.15,453046.41,27679.62,40.0
17,0.1,344761.1,32156.5,40.0
9,0.13,319545.61,33722.73,0.0
7,2.78,411886.38,28025.64,39.98
14,0.13,304578.3,35433.28,0.0
7,0.44,330959.75,33294.11,0.0
8,0.03,371211.22,28671.62,39.99
7,4.22,427662.67,27894.42,40.0
8,6.42,448000.85,27702.6,39.99
25,0.13,271138.02,41043.09,0.0
7,0.59,383815.06,28356.9,39.99
30,0.0,253071.88,44000.52,0.0
23,0.02,274593.57,39988.56,0.0
34,0.13,243958.84,46318.96,0.0
34,0.0,240960.4,46390.04,0.0
8,5.29,439128.89,27766.41,40.0
32,0.13,249986.03,45117.34,0.0
32,0.0,247007.97,45187.94,0.0
