generation,best_cost_eur,best_emissions_kg
1,371369.66,31554.7
2,369394.96,31554.7
3,369031.17,31554.7
4,369031.17,31554.64
5,369031.17,31554.64
6,369031.17,31554.64
7,369031.17,31551.78
8,369031.17,31551.78
9,368992.69,31551.78
10,368984.17,31551.78
11,368983.16,31551.78
12,368983.16,31551.78
13,368983.16,31551.78
14,368983.16,31551.78
15,368976.4,31551.78
16,368976.4,31551.78
17,368976.4,31551.78
18,368976.4,31551.78
19,368976.33,31551.78
20,368976.33,31551.78
21,368976.33,31551.78
22,368976.33,31551.78
23,368976.22,31551.78
24,368976.22,31551.78
25,368976.22,31551.78
26,368976.22,31551.78
27,368976.22,31551.78
28,368976.22,31551.78
29,368976.22,31551.78
30,368976.22,31551.78
31,368976.22,31551.77
32,368976.22,31551.77
33,368976.22,31551.77
34,368976.22,31551.77
35,368976.22,31551.77
36,368976.22,31551.77
37,368976.22,31551.77
38,368976.22,31551.77
39,368976.22,31551.77
40,368976.22,31551.77
41,368976.22,31551.77
42,368976.22,31551.77
43,368976.22,31551.77
44,368976.22,31551.77
45,368976.22,31551.76
46,368976.22,31551.76
47,368976.22,31551.76
48,368976.22,31551.76
49,368976.22,31551.76
50,368976.22,31551.76
51,368976.22,31551.76
52,368976.22,31551.76
53,368976.22,31551.76
54,368976.22,31551.76
55,368976.22,31551.76
56,368976.22,31551.76
57,368976.22,31551.76
58,368976.22,31551.76
59,368976.22,31551.76
60,368976.22,31551.76
