N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
40,0.0,368976.22,37952.98
40,0.0,368976.22,37952.98
21,22.4,547396.51,31551.76
38,0.11,373025.45,37411.14
32,0.0,379689.34,35967.03
32,0.11,380994.19,35939.59
38,0.0,371684.32,37439.51
40,0.11,370333.46,37924.09
35,0.11,377037.11,36662.15
37,0.0,373029.75,37187.49
36,0.0,374370.33,36937.64
35,0.0,375707.78,36690.25
39,0.11,371681.43,37666.07
39,0.0,370333.78,37694.69
30,0.1,383563.4,35485.52
27,0.0,386104.03,34871.81
26,0.1,388597.33,34644.39
37,0.11,374369.9,37159.16
33,0.0,378370.2,36203.95
36,0.11,375702.9,36909.43
27,0.1,387348.97,34846.14
34,0.0,377041.82,36445.57
34,0.11,378367.89,36417.53
25,0.1,389828.76,34448.19
33,0.11,379688.2,36176.1
29,0.0,383569.22,35293.03
30,0.0,382286.17,35512.24
31,0.1,382272.66,35709.61
31,0.0,380994.43,35736.47
29,0.1,384831.24,35266.76
28,0.0,384841.16,35079.6
26,0.0,387356.35,34669.98
22,0.1,393446.75,33910.31
24,0.1,391047.05,34260.11
23,0.0,391054.64,34105.77
28,0.1,386099.72,35053.47
21,0.1,394630.47,33747.64
24,0.0,389838.28,34284.54
14,4.73,441653.5,32554.15
14,1.83,418009.41,32765.18
25,0.0,388602.69,34473.28
23,0.1,392257.94,34081.46
22,0.0,392261.65,33934.07
20,18.31,530129.1,31618.67
19,18.22,528049.09,31627.82
21,0.0,393454.3,33770.98
16,13.59,500541.04,31944.39
14,3.55,432450.93,32629.78
14,4.07,436533.43,32595.06
20,0.1,395790.57,33595.69
15,6.08,452420.53,32476.37
15,8.81,471920.18,32306.74
14,2.14,420769.14,32737.51
17,0.1,399175.18,33201.09
16,10.11,481209.79,32196.09
19,0.1,396954.0,33452.21
14,4.43,439328.81,32572.45
16,11.62,490026.09,32082.75
20,0.0,394630.73,33618.43
20,19.88,536441.93,31579.61
18,16.58,519033.22,31705.26
16,14.01,502658.02,31918.04
14,5.06,444176.59,32535.06
15,8.53,470113.28,32325.28
17,11.68,491931.01,32063.71
15,6.26,453793.93,32465.3
19,0.0,395799.26,33474.83
15,7.7,464465.98,32378.53
14,4.34,438584.57,32578.41
14,2.9,427176.35,32676.58
19,17.23,523812.31,31659.81
18,16.23,517414.31,31720.73
14,5.35,446409.4,32518.69
16,11.45,489066.61,32094.55
18,14.99,511434.27,31787.66
17,15.13,510227.87,31805.59
13,0.22,404410.3,32931.74
17,11.0,487882.58,32123.36
19,15.5,515728.95,31755.66
18,0.0,396956.79,33340.37
15,6.7,457147.8,32439.16
14,3.91,435248.1,32605.73
15,7.53,463260.17,32389.31
18,15.5,513958.82,31757.64
13,2.32,422560.94,32723.86
14,4.96,443410.28,32540.77
17,14.07,504973.86,31868.62
15,7.35,461999.06,32400.63
20,18.75,531945.29,31603.88
