generation,best_cost_eur,best_emissions_kg
1,160968.8,14663.55
2,159217.07,14663.55
3,157729.5,14663.55
4,153324.52,14639.7
5,143639.58,14639.7
6,143639.58,14639.7
7,143639.58,14639.7
8,140739.7,14605.95
9,131368.48,14605.95
10,131368.48,14591.89
11,127943.51,14591.89
12,126504.15,14590.99
13,126504.15,14590.99
14,126148.21,14590.9
15,124873.17,14590.9
16,124873.17,14590.9
17,124604.33,14590.9
18,124370.04,14590.9
19,124228.94,14590.9
20,123670.47,14590.9
21,123584.37,14590.9
22,123584.37,14590.75
23,123580.54,14590.75
24,123580.54,14590.75
25,123580.54,14590.75
26,123580.54,14590.63
27,123580.54,14590.63
28,123580.54,14590.63
29,123580.54,14590.44
30,123580.54,14590.44
31,123580.54,14590.44
32,123580.25,14590.44
33,123579.8,14590.44
34,123579.8,14590.44
35,123579.8,14590.26
36,123578.5,14590.23
37,123578.5,14590.23
38,123578.5,14590.23
39,123578.46,14590.23
40,123578.46,14590.23
41,123578.46,14590.23
42,123578.45,14590.23
43,123578.45,14590.23
44,123578.45,14590.23
45,123578.45,14590.23
46,123578.45,14590.23
47,123578.45,14590.23
48,123578.13,14590.23
49,123578.13,14590.23
50,123578.12,14590.23
51,123578.12,14590.23
52,123578.12,14590.23
53,123578.12,14590.23
54,123578.12,14590.23
55,123578.12,14590.23
56,123578.12,14590.2
57,123578.12,14590.2
58,123578.12,14590.2
59,123578.12,14590.2
60,123578.12,14590.2
