generation,best_cost_eur,best_emissions_kg
1,742162.21,58936.47
2,742162.21,58921.14
3,742162.21,58921.14
4,741825.15,58921.14
5,741825.15,58920.51
6,740577.75,58920.51
7,740546.17,58920.51
8,740546.17,58920.51
9,740546.17,58920.51
10,740489.45,58920.51
11,740489.45,58920.32
12,740489.45,58920.32
13,740489.45,58920.32
14,739969.2,58920.32
15,739969.2,58920.32
16,739919.28,58920.32
17,739919.28,58920.32
18,739919.28,58920.32
19,739918.54,58920.32
20,739918.54,58920.32
21,739918.54,58920.32
22,739918.54,58920.32
23,739918.54,58920.32
24,739918.54,58920.32
25,739918.54,58920.32
26,739918.54,58920.32
27,739918.54,58920.32
28,739918.54,58920.32
29,739918.54,58920.32
30,739918.54,58920.32
31,739918.54,58920.32
32,739918.54,58920.32
33,739918.54,58920.32
34,739918.54,58920.32
35,739918.54,58920.32
36,739918.54,58920.32
37,739918.54,58920.32
38,739918.54,58920.32
39,739918.54,58920.32
40,739918.54,58920.32
41,739918.54,58920.32
42,739918.54,58920.32
43,739918.54,58920.32
44,739918.54,58920.32
45,739918.54,58920.32
46,739918.54,58920.32
47,739918.54,58920.32
48,739918.54,58920.32
49,739918.54,58920.32
50,739918.54,58920.32
51,739918.54,58920.32
52,739918.54,58920.32
53,739918.54,58920.32
54,739918.54,58920.32
55,739918.54,58920.32
56,739918.54,58920.32
57,739918.54,58920.32
58,739918.54,58920.32
59,739918.54,58920.32
60,739918.54,58920.32
