N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg
20,21.14,1021897.35,58920.32
40,0.0,739918.54,72297.18
20,21.14,1021897.35,58920.32
40,0.0,739918.54,72297.18
40,0.01,740240.26,72289.77
39,0.01,740569.6,71759.37
38,0.01,740897.77,71235.16
38,0.0,740574.94,71242.69
37,0.01,741220.93,70715.63
36,0.0,741221.14,70209.18
37,0.0,740898.0,70723.13
39,0.0,740248.51,71766.83
35,0.0,741541.27,69703.01
33,0.0,742183.13,68706.17
33,0.01,742500.55,68698.79
36,0.01,741540.24,70201.8
32,0.01,742818.52,68209.58
34,0.01,742181.52,69194.23
35,0.01,741860.62,69695.62
34,0.0,741860.98,69201.61
31,0.0,742824.83,67734.26
31,0.01,743139.88,67726.96
30,0.0,743145.57,67259.48
15,10.37,903431.92,60057.91
32,0.0,742504.33,68216.86
29,0.0,743462.42,66798.03
28,0.0,743773.61,66349.68
29,0.01,743773.51,66790.9
30,0.01,743459.78,67252.28
28,0.01,744068.69,66342.92
26,0.0,744383.11,65489.18
27,0.0,744080.22,65913.89
15,10.87,908825.19,59986.48
26,0.01,744678.63,65482.52
25,0.0,744693.48,65074.61
27,0.01,744377.79,65907.12
25,0.01,745002.96,65067.65
13,4.32,818153.1,60878.03
24,0.0,745005.03,64673.86
24,0.01,745312.99,64666.97
23,0.0,745318.82,64287.55
23,0.01,745621.11,64280.89
14,7.58,866697.79,60489.52
20,20.57,1017845.11,58925.42
22,0.0,745627.05,63920.75
20,19.92,1013121.91,58941.46
14,7.23,862127.18,60531.82
20,0.0,746256.57,63240.64
21,0.0,745934.86,63572.82
13,6.7,851744.72,60639.47
22,0.01,745933.31,63914.01
21,0.01,746251.72,63565.9
19,0.0,746582.04,62929.65
12,0.37,755466.3,61528.88
15,13.17,931765.13,59671.91
13,4.04,814059.03,60911.94
14,7.1,860314.04,60548.15
13,5.59,836539.59,60738.61
19,0.02,746910.66,62922.63
20,0.01,746580.63,63233.67
14,6.18,847520.84,60654.34
13,2.85,796248.47,61070.46
18,0.02,747242.34,62632.11
18,0.0,746910.85,62639.2
12,1.41,772074.24,61310.11
17,14.17,951567.34,59400.11
15,8.86,886168.21,60291.39
17,0.0,747253.51,62366.44
16,13.85,943510.59,59489.1
13,1.75,778646.38,61246.53
12,1.96,781265.02,61221.35
17,13.7,947030.1,59462.94
13,3.04,799158.4,61043.5
18,16.79,979826.38,59105.85
17,0.02,747578.35,62359.66
17,14.95,958884.29,59306.95
16,12.91,934411.37,59615.26
14,8.64,879929.16,60356.35
14,8.49,878139.32,60374.74
16,0.0,747589.15,62127.25
12,2.33,787045.77,61167.44
12,0.86,763289.38,61413.92
15,9.03,888220.87,60264.04
