N_PV_hh,E_BESS_cap_kwh,annual_cost_total_eur,annual_emissions_total_kg,E_TESS_cap_kwh
40,0.0,307331.32,50065.84,0.0
9,11.66,485528.36,27574.07,40.0
9,11.66,485528.36,27574.07,40.0
40,0.0,307331.32,50065.84,0.0
7,1.31,347940.67,33130.2,0.0
40,0.02,307777.53,50054.17,0.0
38,0.0,308253.95,48829.51,0.0
37,0.0,308715.62,48215.26,0.0
38,0.02,308704.94,48817.81,0.0
35,0.0,309651.26,46995.44,0.0
39,0.0,307791.68,49446.42,0.0
39,0.02,308250.15,49434.49,0.0
33,0.0,310602.57,45787.23,0.0
33,0.02,311052.52,45775.5,0.0
30,0.0,312061.35,44001.52,0.0
30,0.02,312516.3,43989.76,0.0
28,0.0,313069.74,42831.93,0.0
31,0.02,312031.6,44581.04,0.0
27,0.0,313585.47,42253.34,0.0
28,0.02,313575.09,42818.72,0.0
36,0.0,309181.73,47603.66,0.0
27,0.02,314100.42,42240.25,0.0
26,0.0,314105.09,41680.58,0.0
34,0.0,310123.22,46390.05,0.0
7,1.55,351560.5,33097.98,0.0
26,0.02,314616.24,41667.44,0.0
29,0.0,312561.76,43414.69,0.0
25,0.02,315146.82,41100.58,0.0
24,0.0,315184.61,40552.68,0.0
24,0.02,315691.51,40539.59,0.0
23,0.0,315744.58,39998.22,0.0
36,0.02,309636.98,47591.85,0.0
25,0.0,314638.61,41113.61,0.0
23,0.02,316248.45,39985.23,0.0
21,0.0,316901.89,38913.77,0.0
34,0.02,310579.66,46378.21,0.0
21,0.03,317501.3,38898.4,0.0
20,0.0,317509.77,38386.13,0.0
37,0.02,309173.91,48203.48,0.0
35,0.02,310120.96,46983.15,0.0
20,0.03,318095.95,38371.07,0.0
31,0.0,311569.85,44592.99,0.0
32,0.0,311084.41,45188.2,0.0
32,0.02,311540.3,45176.37,0.0
22,0.03,316900.71,39437.35,0.0
18,0.0,318776.12,37366.61,0.0
7,0.53,337065.25,33274.93,0.0
29,0.02,313065.46,43401.55,0.0
12,0.01,374622.37,30334.69,37.12
18,0.03,319423.35,37350.33,0.0
15,0.0,372021.06,31543.02,37.68
16,0.0,320118.33,36401.19,0.0
8,7.76,460475.94,27659.32,40.0
19,0.03,318775.38,37853.47,0.0
22,0.0,316314.89,39452.39,0.0
17,0.03,320104.77,36861.25,0.0
6,0.16,332465.45,33372.9,0.0
19,0.0,318135.91,37869.77,0.0
7,0.69,339424.56,33238.81,0.0
14,0.0,321582.32,35502.04,0.0
14,0.03,322270.88,35484.99,0.0
7,4.6,434682.53,27863.03,40.0
7,0.41,335331.82,33302.86,0.0
9,10.87,481542.7,27577.09,40.0
17,0.0,319434.71,36878.05,0.0
12,0.0,323190.16,34709.87,0.0
9,8.82,470596.01,27623.82,39.98
13,0.0,322367.32,35091.01,0.0
7,2.17,359823.2,33014.19,0.0
10,0.0,376254.09,29618.69,37.22
16,0.0,371250.21,32048.97,37.36
8,8.09,462529.99,27649.47,40.0
7,4.78,436321.81,27857.77,39.94
7,2.68,366345.85,32956.37,0.0
12,0.03,323890.44,34693.44,0.0
7,2.78,416121.14,28023.95,40.0
16,0.03,320805.58,36383.92,0.0
9,10.39,479080.47,27582.71,40.0
15,0.0,320830.74,35939.37,0.0
8,5.01,441066.65,27795.9,40.0
7,3.87,427679.23,27928.66,39.95
9,9.82,476088.04,27594.18,40.0
7,1.39,399974.6,28207.48,40.0
7,1.8,354834.54,33061.77,0.0
7,0.3,333565.08,33332.31,0.0
9,8.4,468098.82,27634.84,39.99
15,0.03,321525.86,35921.95,0.0
17,0.0,370553.43,32534.78,37.36
8,5.17,442473.62,27779.06,39.99
17,0.0,370295.41,32717.97,35.92
8,8.63,465657.4,27640.39,40.0
9,9.32,473399.84,27606.18,40.0
6,1.1,396815.45,28245.4,40.0
11,0.0,324060.56,34362.56,0.0
7,0.8,340849.64,33218.49,0.0
7,1.53,401683.35,28185.69,40.0
7,2.35,411344.4,28072.63,40.0
7,0.08,329858.95,33400.67,0.0
13,0.03,323080.43,35073.77,0.0
8,8.35,464035.91,27646.1,39.99
10,0.0,325008.76,34049.74,0.0
7,2.0,357572.98,33035.83,0.0
6,0.53,389669.57,28338.02,39.98
7,2.48,363854.62,32977.86,0.0
7,2.89,369030.62,32934.1,0.0
