season,hour,electricity_demand_kwh,total_electricity_consumption_kwh,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,electric_boiler_electric_demand_kwh,thermal_demand_kwh,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,grid_supply_kwh,gas_boiler_heat_kwh,electric_boiler_heat_kwh,bess_soc_kwh,bess_charge_kwh,bess_discharge_kwh,tess_soc_kwh,tess_charge_kwh,tess_discharge_kwh,cost_pv_capex_hour_eur,cost_pv_om_eur,cost_grid_eur,cost_gas_boiler_eur,cost_electric_boiler_eur,cost_heat_pump_eur,cost_bess_eur,cost_tess_eur,total_cost_hour_eur,emissions_grid_kg,emissions_gas_boiler_kg,emissions_electric_boiler_kg,emissions_heat_pump_kg,emissions_bess_kg,emissions_tess_kg,total_emissions_hour_kg
Winter,0,0.2656,1.7953,0.0,0.0,1.5297,1.5144,0.0,0.0,0.0,0.0,1.7953,0.0,1.5144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3219,0.0,0.2272,0.0,0.0,0.0,0.5491,0.0359,0.0,0.0,0.0,0.0,0.0,0.0359
Winter,1,0.2596,1.8455,0.0,0.0,1.5859,1.57,0.0,0.0,0.0,0.0,1.8455,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3309,0.0,0.2355,0.0,0.0,0.0,0.5664,0.0369,0.0,0.0,0.0,0.0,0.0,0.0369
Winter,2,0.2725,2.0538,0.0,0.0,1.7813,1.7635,0.0,0.0,0.0,0.0,2.0538,0.0,1.7635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3682,0.0,0.2645,0.0,0.0,0.0,0.6328,0.0411,0.0,0.0,0.0,0.0,0.0,0.0411
Winter,3,0.2517,2.632,0.0,0.0,2.3803,2.3565,0.0,0.0,0.0,0.0,2.632,0.0,2.3565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4719,0.0,0.3535,0.0,0.0,0.0,0.8254,0.0526,0.0,0.0,0.0,0.0,0.0,0.0526
Winter,4,0.2432,3.8539,0.0,0.0,3.6107,3.5746,0.0,0.0,0.0,0.0,3.8539,0.0,3.5746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.691,0.0,0.5362,0.0,0.0,0.0,1.2272,0.0771,0.0,0.0,0.0,0.0,0.0,0.0771
Winter,5,0.2479,4.7609,0.0,0.0,4.513,4.4679,0.0,0.0,0.0,0.0,4.7609,0.0,4.4679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8536,0.0,0.6702,0.0,0.0,0.0,1.5238,0.0952,0.0,0.0,0.0,0.0,0.0,0.0952
Winter,6,0.233,4.5287,0.0,0.0,4.2957,4.2527,0.0,0.0,0.0,0.0,4.5287,0.0,4.2527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.0,0.6379,0.0,0.0,0.0,1.4499,0.0906,0.0,0.0,0.0,0.0,0.0,0.0906
Winter,7,0.2541,4.079,0.0,0.0,3.8249,3.7867,0.0,0.0,0.0,0.0,4.079,0.0,3.7867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7314,0.0,0.568,0.0,0.0,0.0,1.2994,0.0816,0.0,0.0,0.0,0.0,0.0,0.0816
Winter,8,0.38,3.9366,0.0,0.0,3.5566,3.521,0.0,0.0,0.0,0.0,3.9366,0.0,3.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058,0.0,0.5282,0.0,0.0,0.0,1.234,0.0787,0.0,0.0,0.0,0.0,0.0,0.0787
Winter,9,0.5358,3.8605,0.0,0.0,3.3247,3.2915,0.0,0.0,0.0,0.0,3.8605,0.0,3.2915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6922,0.0,0.4937,0.0,0.0,0.0,1.1859,0.0772,0.0,0.0,0.0,0.0,0.0,0.0772
Winter,10,0.5568,3.7177,0.0,0.0,3.1608,3.1292,0.0,0.0,0.0,0.0,3.7177,0.0,3.1292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666,0.0,0.4694,0.0,0.0,0.0,1.136,0.0744,0.0,0.0,0.0,0.0,0.0,0.0744
Winter,11,0.6546,3.7565,0.0,0.0,3.1019,3.0709,0.0,0.0,0.0,0.0,3.7565,0.0,3.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6735,0.0,0.4606,0.0,0.0,0.0,1.1342,0.0751,0.0,0.0,0.0,0.0,0.0,0.0751
Winter,12,0.6845,3.691,0.0,0.0,3.0066,2.9765,0.0,0.0,0.0,0.0,3.691,0.0,2.9765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6618,0.0,0.4465,0.0,0.0,0.0,1.1083,0.0738,0.0,0.0,0.0,0.0,0.0,0.0738
Winter,13,0.6279,3.6756,0.0,0.0,3.0477,3.0172,0.0,0.0,0.0,0.0,3.6756,0.0,3.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.0,0.4526,0.0,0.0,0.0,1.1116,0.0735,0.0,0.0,0.0,0.0,0.0,0.0735
Winter,14,0.5498,3.6801,0.0,0.0,3.1302,3.0989,0.0,0.0,0.0,0.0,3.6801,0.0,3.0989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6598,0.0,0.4648,0.0,0.0,0.0,1.1247,0.0736,0.0,0.0,0.0,0.0,0.0,0.0736
Winter,15,0.4145,3.6884,0.0,0.0,3.2739,3.2412,0.0,0.0,0.0,0.0,3.6884,0.0,3.2412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6613,0.0,0.4862,0.0,0.0,0.0,1.1475,0.0738,0.0,0.0,0.0,0.0,0.0,0.0738
Winter,16,0.4143,3.9061,0.0,0.0,3.4918,3.4569,0.0,0.0,0.0,0.0,3.9061,0.0,3.4569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7004,0.0,0.5185,0.0,0.0,0.0,1.2189,0.0781,0.0,0.0,0.0,0.0,0.0,0.0781
