timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,gas_boiler_heat_kwh,cost_gas_boiler_eur,emissions_gas_boiler_kg
25.10,00:00,1.9287,1.9287,10.9168,1.9287,0.3716,0.2693,2.0802,0.0386,0.26,10.9168,1.4393,0.2214
25.10,01:00,1.8994,1.8994,11.2114,1.8994,0.3659,0.2693,2.1134,0.038,0.2654,11.2114,1.4782,0.2274
25.10,02:00,1.8997,1.8997,11.9167,1.8997,0.366,0.2693,2.2065,0.038,0.2797,11.9167,1.5712,0.2417
25.10,03:00,1.5496,1.5496,14.3161,1.5496,0.2985,0.2693,2.4553,0.031,0.3214,14.3161,1.8875,0.2904
25.10,04:00,1.874,1.874,19.814,1.874,0.361,0.2693,3.2427,0.0375,0.4394,19.814,2.6124,0.4019
25.10,05:00,2.2298,2.2298,25.0533,2.2298,0.4296,0.2693,4.0021,0.0446,0.5528,25.0533,3.3032,0.5082
25.10,06:00,1.9896,1.9896,23.5354,1.9896,0.3833,0.2693,3.7557,0.0398,0.5172,23.5354,3.103,0.4774
25.10,07:00,2.0556,2.0556,22.1228,2.0556,0.396,0.2693,3.5821,0.0411,0.4898,22.1228,2.9168,0.4487
25.10,08:00,2.9475,2.9475,21.275,2.9475,0.5679,0.2693,3.6422,0.0589,0.4905,21.275,2.805,0.4315
25.10,09:00,2.7192,2.7192,20.4307,2.7192,0.5239,0.2693,3.4869,0.0544,0.4688,20.4307,2.6937,0.4144
25.10,10:00,3.4179,3.4179,19.5523,3.4179,0.6585,0.2693,3.5057,0.0684,0.465,19.5523,2.5779,0.3966
25.10,11:00,3.1485,3.1485,19.1675,3.1485,0.6066,0.2693,3.403,0.063,0.4518,19.1675,2.5272,0.3888
25.10,12:00,2.9591,2.9591,18.7494,2.9591,0.5701,0.2693,3.3114,0.0592,0.4395,18.7494,2.472,0.3803
25.10,13:00,2.3732,2.3732,19.1075,2.3732,0.4572,0.2693,3.2458,0.0475,0.435,19.1075,2.5192,0.3876
25.10,14:00,2.2771,2.2771,19.3994,2.2771,0.4387,0.2693,3.2657,0.0455,0.439,19.3994,2.5577,0.3935
25.10,15:00,2.1676,2.1676,20.3095,2.1676,0.4176,0.2693,3.3646,0.0434,0.4553,20.3095,2.6777,0.412
25.10,16:00,2.4085,2.4085,20.9761,2.4085,0.464,0.2693,3.4989,0.0482,0.4736,20.9761,2.7656,0.4255
25.10,17:00,4.1209,4.1209,21.1794,4.1209,0.7939,0.2693,3.8556,0.0824,0.512,21.1794,2.7924,0.4296
