timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,gas_boiler_heat_kwh,cost_gas_boiler_eur,emissions_gas_boiler_kg
15.04,00:00,0.5753,0.5753,0.548,0.5753,0.1031,0.1754,0.0115,0.0226,0.548,0.0723,0.0111
15.04,01:00,0.5155,0.5155,0.6445,0.5155,0.0924,0.1774,0.0103,0.0234,0.6445,0.085,0.0131
15.04,02:00,0.4447,0.4447,1.0198,0.4447,0.0797,0.2142,0.0089,0.0296,1.0198,0.1345,0.0207
15.04,03:00,0.4403,0.4403,1.9461,0.4403,0.0789,0.3355,0.0088,0.0483,1.9461,0.2566,0.0395
15.04,04:00,0.4817,0.4817,2.3417,0.4817,0.0864,0.3951,0.0096,0.0571,2.3417,0.3087,0.0475
15.04,05:00,0.5054,0.5054,2.2765,0.5054,0.0906,0.3908,0.0101,0.0563,2.2765,0.3001,0.0462
15.04,06:00,0.6699,0.6699,1.8542,0.6699,0.1201,0.3646,0.0134,0.051,1.8542,0.2445,0.0376
15.04,07:00,0.6967,0.6967,1.777,0.6967,0.1249,0.3592,0.0139,0.05,1.777,0.2343,0.036
15.04,08:00,0.8199,0.8199,1.6015,0.8199,0.147,0.3582,0.0164,0.0489,1.6015,0.2112,0.0325
15.04,09:00,1.0271,1.0271,1.5038,1.0271,0.1842,0.3824,0.0205,0.051,1.5038,0.1983,0.0305
15.04,10:00,1.0428,1.0428,1.4202,1.0428,0.187,0.3742,0.0209,0.0497,1.4202,0.1872,0.0288
15.04,11:00,1.1918,1.1918,1.2747,1.1918,0.2137,0.3818,0.0238,0.0497,1.2747,0.1681,0.0259
15.04,12:00,1.107,1.107,1.2295,1.107,0.1985,0.3606,0.0221,0.0471,1.2295,0.1621,0.0249
15.04,13:00,0.9479,0.9479,1.1899,0.9479,0.17,0.3268,0.019,0.0431,1.1899,0.1569,0.0241
15.04,14:00,0.8343,0.8343,1.251,0.8343,0.1496,0.3145,0.0167,0.0421,1.251,0.1649,0.0254
15.04,15:00,0.7036,0.7036,1.3498,0.7036,0.1262,0.3041,0.0141,0.0415,1.3498,0.178,0.0274
15.04,16:00,0.7406,0.7406,1.4307,0.7406,0.1328,0.3214,0.0148,0.0438,1.4307,0.1886,0.029
15.04,17:00,0.8902,0.8902,1.5672,0.8902,0.1596,0.3662,0.0178,0.0496,1.5672,0.2066,0.0318
15.04,18:00,1.128,1.128,1.5859,1.128,0.2023,0.4113,0.0226,0.0547,1.5859,0.2091,0.0322
15.04,19:00,0.984,0.984,1.4022,0.984,0.1764,0.3613,0.0197,0.0481,1.4022,0.1849,0.0284
15.04,20:00,1.0278,1.0278,1.0439,1.0278,0.1843,0.3219,0.0206,0.0417,1.0439,0.1376,0.0212
15.04,21:00,0.8294,0.8294,0.6129,0.8294,0.1487,0.2295,0.0166,0.029,0.6129,0.0808,0.0124
15.04,22:00,0.7482,0.7482,0.4774,0.7482,0.1342,0.1971,0.015,0.0246,0.4774,0.0629,0.0097
15.04,23:00,0.7053,0.7053,0.5362,0.7053,0.1265,0.1972,0.0141,0.025,0.5362,0.0707,0.0109
