timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,gas_boiler_heat_kwh,cost_gas_boiler_eur,emissions_gas_boiler_kg
15.10,00:00,0.4252,0.4252,1.5018,0.4252,0.0819,0.0269,0.3069,0.0119,0.0424,1.5018,0.198,0.0305
15.10,01:00,0.3854,0.3854,1.6101,0.3854,0.0742,0.0269,0.3135,0.0108,0.0434,1.6101,0.2123,0.0327
15.10,02:00,0.5371,0.5371,1.6681,0.5371,0.1035,0.0269,0.3503,0.015,0.0489,1.6681,0.2199,0.0338
15.10,03:00,0.5919,0.5919,1.8667,0.5919,0.114,0.0269,0.3871,0.0166,0.0544,1.8667,0.2461,0.0379
15.10,04:00,0.5607,0.5607,2.4809,0.5607,0.108,0.0269,0.462,0.0157,0.066,2.4809,0.3271,0.0503
15.10,05:00,0.6179,0.6179,3.7852,0.6179,0.119,0.0269,0.645,0.0173,0.0941,3.7852,0.4991,0.0768
15.10,06:00,0.5566,0.5566,4.7337,0.5566,0.1072,0.0269,0.7583,0.0156,0.1116,4.7337,0.6241,0.096
15.10,07:00,0.6431,0.6431,4.5115,0.6431,0.1239,0.0269,0.7456,0.018,0.1095,4.5115,0.5948,0.0915
15.10,08:00,0.6253,0.6253,4.025,0.6253,0.1205,0.0269,0.6781,0.0175,0.0992,4.025,0.5307,0.0816
15.10,09:00,0.5607,0.5607,3.7535,0.5607,0.108,0.0269,0.6298,0.0157,0.0918,3.7535,0.4949,0.0761
15.10,10:00,0.5923,0.5923,3.5117,0.5923,0.1141,0.0269,0.604,0.0166,0.0878,3.5117,0.463,0.0712
15.10,11:00,0.6095,0.6095,3.3381,0.6095,0.1174,0.0269,0.5845,0.0171,0.0848,3.3381,0.4401,0.0677
15.10,12:00,0.5926,0.5926,3.2692,0.5926,0.1142,0.0269,0.5721,0.0166,0.0829,3.2692,0.431,0.0663
15.10,13:00,0.6841,0.6841,3.171,0.6841,0.1318,0.0269,0.5768,0.0192,0.0835,3.171,0.4181,0.0643
15.10,14:00,1.0383,1.0383,3.2106,1.0383,0.2,0.0269,0.6503,0.0291,0.0942,3.2106,0.4233,0.0651
15.10,15:00,1.0665,1.0665,3.2933,1.0665,0.2055,0.0269,0.6666,0.0299,0.0967,3.2933,0.4342,0.0668
15.10,16:00,0.8833,0.8833,3.4447,0.8833,0.1702,0.0269,0.6513,0.0247,0.0946,3.4447,0.4542,0.0699
15.10,17:00,0.8073,0.8073,3.6677,0.8073,0.1555,0.0269,0.666,0.0226,0.097,3.6677,0.4836,0.0744
15.10,18:00,0.7072,0.7072,3.7769,0.7072,0.1363,0.0269,0.6612,0.0198,0.0964,3.7769,0.498,0.0766
15.10,19:00,0.6417,0.6417,3.8536,0.6417,0.1236,0.0269,0.6586,0.018,0.0961,3.8536,0.5081,0.0782
15.10,20:00,0.6731,0.6731,3.7383,0.6731,0.1297,0.0269,0.6495,0.0188,0.0947,3.7383,0.4929,0.0758
15.10,21:00,0.5814,0.5814,3.3013,0.5814,0.112,0.0269,0.5742,0.0163,0.0832,3.3013,0.4353,0.067
15.10,22:00,0.5394,0.5394,2.3564,0.5394,0.1039,0.0269,0.4415,0.0151,0.0629,2.3564,0.3107,0.0478
15.10,23:00,0.4034,0.4034,1.696,0.4034,0.0777,0.0269,0.3283,0.0113,0.0457,1.696,0.2236,0.0344
