timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,gas_boiler_heat_kwh,cost_gas_boiler_eur,emissions_gas_boiler_kg
15.04,00:00,0.4403,0.4403,0.4697,0.4403,0.0848,0.0269,0.1737,0.0123,0.0219,0.4697,0.0619,0.0095
15.04,01:00,0.4817,0.4817,0.5277,0.4817,0.0928,0.0269,0.1893,0.0135,0.0242,0.5277,0.0696,0.0107
15.04,02:00,0.5054,0.5054,0.548,0.5054,0.0974,0.0269,0.1966,0.0142,0.0253,0.548,0.0723,0.0111
15.04,03:00,0.6699,0.6699,0.6445,0.6699,0.1291,0.0269,0.241,0.0188,0.0318,0.6445,0.085,0.0131
15.04,04:00,0.6967,0.6967,1.0198,0.6967,0.1342,0.0269,0.2956,0.0195,0.0402,1.0198,0.1345,0.0207
15.04,05:00,0.8199,0.8199,1.9461,0.8199,0.158,0.0269,0.4415,0.023,0.0624,1.9461,0.2566,0.0395
15.04,06:00,1.0271,1.0271,2.3417,1.0271,0.1979,0.0269,0.5336,0.0288,0.0763,2.3417,0.3087,0.0475
15.04,07:00,1.0428,1.0428,2.2765,1.0428,0.2009,0.0269,0.528,0.0292,0.0754,2.2765,0.3001,0.0462
15.04,08:00,1.1918,1.1918,1.8542,1.1918,0.2296,0.0269,0.501,0.0334,0.071,1.8542,0.2445,0.0376
15.04,09:00,1.107,1.107,1.777,1.107,0.2133,0.0269,0.4745,0.031,0.067,1.777,0.2343,0.036
15.04,10:00,0.9479,0.9479,1.6015,0.9479,0.1826,0.0269,0.4207,0.0265,0.059,1.6015,0.2112,0.0325
15.04,11:00,0.8343,0.8343,1.5038,0.8343,0.1607,0.0269,0.3859,0.0234,0.0539,1.5038,0.1983,0.0305
15.04,12:00,0.7036,0.7036,1.4202,0.7036,0.1356,0.0269,0.3497,0.0197,0.0485,1.4202,0.1872,0.0288
15.04,13:00,0.7406,0.7406,1.2747,0.7406,0.1427,0.0269,0.3377,0.0207,0.0466,1.2747,0.1681,0.0259
15.04,14:00,0.8902,0.8902,1.2295,0.8902,0.1715,0.0269,0.3605,0.0249,0.0499,1.2295,0.1621,0.0249
15.04,15:00,1.128,1.128,1.1899,1.128,0.2173,0.0269,0.4011,0.0316,0.0557,1.1899,0.1569,0.0241
15.04,16:00,0.984,0.984,1.251,0.984,0.1896,0.0269,0.3814,0.0276,0.0529,1.251,0.1649,0.0254
15.04,17:00,1.0278,1.0278,1.3498,1.0278,0.198,0.0269,0.4029,0.0288,0.0562,1.3498,0.178,0.0274
15.04,18:00,0.8294,0.8294,1.4307,0.8294,0.1598,0.0269,0.3754,0.0232,0.0522,1.4307,0.1886,0.029
15.04,19:00,0.7482,0.7482,1.5672,0.7482,0.1442,0.0269,0.3777,0.021,0.0527,1.5672,0.2066,0.0318
15.04,20:00,0.7053,0.7053,1.5859,0.7053,0.1359,0.0269,0.3719,0.0197,0.0519,1.5859,0.2091,0.0322
15.04,21:00,0.663,0.663,1.4022,0.663,0.1277,0.0269,0.3395,0.0186,0.047,1.4022,0.1849,0.0284
15.04,22:00,0.5992,0.5992,1.0439,0.5992,0.1154,0.0269,0.28,0.0168,0.038,1.0439,0.1376,0.0212
15.04,23:00,0.4441,0.4441,0.6129,0.4441,0.0856,0.0269,0.1933,0.0124,0.0249,0.6129,0.0808,0.0124
