timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,gas_boiler_heat_kwh,cost_gas_boiler_eur,emissions_gas_boiler_kg
15.07,00:00,0.5071,0.5071,0.2665,0.5071,0.0977,0.0269,0.1598,0.0142,0.0196,0.2665,0.0351,0.0054
15.07,01:00,0.5353,0.5353,0.3093,0.5353,0.1031,0.0269,0.1708,0.015,0.0213,0.3093,0.0408,0.0063
15.07,02:00,0.5046,0.5046,0.3055,0.5046,0.0972,0.0269,0.1644,0.0141,0.0203,0.3055,0.0403,0.0062
15.07,03:00,0.5454,0.5454,0.3487,0.5454,0.1051,0.0269,0.178,0.0153,0.0223,0.3487,0.046,0.0071
15.07,04:00,0.6738,0.6738,0.5826,0.6738,0.1298,0.0269,0.2335,0.0189,0.0307,0.5826,0.0768,0.0118
15.07,05:00,0.6873,0.6873,1.2013,0.6873,0.1324,0.0269,0.3177,0.0192,0.0436,1.2013,0.1584,0.0244
15.07,06:00,0.6354,0.6354,1.5424,0.6354,0.1224,0.0269,0.3527,0.0178,0.0491,1.5424,0.2034,0.0313
15.07,07:00,0.7139,0.7139,1.456,0.7139,0.1375,0.0269,0.3564,0.02,0.0495,1.456,0.192,0.0295
15.07,08:00,0.8872,0.8872,1.1381,0.8872,0.1709,0.0269,0.3479,0.0248,0.0479,1.1381,0.1501,0.0231
15.07,09:00,0.8396,0.8396,1.0958,0.8396,0.1618,0.0269,0.3332,0.0235,0.0457,1.0958,0.1445,0.0222
15.07,10:00,0.9576,0.9576,1.0138,0.9576,0.1845,0.0269,0.3451,0.0268,0.0474,1.0138,0.1337,0.0206
15.07,11:00,0.7377,0.7377,0.9893,0.7377,0.1421,0.0269,0.2995,0.0207,0.0407,0.9893,0.1304,0.0201
15.07,12:00,0.7798,0.7798,0.9499,0.7798,0.1502,0.0269,0.3024,0.0218,0.0411,0.9499,0.1252,0.0193
15.07,13:00,0.8589,0.8589,0.793,0.8589,0.1655,0.0269,0.297,0.024,0.0401,0.793,0.1046,0.0161
15.07,14:00,0.8008,0.8008,0.757,0.8008,0.1543,0.0269,0.281,0.0224,0.0378,0.757,0.0998,0.0154
15.07,15:00,0.8175,0.8175,0.6943,0.8175,0.1575,0.0269,0.276,0.0229,0.037,0.6943,0.0915,0.0141
15.07,16:00,0.7574,0.7574,0.7344,0.7574,0.1459,0.0269,0.2697,0.0212,0.0361,0.7344,0.0968,0.0149
15.07,17:00,0.8239,0.8239,0.8237,0.8239,0.1587,0.0269,0.2943,0.0231,0.0398,0.8237,0.1086,0.0167
15.07,18:00,0.6615,0.6615,0.8328,0.6615,0.1274,0.0269,0.2642,0.0185,0.0354,0.8328,0.1098,0.0169
15.07,19:00,0.5571,0.5571,0.8987,0.5571,0.1073,0.0269,0.2527,0.0156,0.0338,0.8987,0.1185,0.0182
15.07,20:00,0.5686,0.5686,0.938,0.5686,0.1095,0.0269,0.2601,0.0159,0.0349,0.938,0.1237,0.019
15.07,21:00,0.4211,0.4211,0.8339,0.4211,0.0811,0.0269,0.218,0.0118,0.0287,0.8339,0.1099,0.0169
15.07,22:00,0.3883,0.3883,0.6215,0.3883,0.0748,0.0269,0.1837,0.0109,0.0235,0.6215,0.0819,0.0126
15.07,23:00,0.385,0.385,0.3696,0.385,0.0742,0.0269,0.1498,0.0108,0.0183,0.3696,0.0487,0.0075
