timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,gas_boiler_heat_kwh,cost_gas_boiler_eur,emissions_gas_boiler_kg
15.01,00:00,0.5564,0.5564,1.915,0.5564,0.1072,0.0269,0.3866,0.0111,0.05,1.915,0.2525,0.0388
15.01,01:00,0.5369,0.5369,1.9853,0.5369,0.1034,0.0269,0.3921,0.0107,0.051,1.9853,0.2618,0.0403
15.01,02:00,0.555,0.555,2.23,0.555,0.1069,0.0269,0.4279,0.0111,0.0563,2.23,0.294,0.0452
15.01,03:00,0.5401,0.5401,2.9799,0.5401,0.1041,0.0269,0.5239,0.0108,0.0712,2.9799,0.3929,0.0604
15.01,04:00,0.4999,0.4999,4.5202,0.4999,0.0963,0.0269,0.7192,0.01,0.1017,4.5202,0.596,0.0917
15.01,05:00,0.5091,0.5091,5.6498,0.5091,0.0981,0.0269,0.8699,0.0102,0.1248,5.6498,0.7449,0.1146
15.01,06:00,0.4994,0.4994,5.3776,0.4994,0.0962,0.0269,0.8322,0.01,0.1191,5.3776,0.709,0.1091
15.01,07:00,0.5823,0.5823,4.7884,0.5823,0.1122,0.0269,0.7704,0.0116,0.1088,4.7884,0.6313,0.0971
15.01,08:00,0.8612,0.8612,4.4524,0.8612,0.1659,0.0269,0.7799,0.0172,0.1075,4.4524,0.587,0.0903
15.01,09:00,1.1419,1.1419,4.1622,1.1419,0.22,0.0269,0.7957,0.0228,0.1073,4.1622,0.5488,0.0844
15.01,10:00,1.2559,1.2559,3.957,1.2559,0.242,0.0269,0.7906,0.0251,0.1054,3.957,0.5217,0.0803
15.01,11:00,1.4646,1.4646,3.8832,1.4646,0.2822,0.0269,0.8211,0.0293,0.1081,3.8832,0.512,0.0788
15.01,12:00,1.4232,1.4232,3.7639,1.4232,0.2742,0.0269,0.7974,0.0285,0.1048,3.7639,0.4962,0.0763
15.01,13:00,1.2215,1.2215,3.8153,1.2215,0.2353,0.0269,0.7653,0.0244,0.1018,3.8153,0.503,0.0774
15.01,14:00,1.043,1.043,3.9186,1.043,0.2009,0.0269,0.7445,0.0209,0.1003,3.9186,0.5167,0.0795
15.01,15:00,0.8399,0.8399,4.0986,0.8399,0.1618,0.0269,0.7291,0.0168,0.0999,4.0986,0.5404,0.0831
15.01,16:00,0.9918,0.9918,4.3713,0.9918,0.1911,0.0269,0.7943,0.0198,0.1085,4.3713,0.5763,0.0887
15.01,17:00,1.2191,1.2191,4.5006,1.2191,0.2349,0.0269,0.8552,0.0244,0.1157,4.5006,0.5934,0.0913
15.01,18:00,1.5607,1.5607,4.5867,1.5607,0.3007,0.0269,0.9323,0.0312,0.1242,4.5867,0.6047,0.093
15.01,19:00,1.5063,1.5063,4.4485,1.5063,0.2902,0.0269,0.9036,0.0301,0.1204,4.4485,0.5865,0.0902
15.01,20:00,1.1942,1.1942,3.9229,1.1942,0.2301,0.0269,0.7742,0.0239,0.1035,3.9229,0.5172,0.0796
15.01,21:00,1.0226,1.0226,2.7985,1.0226,0.197,0.0269,0.5929,0.0205,0.0772,2.7985,0.369,0.0568
15.01,22:00,0.8887,0.8887,2.0134,0.8887,0.1712,0.0269,0.4636,0.0178,0.0586,2.0134,0.2655,0.0408
15.01,23:00,0.6265,0.6265,1.9187,0.6265,0.1207,0.0269,0.4006,0.0125,0.0514,1.9187,0.253,0.0389
