timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg
25.10,00:00,62.2475,285.9374,221.453,285.9374,11.9926,2.6929,96.6231,5.7187,5.7187,221.453,223.6899,81.9376,0.0
25.10,01:00,55.4239,327.5953,269.4497,327.5953,10.678,2.6929,113.0673,6.5519,6.5519,269.4497,272.1714,99.6964,0.0
25.10,02:00,49.6799,391.2947,338.1986,391.2947,9.5713,2.6929,137.3977,7.8259,7.8259,338.1986,341.6148,125.1335,0.0
25.10,03:00,47.1228,447.4937,396.3672,447.4937,9.0787,2.6929,158.4275,8.9499,8.9499,396.3672,400.371,146.6559,0.0
25.10,04:00,47.9418,504.1752,451.671,504.1752,9.2365,2.6929,179.0477,10.0835,10.0835,451.671,456.2334,167.1183,0.0
25.10,05:00,50.0697,577.2598,521.9183,577.2598,9.6464,2.6929,205.4491,11.5452,11.5452,521.9183,527.1902,193.1098,0.0
25.10,06:00,52.476,632.7398,574.4612,632.7398,10.11,2.6929,225.3536,12.6548,12.6548,574.4612,580.2638,212.5506,0.0
25.10,07:00,60.3972,648.6742,582.3942,648.6742,11.6361,2.6929,229.8149,12.9735,12.9735,582.3942,588.277,215.4859,0.0
25.10,08:00,63.5823,621.9012,552.7357,621.9012,12.2498,2.6929,219.4549,12.438,12.438,552.7357,558.3189,204.5122,0.0
25.10,09:00,67.7413,602.9547,529.8613,602.9547,13.051,2.6929,211.7926,12.0591,12.0591,529.8613,535.2134,196.0487,0.0
25.10,10:00,68.6598,585.0303,511.2068,585.0303,13.228,2.6929,205.0674,11.7006,11.7006,511.2068,516.3705,189.1465,0.0
25.10,11:00,70.7885,574.7168,498.8891,574.7168,13.6381,2.6929,200.92,11.4943,11.4943,498.8891,503.9284,184.589,0.0
25.10,12:00,67.2212,563.038,490.8586,563.038,12.9508,2.6929,197.2615,11.2608,11.2608,490.8586,495.8168,181.6177,0.0
25.10,13:00,67.0767,564.9532,492.8977,564.9532,12.923,2.6929,197.9881,11.2991,11.2991,492.8977,497.8764,182.3721,0.0
25.10,14:00,67.5674,572.3062,499.6914,572.3062,13.0175,2.6929,200.5963,11.4461,11.4461,499.6914,504.7388,184.8858,0.0
25.10,15:00,71.1751,587.766,511.4249,587.766,13.7126,2.6929,205.6328,11.7553,11.7553,511.4249,516.5909,189.2272,0.0
25.10,16:00,75.4807,604.1468,523.3794,604.1468,14.5421,2.6929,210.8854,12.0829,12.0829,523.3794,528.666,193.6504,0.0
25.10,17:00,78.3173,614.9932,531.3091,614.9932,15.0886,2.6929,214.3659,12.2999,12.2999,531.3091,536.6759,196.5844,0.0
25.10,18:00,77.3832,606.8,524.1226,606.8,14.9086,2.6929,211.5269,12.136,12.136,524.1226,529.4167,193.9254,0.0
25.10,19:00,78.9017,578.612,494.7132,578.612,15.2012,2.6929,200.938,11.5722,11.5722,494.7132,499.7103,183.0439,0.0
25.10,20:00,78.4399,538.1199,455.0832,538.1199,15.1122,2.6929,186.1859,10.7624,10.7624,455.0832,459.68,168.3808,0.0
25.10,21:00,69.9732,469.2574,395.2913,469.2574,13.481,2.6929,162.4317,9.3851,9.3851,395.2913,399.2841,146.2578,0.0
25.10,22:00,58.6519,396.6649,334.6329,396.6649,11.2999,2.6929,137.807,7.9333,7.9333,334.6329,338.013,123.8142,0.0
25.10,23:00,50.712,334.1603,280.6138,334.1603,9.7702,2.6929,116.2902,6.6832,6.6832,280.6138,283.4483,103.8271,0.0
26.10,00:00,44.5549,304.0243,256.8746,304.0243,8.584,2.6929,106.3205,6.0805,6.0805,256.8746,259.4693,95.0436,0.0
26.10,01:00,40.2187,303.6016,260.7491,303.6016,7.7485,2.6929,106.9186,6.072,6.072,260.7491,263.383,96.4772,0.0
26.10,02:00,39.3373,343.3035,300.9266,343.3035,7.5787,2.6929,121.6145,6.8661,6.8661,300.9266,303.9662,111.3428,0.0
26.10,03:00,39.6155,399.2134,356.0019,399.2134,7.6323,2.6929,142.046,7.9843,7.9843,356.0019,359.5979,131.7207,0.0
26.10,04:00,41.7832,457.1874,411.2502,457.1874,8.0499,2.6929,162.9054,9.1437,9.1437,411.2502,415.4042,152.1626,0.0
26.10,05:00,45.3285,528.9992,478.8339,528.9992,8.733,2.6929,188.5945,10.58,10.58,478.8339,483.6706,177.1686,0.0
26.10,06:00,49.4594,584.502,529.6922,584.502,9.5289,2.6929,208.2079,11.69,11.69,529.6922,535.0426,195.9861,0.0
26.10,07:00,56.4433,597.4853,535.6316,597.4853,10.8744,2.6929,211.751,11.9497,11.9497,535.6316,541.042,198.1837,0.0
26.10,08:00,62.2144,574.5406,507.2029,574.5406,11.9862,2.6929,202.3442,11.4908,11.4908,507.2029,512.3262,187.6651,0.0
26.10,09:00,64.191,552.341,483.2684,552.341,12.367,2.6929,193.8693,11.0468,11.0468,483.2684,488.1499,178.8093,0.0
26.10,10:00,64.9241,534.3423,464.724,534.3423,12.5083,2.6929,187.1491,10.6868,10.6868,464.724,469.4182,171.9479,0.0
26.10,11:00,65.8713,522.5722,452.1339,522.5722,12.6908,2.6929,182.6732,10.4514,10.4514,452.1339,456.7009,167.2896,0.0
26.10,12:00,64.5797,514.2601,445.1836,514.2601,12.4419,2.6929,179.8528,10.2852,10.2852,445.1836,449.6804,164.7179,0.0
26.10,13:00,63.6531,514.8591,446.694,514.8591,12.2634,2.6929,180.2331,10.2972,10.2972,446.694,451.2061,165.2768,0.0
26.10,14:00,66.1571,524.5177,453.777,524.5177,12.7458,2.6929,183.3362,10.4904,10.4904,453.777,458.3606,167.8975,0.0
26.10,15:00,69.1655,538.6565,464.7961,538.6565,13.3254,2.6929,187.9929,10.7731,10.7731,464.7961,469.491,171.9746,0.0
26.10,16:00,75.9018,558.4472,477.7199,558.4472,14.6232,2.6929,194.0725,11.1689,11.1689,477.7199,482.5454,176.7564,0.0
26.10,17:00,81.2057,572.7343,486.6134,572.7343,15.6451,2.6929,198.385,11.4547,11.4547,486.6134,491.5287,180.0469,0.0
26.10,18:00,82.7162,570.0385,482.449,570.0385,15.9361,2.6929,197.1352,11.4008,11.4008,482.449,487.3223,178.5061,0.0
26.10,19:00,84.9382,544.5266,454.9926,544.5266,16.3642,2.6929,187.4044,10.8905,10.8905,454.9926,459.5884,168.3472,0.0
26.10,20:00,83.1528,504.5651,417.1982,504.5651,16.0202,2.6929,173.0765,10.0913,10.0913,417.1982,421.4123,154.3633,0.0
26.10,21:00,75.3959,435.8497,356.8493,435.8497,14.5258,2.6929,149.2529,8.717,8.717,356.8493,360.4538,132.0342,0.0
26.10,22:00,65.4538,364.653,296.2072,364.653,12.6103,2.6929,124.8999,7.2931,7.2931,296.2072,299.1992,109.5967,0.0
26.10,23:00,57.1201,298.4702,238.9366,298.4702,11.0048,2.6929,102.1042,5.9694,5.9694,238.9366,241.3501,88.4065,0.0
27.10,00:00,49.5427,264.1842,212.4951,264.1842,9.5449,2.6929,90.861,5.2837,5.2837,212.4951,214.6415,78.6232,0.0
27.10,01:00,44.5021,259.5022,212.8501,259.5022,8.5738,2.6929,90.0212,5.19,5.19,212.8501,215.0001,78.7545,0.0
27.10,02:00,43.3159,295.5938,249.7551,295.5938,8.3452,2.6929,103.4475,5.9119,5.9119,249.7551,252.2778,92.4094,0.0
27.10,03:00,45.6227,350.6788,302.0055,350.6788,8.7897,2.6929,123.2246,7.0136,7.0136,302.0055,305.0561,111.742,0.0
27.10,04:00,49.551,408.7858,355.6424,408.7858,9.5465,2.6929,143.8271,8.1757,8.1757,355.6424,359.2348,131.5877,0.0
27.10,05:00,53.6678,475.1456,417.263,475.1456,10.3396,2.6929,167.4199,9.5029,9.5029,417.263,421.4778,154.3873,0.0
27.10,06:00,57.2911,524.9429,462.9753,524.9429,11.0377,2.6929,185.0315,10.4989,10.4989,462.9753,467.6519,171.3009,0.0
27.10,07:00,65.4186,538.0007,467.8563,538.0007,12.6035,2.6929,188.4033,10.76,10.76,467.8563,472.5821,173.1068,0.0
27.10,08:00,69.9516,512.5999,438.2219,512.5999,13.4769,2.6929,178.3119,10.252,10.252,438.2219,442.6483,162.1421,0.0
27.10,09:00,73.9151,490.9982,412.9122,490.9982,14.2405,2.6929,169.7109,9.82,9.82,412.9122,417.0831,152.7775,0.0
27.10,10:00,70.8768,468.9459,394.0884,468.9459,13.6551,2.6929,162.1608,9.3789,9.3789,394.0884,398.0691,145.8127,0.0
27.10,11:00,71.6014,459.242,383.7642,459.242,13.7947,2.6929,158.4804,9.1848,9.1848,383.7642,387.6406,141.9928,0.0
27.10,12:00,68.6086,449.5938,377.1754,449.5938,13.2181,2.6929,155.4659,8.9919,8.9919,377.1754,380.9852,139.5549,0.0
27.10,13:00,69.0414,453.0744,380.1926,453.0744,13.3015,2.6929,156.6657,9.0615,9.0615,380.1926,384.0329,140.6713,0.0
27.10,14:00,66.4718,458.6082,388.215,458.6082,12.8065,2.6929,159.1389,9.1722,9.1722,388.215,392.1364,143.6396,0.0
27.10,15:00,70.1252,474.4306,400.2624,474.4306,13.5103,2.6929,164.3003,9.4886,9.4886,400.2624,404.3054,148.0971,0.0
27.10,16:00,72.7115,488.4159,411.5473,488.4159,14.0086,2.6929,168.974,9.7683,9.7683,411.5473,415.7044,152.2725,0.0
27.10,17:00,76.5972,500.3617,419.5268,500.3617,14.7572,2.6929,172.6751,10.0072,10.0072,419.5268,423.7645,155.2249,0.0
27.10,18:00,76.5707,497.6209,416.8397,497.6209,14.7521,2.6929,171.6757,9.9524,9.9524,416.8397,421.0502,154.2307,0.0
27.10,19:00,77.702,474.1268,392.4606,474.1268,14.9701,2.6929,162.8734,9.4825,9.4825,392.4606,396.4248,145.2104,0.0
27.10,20:00,73.0961,434.2876,357.5796,434.2876,14.0827,2.6929,149.0801,8.6858,8.6858,357.5796,361.1915,132.3045,0.0
27.10,21:00,66.7265,377.9064,308.0681,377.9064,12.8555,2.6929,129.5336,7.5581,7.5581,308.0681,311.1799,113.9852,0.0
27.10,22:00,57.174,314.8299,255.0793,314.8299,11.0151,2.6929,108.0874,6.2966,6.2966,255.0793,257.6559,94.3793,0.0
