timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg
15.04,00:00,0.5753,1.1288,0.548,1.1288,0.2024,0.2846,0.0226,0.0226,0.548,0.5535,0.0822,0.0
15.04,01:00,0.5155,1.1665,0.6445,1.1665,0.2092,0.3058,0.0233,0.0233,0.6445,0.651,0.0967,0.0
15.04,02:00,0.4447,1.4748,1.0198,1.4748,0.2644,0.4174,0.0295,0.0295,1.0198,1.0301,0.153,0.0
15.04,03:00,0.4403,2.406,1.9461,2.406,0.4314,0.7233,0.0481,0.0481,1.9461,1.9658,0.2919,0.0
15.04,04:00,0.4817,2.847,2.3417,2.847,0.5105,0.8617,0.0569,0.0569,2.3417,2.3654,0.3513,0.0
15.04,05:00,0.5054,2.8049,2.2765,2.8049,0.5029,0.8444,0.0561,0.0561,2.2765,2.2995,0.3415,0.0
15.04,06:00,0.6699,2.5429,1.8542,2.5429,0.4559,0.7341,0.0509,0.0509,1.8542,1.8729,0.2781,0.0
15.04,07:00,0.6967,2.4917,1.777,2.4917,0.4468,0.7133,0.0498,0.0498,1.777,1.7949,0.2665,0.0
15.04,08:00,0.8199,2.4376,1.6015,2.4376,0.4371,0.6773,0.0488,0.0488,1.6015,1.6177,0.2402,0.0
15.04,09:00,1.0271,2.5461,1.5038,2.5461,0.4565,0.6821,0.0509,0.0509,1.5038,1.519,0.2256,0.0
15.04,10:00,1.0428,2.4773,1.4202,2.4773,0.4442,0.6572,0.0495,0.0495,1.4202,1.4345,0.213,0.0
15.04,11:00,1.1918,2.4794,1.2747,2.4794,0.4445,0.6358,0.0496,0.0496,1.2747,1.2876,0.1912,0.0
15.04,12:00,1.107,2.3489,1.2295,2.3489,0.4212,0.6056,0.047,0.047,1.2295,1.2419,0.1844,0.0
15.04,13:00,0.9479,2.1498,1.1899,2.1498,0.3855,0.5639,0.043,0.043,1.1899,1.2019,0.1785,0.0
15.04,14:00,0.8343,2.098,1.251,2.098,0.3762,0.5638,0.042,0.042,1.251,1.2636,0.1876,0.0
15.04,15:00,0.7036,2.067,1.3498,2.067,0.3706,0.5731,0.0413,0.0413,1.3498,1.3634,0.2025,0.0
15.04,16:00,0.7406,2.1858,1.4307,2.1858,0.3919,0.6065,0.0437,0.0437,1.4307,1.4452,0.2146,0.0
15.04,17:00,0.8902,2.4732,1.5672,2.4732,0.4434,0.6785,0.0495,0.0495,1.5672,1.583,0.2351,0.0
15.04,18:00,1.128,2.7299,1.5859,2.7299,0.4895,0.7274,0.0546,0.0546,1.5859,1.6019,0.2379,0.0
15.04,19:00,0.984,2.4004,1.4022,2.4004,0.4304,0.6407,0.048,0.048,1.4022,1.4164,0.2103,0.0
15.04,20:00,1.0278,2.0823,1.0439,2.0823,0.3734,0.5299,0.0416,0.0416,1.0439,1.0544,0.1566,0.0
15.04,21:00,0.8294,1.4485,0.6129,1.4485,0.2597,0.3516,0.029,0.029,0.6129,0.6191,0.0919,0.0
15.04,22:00,0.7482,1.2305,0.4774,1.2305,0.2206,0.2922,0.0246,0.0246,0.4774,0.4822,0.0716,0.0
15.04,23:00,0.7053,1.2469,0.5362,1.2469,0.2236,0.304,0.0249,0.0249,0.5362,0.5416,0.0804,0.0
