timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg
15.10,00:00,0.4252,1.9422,1.5018,1.9422,0.0819,0.0269,0.6645,0.0544,0.0544,1.5018,1.517,0.5557,0.0
15.10,01:00,0.3854,2.0117,1.6101,2.0117,0.0742,0.0269,0.6969,0.0563,0.0563,1.6101,1.6264,0.5957,0.0
15.10,02:00,0.5371,2.2221,1.6681,2.2221,0.1035,0.0269,0.7476,0.0622,0.0622,1.6681,1.6849,0.6172,0.0
15.10,03:00,0.5919,2.4775,1.8667,2.4775,0.114,0.0269,0.8316,0.0694,0.0694,1.8667,1.8856,0.6907,0.0
15.10,04:00,0.5607,3.0666,2.4809,3.0666,0.108,0.0269,1.0529,0.0859,0.0859,2.4809,2.506,0.9179,0.0
15.10,05:00,0.6179,4.4414,3.7852,4.4414,0.119,0.0269,1.5465,0.1244,0.1244,3.7852,3.8234,1.4005,0.0
15.10,06:00,0.5566,5.3381,4.7337,5.3381,0.1072,0.0269,1.8856,0.1495,0.1495,4.7337,4.7815,1.7515,0.0
15.10,07:00,0.6431,5.2001,4.5115,5.2001,0.1239,0.0269,1.8201,0.1456,0.1456,4.5115,4.5571,1.6693,0.0
15.10,08:00,0.6253,4.6909,4.025,4.6909,0.1205,0.0269,1.6366,0.1313,0.1313,4.025,4.0657,1.4893,0.0
15.10,09:00,0.5607,4.3521,3.7535,4.3521,0.108,0.0269,1.5237,0.1219,0.1219,3.7535,3.7914,1.3888,0.0
15.10,10:00,0.5923,4.1394,3.5117,4.1394,0.1141,0.0269,1.4404,0.1159,0.1159,3.5117,3.5472,1.2993,0.0
15.10,11:00,0.6095,3.9813,3.3381,3.9813,0.1174,0.0269,1.3794,0.1115,0.1115,3.3381,3.3718,1.2351,0.0
15.10,12:00,0.5926,3.8948,3.2692,3.8948,0.1142,0.0269,1.3507,0.1091,0.1091,3.2692,3.3022,1.2096,0.0
15.10,13:00,0.6841,3.8871,3.171,3.8871,0.1318,0.0269,1.332,0.1088,0.1088,3.171,3.203,1.1733,0.0
15.10,14:00,1.0383,4.2814,3.2106,4.2814,0.2,0.0269,1.4149,0.1199,0.1199,3.2106,3.243,1.1879,0.0
15.10,15:00,1.0665,4.3931,3.2933,4.3931,0.2055,0.0269,1.4509,0.123,0.123,3.2933,3.3266,1.2185,0.0
15.10,16:00,0.8833,4.3628,3.4447,4.3628,0.1702,0.0269,1.4716,0.1222,0.1222,3.4447,3.4795,1.2745,0.0
15.10,17:00,0.8073,4.512,3.6677,4.512,0.1555,0.0269,1.5395,0.1263,0.1263,3.6677,3.7047,1.357,0.0
15.10,18:00,0.7072,4.5223,3.7769,4.5223,0.1363,0.0269,1.5606,0.1266,0.1266,3.7769,3.8151,1.3975,0.0
15.10,19:00,0.6417,4.5342,3.8536,4.5342,0.1236,0.0269,1.5764,0.127,0.127,3.8536,3.8925,1.4258,0.0
15.10,20:00,0.6731,4.4492,3.7383,4.4492,0.1297,0.0269,1.5398,0.1246,0.1246,3.7383,3.7761,1.3832,0.0
15.10,21:00,0.5814,3.9161,3.3013,3.9161,0.112,0.0269,1.3604,0.1097,0.1097,3.3013,3.3346,1.2215,0.0
15.10,22:00,0.5394,2.9196,2.3564,2.9196,0.1039,0.0269,1.0027,0.0818,0.0818,2.3564,2.3802,0.8719,0.0
15.10,23:00,0.4034,2.1166,1.696,2.1166,0.0777,0.0269,0.7322,0.0593,0.0593,1.696,1.7131,0.6275,0.0
