timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg
15.04,00:00,0.4403,0.9147,0.4697,0.9147,0.0848,0.0269,0.2855,0.0256,0.0256,0.4697,0.4744,0.1738,0.0
15.04,01:00,0.4817,1.0147,0.5277,1.0147,0.0928,0.0269,0.315,0.0284,0.0284,0.5277,0.533,0.1952,0.0
15.04,02:00,0.5054,1.0589,0.548,1.0589,0.0974,0.0269,0.3271,0.0297,0.0297,0.548,0.5535,0.2028,0.0
15.04,03:00,0.6699,1.321,0.6445,1.321,0.1291,0.0269,0.3945,0.037,0.037,0.6445,0.651,0.2385,0.0
15.04,04:00,0.6967,1.7268,1.0198,1.7268,0.1342,0.0269,0.5385,0.0484,0.0484,1.0198,1.0301,0.3773,0.0
15.04,05:00,0.8199,2.7857,1.9461,2.7857,0.158,0.0269,0.905,0.078,0.078,1.9461,1.9658,0.7201,0.0
15.04,06:00,1.0271,3.3925,2.3417,3.3925,0.1979,0.0269,1.0912,0.095,0.095,2.3417,2.3654,0.8664,0.0
15.04,07:00,1.0428,3.3423,2.2765,3.3423,0.2009,0.0269,1.0701,0.0936,0.0936,2.2765,2.2995,0.8423,0.0
15.04,08:00,1.1918,3.0647,1.8542,3.0647,0.2296,0.0269,0.9426,0.0858,0.0858,1.8542,1.8729,0.6861,0.0
15.04,09:00,1.107,2.902,1.777,2.902,0.2133,0.0269,0.8977,0.0813,0.0813,1.777,1.7949,0.6575,0.0
15.04,10:00,0.9479,2.5656,1.6015,2.5656,0.1826,0.0269,0.8021,0.0718,0.0718,1.6015,1.6177,0.5926,0.0
15.04,11:00,0.8343,2.3533,1.5038,2.3533,0.1607,0.0269,0.7441,0.0659,0.0659,1.5038,1.519,0.5564,0.0
15.04,12:00,0.7036,2.1381,1.4202,2.1381,0.1356,0.0269,0.688,0.0599,0.0599,1.4202,1.4345,0.5255,0.0
15.04,13:00,0.7406,2.0282,1.2747,2.0282,0.1427,0.0269,0.6413,0.0568,0.0568,1.2747,1.2876,0.4716,0.0
15.04,14:00,0.8902,2.1321,1.2295,2.1321,0.1715,0.0269,0.6533,0.0597,0.0597,1.2295,1.2419,0.4549,0.0
15.04,15:00,1.128,2.3299,1.1899,2.3299,0.2173,0.0269,0.6845,0.0652,0.0652,1.1899,1.2019,0.4403,0.0
15.04,16:00,0.984,2.2476,1.251,2.2476,0.1896,0.0269,0.6794,0.0629,0.0629,1.251,1.2636,0.4629,0.0
15.04,17:00,1.0278,2.3913,1.3498,2.3913,0.198,0.0269,0.7244,0.067,0.067,1.3498,1.3634,0.4994,0.0
15.04,18:00,0.8294,2.2745,1.4307,2.2745,0.1598,0.0269,0.7161,0.0637,0.0637,1.4307,1.4452,0.5294,0.0
15.04,19:00,0.7482,2.3313,1.5672,2.3313,0.1442,0.0269,0.7509,0.0653,0.0653,1.5672,1.583,0.5799,0.0
15.04,20:00,0.7053,2.3072,1.5859,2.3072,0.1359,0.0269,0.7496,0.0646,0.0646,1.5859,1.6019,0.5868,0.0
15.04,21:00,0.663,2.0794,1.4022,2.0794,0.1277,0.0269,0.6735,0.0582,0.0582,1.4022,1.4164,0.5188,0.0
15.04,22:00,0.5992,1.6536,1.0439,1.6536,0.1154,0.0269,0.5286,0.0463,0.0463,1.0439,1.0544,0.3862,0.0
15.04,23:00,0.4441,1.0632,0.6129,1.0632,0.0856,0.0269,0.3393,0.0298,0.0298,0.6129,0.6191,0.2268,0.0
