timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg
15.07,00:00,2.228,3.4226,1.1827,3.4226,0.4292,0.2693,1.1361,0.0685,0.0685,1.1827,1.1946,0.4376,0.0
15.07,01:00,2.2888,3.6523,1.3499,3.6523,0.441,0.2693,1.2097,0.073,0.073,1.3499,1.3635,0.4995,0.0
15.07,02:00,2.112,4.3901,2.2554,4.3901,0.4069,0.2693,1.5107,0.0878,0.0878,2.2554,2.2781,0.8345,0.0
15.07,03:00,2.0688,6.7663,4.6505,6.7663,0.3986,0.2693,2.3886,0.1353,0.1353,4.6505,4.6975,1.7207,0.0
15.07,04:00,2.1839,8.2151,5.9709,8.2151,0.4207,0.2693,2.8993,0.1643,0.1643,5.9709,6.0313,2.2093,0.0
15.07,05:00,2.0588,7.7522,5.6365,7.7522,0.3966,0.2693,2.7514,0.155,0.155,5.6365,5.6934,2.0855,0.0
15.07,06:00,2.225,6.6753,4.4058,6.6753,0.4287,0.2693,2.3281,0.1335,0.1335,4.4058,4.4503,1.6302,0.0
15.07,07:00,2.7488,7.0337,4.2421,7.0337,0.5296,0.2693,2.3684,0.1407,0.1407,4.2421,4.2849,1.5696,0.0
15.07,08:00,2.804,6.7682,3.9246,6.7682,0.5402,0.2693,2.2616,0.1354,0.1354,3.9246,3.9643,1.4521,0.0
15.07,09:00,2.5924,6.4609,3.8298,6.4609,0.4995,0.2693,2.1858,0.1292,0.1292,3.8298,3.8685,1.417,0.0
15.07,10:00,2.9127,6.6272,3.6773,6.6272,0.5612,0.2693,2.191,0.1325,0.1325,3.6773,3.7144,1.3606,0.0
15.07,11:00,3.6197,6.7206,3.0699,6.7206,0.6974,0.2693,2.1025,0.1344,0.1344,3.0699,3.1009,1.1359,0.0
15.07,12:00,3.4254,6.3855,2.9305,6.3855,0.6599,0.2693,2.0135,0.1277,0.1277,2.9305,2.9601,1.0843,0.0
15.07,13:00,3.9066,6.6216,2.6878,6.6216,0.7527,0.2693,2.0164,0.1324,0.1324,2.6878,2.7149,0.9945,0.0
15.07,14:00,3.0096,5.8813,2.843,5.8813,0.5798,0.2693,1.901,0.1176,0.1176,2.843,2.8717,1.0519,0.0
15.07,15:00,3.1813,6.4022,3.1887,6.4022,0.6129,0.2693,2.062,0.128,0.128,3.1887,3.2209,1.1798,0.0
15.07,16:00,3.5042,6.7607,3.2239,6.7607,0.6751,0.2693,2.1373,0.1352,0.1352,3.2239,3.2565,1.1929,0.0
15.07,17:00,3.2669,6.7811,3.4791,6.7811,0.6294,0.2693,2.1859,0.1356,0.1356,3.4791,3.5142,1.2872,0.0
15.07,18:00,3.3351,7.003,3.6312,7.003,0.6425,0.2693,2.2554,0.1401,0.1401,3.6312,3.6679,1.3435,0.0
15.07,19:00,3.0901,6.3509,3.2282,6.3509,0.5953,0.2693,2.0591,0.127,0.127,3.2282,3.2608,1.1944,0.0
15.07,20:00,3.3612,5.7915,2.406,5.7915,0.6476,0.2693,1.8071,0.1158,0.1158,2.406,2.4303,0.8902,0.0
15.07,21:00,2.6989,4.1441,1.4308,4.1441,0.52,0.2693,1.3186,0.0829,0.0829,1.4308,1.4452,0.5294,0.0
15.07,22:00,2.2728,3.2516,0.969,3.2516,0.4379,0.2693,1.0657,0.065,0.065,0.969,0.9788,0.3585,0.0
15.07,23:00,2.3197,3.4623,1.1312,3.4623,0.4469,0.2693,1.1347,0.0692,0.0692,1.1312,1.1426,0.4185,0.0
