timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg
15.01,00:00,61.8021,219.5225,156.1432,219.5225,11.9068,2.6929,72.3727,4.3904,4.3904,156.1432,157.7204,57.773,0.0
15.01,01:00,56.8393,225.3329,166.8087,225.3329,10.9507,2.6929,75.3628,4.5067,4.5067,166.8087,168.4936,61.7192,0.0
15.01,02:00,53.4383,258.9242,203.431,258.9242,10.2954,2.6929,88.2578,5.1785,5.1785,203.431,205.4859,75.2695,0.0
15.01,03:00,50.6386,303.4246,250.2581,303.4246,9.756,2.6929,105.0444,6.0685,6.0685,250.2581,252.7859,92.5955,0.0
15.01,04:00,50.9042,354.1005,300.1644,354.1005,9.8072,2.6929,123.5609,7.082,7.082,300.1644,303.1963,111.0608,0.0
15.01,05:00,54.1347,411.875,354.1629,411.875,10.4296,2.6929,144.1628,8.2375,8.2375,354.1629,357.7403,131.0403,0.0
15.01,06:00,60.8979,457.0271,392.1679,457.0271,11.7326,2.6929,159.5276,9.1405,9.1405,392.1679,396.1292,145.1021,0.0
15.01,07:00,70.7898,465.6825,390.9438,465.6825,13.6384,2.6929,160.9805,9.3137,9.3137,390.9438,394.8928,144.6492,0.0
15.01,08:00,83.7328,450.3946,362.9951,450.3946,16.132,2.6929,153.1331,9.0079,9.0079,362.9951,366.6618,134.3082,0.0
15.01,09:00,95.3687,436.4039,337.6249,436.4039,18.3737,2.6929,145.9878,8.7281,8.7281,337.6249,341.0352,124.9212,0.0
15.01,10:00,107.3179,430.1385,319.5924,430.1385,20.6759,2.6929,141.618,8.6028,8.6028,319.5924,322.8206,118.2492,0.0
15.01,11:00,114.7967,426.5994,308.6847,426.5994,22.1167,2.6929,139.023,8.532,8.532,308.6847,311.8027,114.2133,0.0
15.01,12:00,115.6204,421.8925,303.2094,421.8925,22.2754,2.6929,137.1558,8.4379,8.4379,303.2094,306.2721,112.1875,0.0
15.01,13:00,113.7727,420.5603,303.7198,420.5603,21.9194,2.6929,136.9887,8.4112,8.4112,303.7198,306.7877,112.3763,0.0
15.01,14:00,112.1491,424.9498,309.6728,424.9498,21.6066,2.6929,138.8785,8.499,8.499,309.6728,312.8008,114.5789,0.0
15.01,15:00,113.2319,436.1135,319.6528,436.1135,21.8153,2.6929,142.7797,8.7223,8.7223,319.6528,322.8816,118.2715,0.0
15.01,16:00,113.5856,449.0648,332.1245,449.0648,21.8834,2.6929,147.4624,8.9813,8.9813,332.1245,335.4793,122.8861,0.0
15.01,17:00,115.0837,460.2907,341.7549,460.2907,22.172,2.6929,151.3143,9.2058,9.2058,341.7549,345.207,126.4493,0.0
15.01,18:00,113.9651,459.4786,342.0583,459.4786,21.9565,2.6929,151.211,9.1896,9.1896,342.0583,345.5135,126.5616,0.0
15.01,19:00,114.3994,440.8828,323.2186,440.8828,22.0402,2.6929,144.324,8.8177,8.8177,323.2186,326.4834,119.5909,0.0
15.01,20:00,111.6336,408.0002,293.403,408.0002,21.5073,2.6929,132.7593,8.16,8.16,293.403,296.3666,108.5591,0.0
15.01,21:00,104.5302,361.0906,253.9947,361.0906,20.1388,2.6929,116.8098,7.2218,7.2218,253.9947,256.5603,93.978,0.0
15.01,22:00,89.945,301.1332,209.0763,301.1332,17.3288,2.6929,97.38,6.0227,6.0227,209.0763,211.1882,77.3582,0.0
15.01,23:00,76.9231,251.0826,172.4179,251.0826,14.82,2.6929,81.3076,5.0217,5.0217,172.4179,174.1595,63.7946,0.0
