season,hour,electricity_demand_kwh,total_electricity_consumption_kwh,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,electric_boiler_electric_demand_kwh,thermal_demand_kwh,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,grid_supply_kwh,gas_boiler_heat_kwh,electric_boiler_heat_kwh,bess_soc_kwh,bess_charge_kwh,bess_discharge_kwh,tess_soc_kwh,tess_charge_kwh,tess_discharge_kwh,cost_pv_capex_hour_eur,cost_pv_om_eur,cost_grid_eur,cost_gas_boiler_eur,cost_electric_boiler_eur,cost_heat_pump_eur,cost_bess_eur,cost_tess_eur,total_cost_hour_eur,emissions_grid_kg,emissions_gas_boiler_kg,emissions_electric_boiler_kg,emissions_heat_pump_kg,emissions_bess_kg,emissions_tess_kg,total_emissions_hour_kg
Winter,0,0.2656,0.2656,0.0,0.0,0.0,1.5144,0.0,0.0,0.0,0.0,0.2656,1.5144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476,0.1969,0.0,0.0,0.0,0.0,0.2445,0.0053,0.0303,0.0,0.0,0.0,0.0,0.0356
Winter,1,0.2596,0.2596,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.2596,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0465,0.2041,0.0,0.0,0.0,0.0,0.2506,0.0052,0.0314,0.0,0.0,0.0,0.0,0.0366
Winter,2,0.2725,0.2725,0.0,0.0,0.0,1.7635,0.0,0.0,0.0,0.0,0.2725,1.7635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489,0.2293,0.0,0.0,0.0,0.0,0.2781,0.0054,0.0353,0.0,0.0,0.0,0.0,0.0407
Winter,3,0.2517,0.2517,0.0,0.0,0.0,2.3565,0.0,0.0,0.0,0.0,0.2517,2.3565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0451,0.3063,0.0,0.0,0.0,0.0,0.3515,0.005,0.0471,0.0,0.0,0.0,0.0,0.0522
Winter,4,0.2432,0.2432,0.0,0.0,0.0,3.5746,0.0,0.0,0.0,0.0,0.2432,3.5746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436,0.4647,0.0,0.0,0.0,0.0,0.5083,0.0049,0.0715,0.0,0.0,0.0,0.0,0.0764
Winter,5,0.2479,0.2479,0.0,0.0,0.0,4.4679,0.0,0.0,0.0,0.0,0.2479,4.4679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0445,0.5808,0.0,0.0,0.0,0.0,0.6253,0.005,0.0894,0.0,0.0,0.0,0.0,0.0943
Winter,6,0.233,0.233,0.0,0.0,0.0,4.2527,0.0,0.0,0.0,0.0,0.233,4.2527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418,0.5529,0.0,0.0,0.0,0.0,0.5946,0.0047,0.0851,0.0,0.0,0.0,0.0,0.0897
Winter,7,0.2541,0.2541,0.0,0.0,0.0,3.7867,0.0,0.0,0.0,0.0,0.2541,3.7867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0456,0.4923,0.0,0.0,0.0,0.0,0.5378,0.0051,0.0757,0.0,0.0,0.0,0.0,0.0808
Winter,8,0.38,0.38,0.0,0.0,0.0,3.521,0.0,0.0,0.0,0.0,0.38,3.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681,0.4577,0.0,0.0,0.0,0.0,0.5259,0.0076,0.0704,0.0,0.0,0.0,0.0,0.078
Winter,9,0.5358,0.5358,0.0,0.0,0.0,3.2915,0.0,0.0,0.0,0.0,0.5358,3.2915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0961,0.4279,0.0,0.0,0.0,0.0,0.524,0.0107,0.0658,0.0,0.0,0.0,0.0,0.0765
