timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,emissions_pv_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur
25.10,00:00,0.3798,1.9368,1.5414,0.387,0.0,0.0269,1.3219,0.0108,0.0279,0.0,0.0,0.0,14.72,0.018,0.0,0.0,1.5414,1.557,0.5703,0.0,0.1754,5.35,0.0,1.5498,0.7067
25.10,01:00,0.4593,2.0163,1.5414,1.8506,0.0566,0.0269,0.7474,0.0518,0.0536,0.0,0.0,0.0,14.59,0.018,0.0,0.0,1.5414,1.557,0.5703,0.0,0.0188,0.57,0.0,0.1657,0.0756
25.10,02:00,0.5466,3.395,2.82,3.3773,0.1019,0.0269,1.1983,0.0946,0.0948,0.0,0.0,0.0,14.47,0.018,0.0,0.0,2.82,2.8485,1.0434,0.0,0.002,0.06,0.0,0.0177,0.0081
25.10,03:00,0.4877,3.413,2.8961,3.4111,0.0936,0.0269,1.2109,0.0955,0.0955,0.0,0.0,0.0,14.5,0.018,0.0,0.0,2.8961,2.9254,1.0716,0.0,0.0002,0.01,0.0,0.0019,0.0009
25.10,04:00,0.5038,3.6132,3.0783,3.613,0.097,0.0269,1.281,0.1012,0.1012,0.0,0.0,0.0,14.21,0.018,0.0,0.0,3.0783,3.1094,1.139,0.0,0.0,0.0,0.0,0.0002,0.0001
25.10,05:00,0.7225,4.4579,3.6981,4.4579,0.1392,0.0269,1.5524,0.1248,0.1248,0.0,0.0,0.0,13.75,0.018,0.0,0.0,3.6981,3.7355,1.3683,0.0,0.0,0.0,0.0,0.0,0.0
25.10,06:00,0.6665,5.8365,5.1183,5.8365,0.1284,0.0269,2.0671,0.1634,0.1634,0.0,0.0,0.0,13.2,0.018,0.0,0.0,5.1183,5.17,1.8938,0.0,0.0,0.0,0.0,0.0,0.0
25.10,07:00,0.8378,7.3748,6.4717,7.3748,0.1614,0.0269,2.6008,0.2065,0.2065,0.0,0.0,0.0,12.59,0.018,0.0,0.0,6.4717,6.5371,2.3945,0.0,0.0,0.0,0.0,0.0,0.0
25.10,08:00,0.7717,6.9127,6.0796,6.8156,0.13,0.0269,2.4253,0.1908,0.1935,0.0971,0.0,0.0,13.08,0.018,0.001,0.002662,6.0796,6.141,2.2495,0.0,0.0,0.0,0.0,0.0,0.0
25.10,09:00,0.7253,6.4977,5.7147,6.1068,0.0644,0.0269,2.2277,0.171,0.1817,0.391,0.0,0.0,14.9,0.018,0.0039,0.010712,5.7147,5.7724,2.1144,0.0,0.0,0.0,0.0,0.0,0.0
25.10,10:00,0.5817,6.1329,5.4957,5.7086,0.0303,0.0269,2.1129,0.1598,0.1715,0.4243,0.0,0.0,15.14,0.018,0.0042,0.011627,5.4957,5.5512,2.0334,0.0,0.0,0.0,0.0,0.0,0.0
25.10,11:00,0.5581,5.889,5.2776,5.6075,0.0533,0.0269,2.0537,0.157,0.1647,0.2816,0.0,0.0,14.38,0.018,0.0028,0.007715,5.2776,5.3309,1.9527,0.0,0.0,0.0,0.0,0.0,0.0
25.10,12:00,0.5313,5.633,5.0507,5.2169,0.0222,0.0269,1.94,0.1461,0.1575,0.4161,0.0,0.0,15.25,0.018,0.0042,0.011401,5.0507,5.1017,1.8688,0.0,0.0,0.0,0.0,0.0,0.0
25.10,13:00,0.5903,5.5917,4.9513,5.2387,0.0457,0.0269,1.9261,0.1467,0.1564,0.353,0.0,0.0,14.45,0.018,0.0035,0.009672,4.9513,5.0013,1.832,0.0,0.0,0.0,0.0,0.0,0.0
25.10,14:00,1.0101,5.9023,4.8433,5.7857,0.1721,0.0269,2.0102,0.162,0.1652,0.1166,0.0,0.0,12.65,0.018,0.0012,0.003196,4.8433,4.8922,1.792,0.0,0.0,0.0,0.0,0.0,0.0
25.10,15:00,1.1244,6.11,4.9358,6.0426,0.2036,0.0269,2.0755,0.1692,0.171,0.0674,0.0,0.0,12.29,0.018,0.0007,0.001846,4.9358,4.9857,1.8262,0.0,0.0,0.0,0.0,0.0,0.0
25.10,16:00,0.8381,5.8999,5.0112,5.8999,0.1615,0.0269,2.0605,0.1652,0.1652,0.0,0.0,0.0,11.6,0.018,0.0,0.0,5.0112,5.0618,1.8541,0.0,0.0,0.0,0.0,0.0,0.0
25.10,17:00,0.7686,6.0679,5.2463,6.0679,0.1481,0.0269,2.1341,0.1699,0.1699,0.0,0.0,0.0,11.47,0.018,0.0,0.0,5.2463,5.2993,1.9411,0.0,0.0,0.0,0.0,0.0,0.0
25.10,18:00,0.6124,6.0857,5.4185,6.0857,0.118,0.0269,2.1677,0.1704,0.1704,0.0,0.0,0.0,11.41,0.018,0.0,0.0,5.4185,5.4732,2.0048,0.0,0.0,0.0,0.0,0.0,0.0
25.10,19:00,0.5062,6.0325,5.471,6.0325,0.0975,0.0269,2.1667,0.1689,0.1689,0.0,0.0,0.0,12.47,0.018,0.0,0.0,5.471,5.5263,2.0243,0.0,0.0,0.0,0.0,0.0,0.0
25.10,20:00,0.4713,5.9936,5.4671,5.9936,0.0908,0.0269,2.1585,0.1678,0.1678,0.0,0.0,0.0,13.12,0.018,0.0,0.0,5.4671,5.5223,2.0228,0.0,0.0,0.0,0.0,0.0,0.0
25.10,21:00,0.3675,5.7227,5.3017,5.7227,0.0708,0.0269,2.0773,0.1602,0.1602,0.0,0.0,0.0,13.5,0.018,0.0,0.0,5.3017,5.3553,1.9616,0.0,0.0,0.0,0.0,0.0,0.0
