timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur
15.01,00:00,0.5297,2.0594,1.5144,0.5096,0.0914,1.0971,0.0102,0.0102,0.0,0.0,0.0,7.53,0.0719,0.0,1.5144,1.5297,0.2272,0.0,0.1754,5.35,0.0,1.5498,0.7067
15.01,01:00,0.5112,2.097,1.57,1.9313,0.3463,0.7292,0.0386,0.0386,0.0,0.0,0.0,6.99,0.0719,0.0,1.57,1.5859,0.2355,0.0,0.0188,0.57,0.0,0.1657,0.0756
15.01,02:00,0.5284,2.3097,1.7635,2.292,0.411,0.7554,0.0458,0.0458,0.0,0.0,0.0,6.5,0.0719,0.0,1.7635,1.7813,0.2645,0.0,0.002,0.06,0.0,0.0177,0.0081
15.01,03:00,0.5142,2.8945,2.3565,2.8926,0.5186,0.9449,0.0579,0.0579,0.0,0.0,0.0,6.09,0.0719,0.0,2.3565,2.3803,0.3535,0.0,0.0002,0.01,0.0,0.0019,0.0009
15.01,04:00,0.4759,4.0866,3.5746,4.0864,0.7327,1.3409,0.0817,0.0817,0.0,0.0,0.0,5.76,0.0719,0.0,3.5746,3.6107,0.5362,0.0,0.0,0.0,0.0,0.0002,0.0001
15.01,05:00,0.4847,4.9977,4.4679,4.9977,0.8961,1.6382,0.1,0.1,0.0,0.0,0.0,5.41,0.0719,0.0,4.4679,4.513,0.6702,0.0,0.0,0.0,0.0,0.0,0.0
15.01,06:00,0.4754,4.7711,4.2527,4.7711,0.8555,1.5652,0.0954,0.0954,0.0,0.0,0.0,5.12,0.0719,0.0,4.2527,4.2957,0.6379,0.0,0.0,0.0,0.0,0.0,0.0
15.01,07:00,0.5544,4.3794,3.7867,4.3794,0.7852,1.4251,0.0876,0.0876,0.0,0.0,0.0,5.53,0.0719,0.0,3.7867,3.8249,0.568,0.0,0.0,0.0,0.0,0.0,0.0
15.01,08:00,0.8199,4.3765,3.521,3.9213,0.7031,1.3077,0.0784,0.0784,0.4552,0.0,0.0,7.94,0.0719,0.0046,3.521,3.5566,0.5282,0.0,0.0,0.0,0.0,0.0,0.0
15.01,09:00,1.0871,4.4119,3.2915,3.1311,0.5614,1.1398,0.0626,0.0626,1.2807,0.0,0.0,13.25,0.0719,0.0128,3.2915,3.3247,0.4937,0.0,0.0,0.0,0.0,0.0,0.0
15.01,10:00,1.1957,4.3565,3.1292,3.7626,0.6746,1.2218,0.0753,0.0753,0.5939,0.0,0.0,9.51,0.0719,0.0059,3.1292,3.1608,0.4694,0.0,0.0,0.0,0.0,0.0,0.0
15.01,11:00,1.3944,4.4963,3.0709,3.9253,0.7038,1.242,0.0785,0.0785,0.571,0.0,0.0,10.17,0.0719,0.0057,3.0709,3.1019,0.4606,0.0,0.0,0.0,0.0,0.0,0.0
15.01,12:00,1.3549,4.3615,2.9765,2.6841,0.4813,1.0164,0.0537,0.0537,1.6774,0.0,0.0,17.86,0.0719,0.0168,2.9765,3.0066,0.4465,0.0,0.0,0.0,0.0,0.0,0.0
15.01,13:00,1.1629,4.2106,3.0172,3.8537,0.691,1.219,0.0771,0.0771,0.3569,0.0,0.0,9.76,0.0719,0.0036,3.0172,3.0477,0.4526,0.0,0.0,0.0,0.0,0.0,0.0
15.01,14:00,0.993,4.1232,3.0989,3.8925,0.6979,1.2369,0.0778,0.0778,0.2307,0.0,0.0,9.2,0.0719,0.0023,3.0989,3.1302,0.4648,0.0,0.0,0.0,0.0,0.0,0.0
15.01,15:00,0.7997,4.0736,3.2412,3.8792,0.6955,1.2555,0.0776,0.0776,0.1944,0.0,0.0,8.91,0.0719,0.0019,3.2412,3.2739,0.4862,0.0,0.0,0.0,0.0,0.0,0.0
15.01,16:00,0.9442,4.4361,3.4569,4.4361,0.7954,1.3858,0.0887,0.0887,0.0,0.0,0.0,7.32,0.0719,0.0,3.4569,3.4918,0.5185,0.0,0.0,0.0,0.0,0.0,0.0
15.01,17:00,1.1607,4.7557,3.5591,4.7557,0.8527,1.4584,0.0951,0.0951,0.0,0.0,0.0,6.86,0.0719,0.0,3.5591,3.5951,0.5339,0.0,0.0,0.0,0.0,0.0,0.0
15.01,18:00,1.4858,5.1497,3.6272,5.1497,0.9233,1.5393,0.103,0.103,0.0,0.0,0.0,6.7,0.0719,0.0,3.6272,3.6638,0.5441,0.0,0.0,0.0,0.0,0.0,0.0
15.01,19:00,1.4341,4.9875,3.5179,4.9875,0.8943,1.4938,0.0997,0.0997,0.0,0.0,0.0,6.7,0.0719,0.0,3.5179,3.5534,0.5277,0.0,0.0,0.0,0.0,0.0,0.0
15.01,20:00,1.137,4.2706,3.1023,4.2706,0.7657,1.3029,0.0854,0.0854,0.0,0.0,0.0,6.56,0.0719,0.0,3.1023,3.1336,0.4653,0.0,0.0,0.0,0.0,0.0,0.0
15.01,21:00,0.9736,3.2091,2.2131,3.2091,0.5754,0.9792,0.0642,0.0642,0.0,0.0,0.0,6.29,0.0719,0.0,2.2131,2.2355,0.332,0.0,0.0,0.0,0.0,0.0,0.0
15.01,22:00,0.8461,2.4544,1.5922,2.4544,0.4401,0.7508,0.0491,0.0491,0.0,0.0,0.0,5.88,0.0719,0.0,1.5922,1.6083,0.2388,0.0,0.0,0.0,0.0,0.0,0.0
15.01,23:00,0.5964,3.7691,1.5173,3.7691,0.6758,0.9753,0.0754,0.0754,0.0,0.0,0.0,5.51,0.0719,0.0,1.5173,1.5326,0.2276,0.0,1.64,50.0,0.0,0.0,0.0
