timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,emissions_pv_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur
15.10,00:00,0.4252,1.9422,1.5018,0.3924,0.0,0.0269,1.3073,0.011,0.028,0.0,0.0,0.0,8.9,0.018,0.0,0.0,1.5018,1.517,0.5557,0.0,0.1754,5.35,0.0,1.5498,0.7067
15.10,01:00,0.3854,2.0117,1.6101,1.846,0.0423,0.0269,0.7585,0.0517,0.0535,0.0,0.0,0.0,8.72,0.018,0.0,0.0,1.6101,1.6264,0.5957,0.0,0.0188,0.57,0.0,0.1657,0.0756
15.10,02:00,0.5371,2.2221,1.6681,2.2043,0.1001,0.0269,0.7702,0.0617,0.0619,0.0,0.0,0.0,8.42,0.018,0.0,0.0,1.6681,1.6849,0.6172,0.0,0.002,0.06,0.0,0.0177,0.0081
15.10,03:00,0.5919,2.4775,1.8667,2.4756,0.1137,0.0269,0.8501,0.0693,0.0693,0.0,0.0,0.0,8.32,0.018,0.0,0.0,1.8667,1.8856,0.6907,0.0,0.0002,0.01,0.0,0.0019,0.0009
15.10,04:00,0.5607,3.0666,2.4809,3.0664,0.108,0.0269,1.0709,0.0859,0.0859,0.0,0.0,0.0,7.88,0.018,0.0,0.0,2.4809,2.506,0.9179,0.0,0.0,0.0,0.0,0.0002,0.0001
15.10,05:00,0.6179,4.4414,3.7852,4.4413,0.119,0.0269,1.5645,0.1244,0.1244,0.0,0.0,0.0,7.68,0.018,0.0,0.0,3.7852,3.8234,1.4005,0.0,0.0,0.0,0.0,0.0,0.0
15.10,06:00,0.5566,5.3381,4.7337,5.3381,0.1072,0.0269,1.9036,0.1495,0.1495,0.0,0.0,0.0,7.26,0.018,0.0,0.0,4.7337,4.7815,1.7515,0.0,0.0,0.0,0.0,0.0,0.0
15.10,07:00,0.6431,5.2001,4.5115,4.1595,0.0,0.0269,1.7246,0.1165,0.145,1.0407,0.0,0.0,13.41,0.018,0.0104,0.028514,4.5115,4.5571,1.6693,0.0,0.0,0.0,0.0,0.0,0.0
15.10,08:00,0.6253,4.6909,4.025,2.3893,0.0,0.0269,1.5572,0.0669,0.13,2.3016,0.0,0.0,22.99,0.018,0.023,0.063064,4.025,4.0657,1.4893,0.0,0.0,0.0,0.0,0.0,0.0
15.10,09:00,0.5607,4.3521,3.7535,1.1192,0.0,0.0269,1.466,0.0313,0.1199,3.2329,0.0,0.0,30.42,0.018,0.0323,0.088581,3.7535,3.7914,1.3888,0.0,0.0,0.0,0.0,0.0,0.0
15.10,10:00,0.5923,4.1394,3.5117,0.3208,0.0,0.0269,1.3824,0.009,0.1136,3.8186,0.0,0.0,35.43,0.018,0.0382,0.10463,3.5117,3.5472,1.2993,0.0,0.0,0.0,0.0,0.0,0.0
15.10,11:00,0.6095,3.9813,3.3381,0.0558,0.0,0.0269,1.3192,0.0016,0.1091,3.9255,0.0,0.0,37.06,0.018,0.0393,0.107559,3.3381,3.3718,1.2351,0.0,0.0,0.0,0.0,0.0,0.0
15.10,12:00,0.5926,3.8948,3.2692,0.1685,0.0,0.0269,1.2918,0.0047,0.1068,3.7263,0.0,0.0,36.28,0.018,0.0373,0.1021,3.2692,3.3022,1.2096,0.0,0.0,0.0,0.0,0.0,0.0
15.10,13:00,0.6841,3.8871,3.171,0.6368,0.0,0.0269,1.2507,0.0178,0.1069,3.2503,0.0,0.0,33.34,0.018,0.0325,0.089059,3.171,3.203,1.1733,0.0,0.0,0.0,0.0,0.0,0.0
15.10,14:00,1.0383,4.2814,3.2106,1.7768,0.0,0.0269,1.2579,0.0497,0.1184,2.5046,0.0,0.0,28.32,0.018,0.025,0.068627,3.2106,3.243,1.1879,0.0,0.0,0.0,0.0,0.0,0.0
15.10,15:00,1.0665,4.3931,3.2933,2.6387,0.0,0.0269,1.281,0.0739,0.122,1.7544,0.0,0.0,23.1,0.018,0.0175,0.048071,3.2933,3.3266,1.2185,0.0,0.0,0.0,0.0,0.0,0.0
15.10,16:00,0.8833,4.3628,3.4447,3.7262,0.0475,0.0269,1.3733,0.1043,0.1218,0.6365,0.0,0.0,15.37,0.018,0.0064,0.017441,3.4447,3.4795,1.2745,0.0,0.0,0.0,0.0,0.0,0.0
15.10,17:00,0.8073,4.512,3.6677,4.512,0.1555,0.0269,1.5575,0.1263,0.1263,0.0,0.0,0.0,10.21,0.018,0.0,0.0,3.6677,3.7047,1.357,0.0,0.0,0.0,0.0,0.0,0.0
15.10,18:00,0.7072,4.5223,3.7769,4.5223,0.1363,0.0269,1.5786,0.1266,0.1266,0.0,0.0,0.0,9.11,0.018,0.0,0.0,3.7769,3.8151,1.3975,0.0,0.0,0.0,0.0,0.0,0.0
15.10,19:00,0.6417,4.5342,3.8536,4.5342,0.1236,0.0269,1.5944,0.127,0.127,0.0,0.0,0.0,8.29,0.018,0.0,0.0,3.8536,3.8925,1.4258,0.0,0.0,0.0,0.0,0.0,0.0
15.10,20:00,0.6731,4.4492,3.7383,4.4492,0.1297,0.0269,1.5577,0.1246,0.1246,0.0,0.0,0.0,7.68,0.018,0.0,0.0,3.7383,3.7761,1.3832,0.0,0.0,0.0,0.0,0.0,0.0
