timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,emissions_pv_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur
15.04,00:00,0.4403,0.9147,0.4697,0.0,0.0,0.0269,0.6358,0.0,0.0101,0.0,0.0,0.0,7.47,0.018,0.0,0.0,0.4697,0.4744,0.1738,0.0,0.7755,23.64,0.0,0.9147,0.4171
15.04,01:00,0.4817,1.0147,0.5277,0.2818,0.0,0.0269,0.5743,0.0079,0.016,0.0,0.0,0.0,7.07,0.018,0.0,0.0,0.5277,0.533,0.1952,0.0,0.0829,2.53,0.0,0.7329,0.3342
15.04,02:00,0.5054,1.0589,0.548,0.9806,0.0823,0.0269,0.3657,0.0275,0.0283,0.0,0.0,0.0,6.56,0.018,0.0,0.0,0.548,0.5535,0.2028,0.0,0.0089,0.27,0.0,0.0784,0.0357
15.04,03:00,0.6699,1.321,0.6445,1.3126,0.1275,0.0269,0.4146,0.0368,0.0368,0.0,0.0,0.0,6.36,0.018,0.0,0.0,0.6445,0.651,0.2385,0.0,0.0009,0.03,0.0,0.0084,0.0038
15.04,04:00,0.6967,1.7268,1.0198,1.7259,0.1341,0.0269,0.5567,0.0483,0.0483,0.0,0.0,0.0,6.16,0.018,0.0,0.0,1.0198,1.0301,0.3773,0.0,0.0001,0.0,0.0,0.0009,0.0004
15.04,05:00,0.8199,2.7857,1.9461,2.7856,0.1579,0.0269,0.9229,0.078,0.078,0.0,0.0,0.0,5.96,0.018,0.0,0.0,1.9461,1.9658,0.7201,0.0,0.0,0.0,0.0,0.0001,0.0
15.04,06:00,1.0271,3.3925,2.3417,3.0843,0.1385,0.0269,1.0529,0.0864,0.0948,0.3082,0.0,0.0,8.52,0.018,0.0031,0.008445,2.3417,2.3654,0.8664,0.0,0.0,0.0,0.0,0.0,0.0
15.04,07:00,1.0428,3.3423,2.2765,2.4396,0.027,0.0269,0.9232,0.0683,0.093,0.9026,0.0,0.0,13.09,0.018,0.009,0.024732,2.2765,2.2995,0.8423,0.0,0.0,0.0,0.0,0.0,0.0
15.04,08:00,1.1918,3.0647,1.8542,2.1708,0.0574,0.0269,0.7973,0.0608,0.0853,0.8939,0.0,0.0,13.5,0.018,0.0089,0.024493,1.8542,1.8729,0.6861,0.0,0.0,0.0,0.0,0.0,0.0
15.04,09:00,1.107,2.902,1.777,1.6422,0.0,0.0269,0.715,0.046,0.0805,1.2598,0.0,0.0,16.68,0.018,0.0126,0.034518,1.777,1.7949,0.6575,0.0,0.0,0.0,0.0,0.0,0.0
15.04,10:00,0.9479,2.5656,1.6015,1.6077,0.0,0.0269,0.647,0.045,0.0713,0.9579,0.0,0.0,15.72,0.018,0.0096,0.026246,1.6015,1.6177,0.5926,0.0,0.0,0.0,0.0,0.0,0.0
15.04,11:00,0.8343,2.3533,1.5038,1.4501,0.0,0.0269,0.6103,0.0406,0.0654,0.9032,0.0,0.0,16.29,0.018,0.009,0.024747,1.5038,1.519,0.5564,0.0,0.0,0.0,0.0,0.0,0.0
15.04,12:00,0.7036,2.1381,1.4202,0.0,0.0,0.0269,0.6092,0.0,0.1063,3.8793,0.0,0.0,37.43,0.018,0.0388,0.106292,1.4202,1.4345,0.5255,0.0,1.8425,56.17,1.7411,0.0,0.0
15.04,13:00,0.7406,2.0282,1.2747,0.0,0.0,0.0269,0.5437,0.0,0.0743,2.7133,0.0,0.0,30.56,0.018,0.0271,0.074345,1.2747,1.2876,0.4716,0.0,2.5674,78.27,0.6851,0.0,0.0
15.04,14:00,0.8902,2.1321,1.2295,0.0,0.0,0.0269,0.488,0.0,0.0943,3.4401,0.554,0.0462,36.46,0.018,0.0344,0.09426,1.2295,1.2419,0.4549,0.0,3.28,100.0,0.7541,0.0,0.0
15.04,15:00,1.128,2.3299,1.1899,0.0,0.0,0.0269,1.3653,0.0,0.0323,0.4088,0.0,0.0,16.86,0.018,0.0041,0.0112,1.1899,1.2019,0.4403,0.0,1.4644,44.65,0.0,1.9212,0.876
15.04,16:00,0.984,2.2476,1.251,0.5477,0.0,0.0269,1.142,0.0153,0.0392,0.3161,0.0,0.0,16.03,0.018,0.0032,0.00866,1.251,1.2636,0.4629,0.0,0.1566,4.77,0.0,1.3839,0.631
15.04,17:00,1.0278,2.3913,1.3498,1.4425,0.0152,0.0269,0.635,0.0404,0.064,0.8008,0.0,0.0,18.63,0.018,0.008,0.021942,1.3498,1.3634,0.4994,0.0,0.0167,0.51,0.0,0.148,0.0675
15.04,18:00,0.8294,2.2745,1.4307,2.1868,0.1429,0.0269,0.7251,0.0612,0.0634,0.0719,0.0,0.0,12.81,0.018,0.0007,0.001971,1.4307,1.4452,0.5294,0.0,0.0018,0.05,0.0,0.0158,0.0072
15.04,19:00,0.7482,2.3313,1.5672,2.3296,0.1438,0.0269,0.7694,0.0652,0.0652,0.0,0.0,0.0,10.57,0.018,0.0,0.0,1.5672,1.583,0.5799,0.0,0.0002,0.01,0.0,0.0017,0.0008
