timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,emissions_pv_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur
15.07,00:00,0.5071,0.7763,0.2665,0.0,0.0,0.0269,0.4975,0.0,0.0085,0.0,0.0,0.0,22.67,0.018,0.0,0.0,0.2665,0.2692,0.0986,0.0,0.9064,27.63,0.0,0.7763,0.354
15.07,01:00,0.5353,0.8477,0.3093,0.0,0.0,0.0269,0.5459,0.0,0.0093,0.0,0.0,0.0,21.71,0.018,0.0,0.0,0.3093,0.3124,0.1144,0.0,0.1052,3.21,0.0,0.8477,0.3866
15.07,02:00,0.5046,0.8132,0.3055,0.7138,0.0781,0.0269,0.2813,0.02,0.0211,0.0,0.0,0.0,20.97,0.018,0.0,0.0,0.3055,0.3086,0.113,0.0,0.0113,0.34,0.0,0.0995,0.0454
15.07,03:00,0.5454,0.8976,0.3487,0.887,0.103,0.0269,0.2818,0.0248,0.025,0.0,0.0,0.0,20.62,0.018,0.0,0.0,0.3487,0.3522,0.129,0.0,0.0012,0.04,0.0,0.0106,0.0049
15.07,04:00,0.6738,1.2622,0.5826,1.2611,0.1296,0.0269,0.3906,0.0353,0.0353,0.0,0.0,0.0,20.56,0.018,0.0,0.0,0.5826,0.5885,0.2156,0.0,0.0001,0.0,0.0,0.0011,0.0005
15.07,05:00,0.6873,1.9007,1.2013,1.6852,0.0909,0.0269,0.5825,0.0472,0.0531,0.2154,0.0,0.0,21.86,0.018,0.0022,0.005901,1.2013,1.2134,0.4445,0.0,0.0,0.0,0.0,0.0001,0.0001
15.07,06:00,0.6354,2.1934,1.5424,2.0134,0.0877,0.0269,0.7051,0.0564,0.0613,0.18,0.0,0.0,21.93,0.018,0.0018,0.004932,1.5424,1.558,0.5707,0.0,0.0,0.0,0.0,0.0,0.0
15.07,07:00,0.7139,2.1847,1.456,1.6002,0.025,0.0269,0.6144,0.0448,0.0608,0.5844,0.0,0.0,24.69,0.018,0.0058,0.016013,1.456,1.4707,0.5387,0.0,0.0,0.0,0.0,0.0,0.0
15.07,08:00,0.8872,2.0368,1.1381,1.0465,0.0,0.0269,0.4759,0.0293,0.0564,0.9904,0.0,0.0,27.48,0.018,0.0099,0.027136,1.1381,1.1496,0.4211,0.0,0.0,0.0,0.0,0.0,0.0
15.07,09:00,0.8396,1.9465,1.0958,1.2211,0.022,0.0269,0.4796,0.0342,0.0541,0.7254,0.0,0.0,26.39,0.018,0.0073,0.019876,1.0958,1.1069,0.4054,0.0,0.0,0.0,0.0,0.0,0.0
15.07,10:00,0.9576,1.9816,1.0138,0.1236,0.0,0.0269,0.4386,0.0035,0.0544,1.858,0.0,0.0,34.3,0.018,0.0186,0.050909,1.0138,1.024,0.3751,0.0,0.0,0.0,0.0,0.0,0.0
15.07,11:00,0.7377,1.737,0.9893,0.0,0.0,0.0269,0.4414,0.0,0.0835,3.0457,0.0,0.0,43.12,0.018,0.0305,0.083453,0.9893,0.9993,0.366,0.0,1.3849,42.22,1.3088,0.0,0.0
15.07,12:00,0.7798,1.7393,0.9499,0.0,0.0,0.0269,0.4336,0.0,0.102,3.7235,0.0,0.0,48.26,0.018,0.0372,0.102024,0.9499,0.9595,0.3515,0.0,3.28,100.0,1.9843,0.0,0.0
15.07,13:00,0.8589,1.6599,0.793,0.0,0.0,0.0269,0.2703,0.0,0.077,2.8117,1.1518,0.0961,41.89,0.018,0.0281,0.077041,0.793,0.801,0.2934,0.0,3.2799,100.0,0.0,0.0,0.0
15.07,14:00,0.8008,1.5654,0.757,0.0,0.0,0.0269,0.1869,0.0,0.1002,3.6582,2.0927,0.1746,47.63,0.018,0.0366,0.100235,0.757,0.7646,0.2801,0.0,3.2799,100.0,0.0001,0.0,0.0
15.07,15:00,0.8175,1.5188,0.6943,0.0,0.0,0.0269,0.2876,0.0,0.0526,1.9195,0.4006,0.0334,35.7,0.018,0.0192,0.052594,0.6943,0.7013,0.2569,0.0,3.2799,100.0,0.0001,0.0,0.0
15.07,16:00,0.7574,1.4992,0.7344,0.0,0.0,0.0269,0.3676,0.0,0.0398,1.4185,0.0,0.0,32.55,0.018,0.0142,0.038866,0.7344,0.7418,0.2717,0.0,3.2035,97.67,0.0,0.0808,0.0368
15.07,17:00,0.8239,1.6559,0.8237,0.0,0.0,0.0269,0.6938,0.0,0.0333,0.9215,0.0,0.0,29.36,0.018,0.0092,0.025248,0.8237,0.832,0.3048,0.0,2.5094,76.51,0.0,0.7344,0.3349
15.07,18:00,0.6615,1.5027,0.8328,0.0,0.0,0.0269,0.8731,0.0,0.0226,0.3705,0.0,0.0,25.44,0.018,0.0037,0.010151,0.8328,0.8412,0.3081,0.0,1.4393,43.88,0.0,1.1323,0.5163
15.07,19:00,0.5571,1.4649,0.8987,0.0,0.0,0.0269,0.9938,0.0,0.018,0.1156,0.0,0.0,22.98,0.018,0.0012,0.003168,0.8987,0.9078,0.3325,0.0,0.1642,5.01,0.0,1.3492,0.6153
15.07,20:00,0.5686,1.5161,0.938,1.3609,0.0796,0.0269,0.5424,0.0381,0.0398,0.0,0.0,0.0,21.76,0.018,0.0,0.0,0.938,0.9475,0.3471,0.0,0.0176,0.54,0.0,0.1552,0.0708
15.07,21:00,0.4211,1.2634,0.8339,1.2468,0.0779,0.0269,0.4389,0.0349,0.0351,0.0,0.0,0.0,20.68,0.018,0.0,0.0,0.8339,0.8423,0.3085,0.0,0.0019,0.06,0.0,0.0166,0.0076
15.07,22:00,0.3883,1.0161,0.6215,1.0143,0.0745,0.0269,0.3501,0.0284,0.0284,0.0,0.0,0.0,19.46,0.018,0.0,0.0,0.6215,0.6278,0.23,0.0,0.0002,0.01,0.0,0.0018,0.0008
15.07,23:00,0.385,2.3984,0.3696,2.3982,0.0741,0.0269,0.2559,0.0671,0.0672,0.0,0.0,0.0,18.45,0.018,0.0,0.0,0.3696,0.3733,0.1368,0.0,1.64,50.0,0.0,0.0002,0.0001
