timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,emissions_pv_kg,electric_boiler_heat_kwh,electric_boiler_electric_demand_kwh,cost_electric_boiler_eur,emissions_electric_boiler_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur
15.01,00:00,0.5142,2.2061,1.675,0.6563,0.0,0.0269,1.3714,0.0184,0.0354,0.0,0.0,0.0,7.53,0.018,0.0,0.0,1.675,1.6919,0.6198,0.0,0.1754,5.35,0.0,1.5498,0.7067
15.01,01:00,0.4759,1.8983,1.4081,1.7325,0.0598,0.0269,0.7012,0.0485,0.0503,0.0,0.0,0.0,6.99,0.018,0.0,0.0,1.4081,1.4223,0.521,0.0,0.0188,0.57,0.0,0.1657,0.0756
15.01,02:00,0.4847,2.0144,1.5144,1.9967,0.09,0.0269,0.7033,0.0559,0.0561,0.0,0.0,0.0,6.5,0.018,0.0,0.0,1.5144,1.5297,0.5603,0.0,0.002,0.06,0.0,0.0177,0.0081
15.01,03:00,0.4754,2.0613,1.57,2.0594,0.0912,0.0269,0.7179,0.0577,0.0577,0.0,0.0,0.0,6.09,0.018,0.0,0.0,1.57,1.5859,0.5809,0.0,0.0002,0.01,0.0,0.0019,0.0009
15.01,04:00,0.5544,2.3357,1.7635,2.3355,0.1068,0.0269,0.8043,0.0654,0.0654,0.0,0.0,0.0,5.76,0.018,0.0,0.0,1.7635,1.7813,0.6525,0.0,0.0,0.0,0.0,0.0002,0.0001
15.01,05:00,0.8199,3.2002,2.3565,3.2002,0.158,0.0269,1.0748,0.0896,0.0896,0.0,0.0,0.0,5.41,0.018,0.0,0.0,2.3565,2.3803,0.8719,0.0,0.0,0.0,0.0,0.0,0.0
15.01,06:00,1.0871,4.6978,3.5746,4.6978,0.2094,0.0269,1.5769,0.1315,0.1315,0.0,0.0,0.0,5.12,0.018,0.0,0.0,3.5746,3.6107,1.3226,0.0,0.0,0.0,0.0,0.0,0.0
15.01,07:00,1.1957,5.7088,4.4679,5.7088,0.2304,0.0269,1.9284,0.1598,0.1598,0.0,0.0,0.0,5.53,0.018,0.0,0.0,4.4679,4.513,1.6531,0.0,0.0,0.0,0.0,0.0,0.0
15.01,08:00,1.3944,5.6901,4.2527,5.2349,0.1809,0.0269,1.8039,0.1466,0.159,0.4552,0.0,0.0,7.94,0.018,0.0046,0.012473,4.2527,4.2957,1.5735,0.0,0.0,0.0,0.0,0.0,0.0
15.01,09:00,1.3549,5.1799,3.7867,3.8991,0.0143,0.0269,1.4731,0.1092,0.1443,1.2807,0.0,0.0,13.25,0.018,0.0128,0.035092,3.7867,3.8249,1.4011,0.0,0.0,0.0,0.0,0.0,0.0
15.01,10:00,1.1629,4.7195,3.521,4.1256,0.1096,0.0269,1.4632,0.1155,0.1318,0.5939,0.0,0.0,9.51,0.018,0.0059,0.016274,3.521,3.5566,1.3028,0.0,0.0,0.0,0.0,0.0,0.0
15.01,11:00,0.993,4.3177,3.2915,3.7467,0.0813,0.0269,1.3498,0.1049,0.1206,0.571,0.0,0.0,10.17,0.018,0.0057,0.015646,3.2915,3.3247,1.2179,0.0,0.0,0.0,0.0,0.0,0.0
15.01,12:00,0.7997,3.9605,3.1292,2.2831,0.0,0.0269,1.2195,0.0639,0.1099,1.6774,0.0,0.0,17.86,0.018,0.0168,0.04596,3.1292,3.1608,1.1578,0.0,0.0,0.0,0.0,0.0,0.0
15.01,13:00,0.9442,4.0462,3.0709,3.6893,0.1132,0.0269,1.2979,0.1033,0.1131,0.3569,0.0,0.0,9.76,0.018,0.0036,0.009779,3.0709,3.1019,1.1362,0.0,0.0,0.0,0.0,0.0,0.0
15.01,14:00,1.1607,4.1673,2.9765,3.9366,0.1792,0.0269,1.3277,0.1102,0.1165,0.2307,0.0,0.0,9.2,0.018,0.0023,0.006321,2.9765,3.0066,1.1013,0.0,0.0,0.0,0.0,0.0,0.0
15.01,15:00,1.4858,4.5335,3.0172,4.3391,0.2488,0.0269,1.412,0.1215,0.1268,0.1944,0.0,0.0,8.91,0.018,0.0019,0.005327,3.0172,3.0477,1.1164,0.0,0.0,0.0,0.0,0.0,0.0
15.01,16:00,1.4341,4.5643,3.0989,4.5643,0.2763,0.0269,1.4678,0.1278,0.1278,0.0,0.0,0.0,7.32,0.018,0.0,0.0,3.0989,3.1302,1.1466,0.0,0.0,0.0,0.0,0.0,0.0
15.01,17:00,1.137,4.4109,3.2412,4.4109,0.2191,0.0269,1.4632,0.1235,0.1235,0.0,0.0,0.0,6.86,0.018,0.0,0.0,3.2412,3.2739,1.1992,0.0,0.0,0.0,0.0,0.0,0.0
15.01,18:00,0.9736,4.4654,3.4569,4.4654,0.1876,0.0269,1.5115,0.125,0.125,0.0,0.0,0.0,6.7,0.018,0.0,0.0,3.4569,3.4918,1.2791,0.0,0.0,0.0,0.0,0.0,0.0
15.01,19:00,0.8461,4.4411,3.5591,4.4411,0.163,0.0269,1.5248,0.1244,0.1244,0.0,0.0,0.0,6.7,0.018,0.0,0.0,3.5591,3.5951,1.3169,0.0,0.0,0.0,0.0,0.0,0.0
15.01,20:00,0.5964,4.2603,3.6272,4.2603,0.1149,0.0269,1.5019,0.1193,0.1193,0.0,0.0,0.0,6.56,0.018,0.0,0.0,3.6272,3.6638,1.3421,0.0,0.0,0.0,0.0,0.0,0.0
15.01,21:00,0.5233,4.0767,3.5179,4.0767,0.1008,0.0269,1.4473,0.1141,0.1141,0.0,0.0,0.0,6.29,0.018,0.0,0.0,3.5179,3.5534,1.3016,0.0,0.0,0.0,0.0,0.0,0.0
15.01,22:00,0.5644,3.698,3.1023,3.698,0.1087,0.0269,1.3015,0.1035,0.1035,0.0,0.0,0.0,5.88,0.018,0.0,0.0,3.1023,3.1336,1.1479,0.0,0.0,0.0,0.0,0.0,0.0
15.01,23:00,0.5867,4.4621,2.2131,4.4621,0.113,0.0269,0.9768,0.1249,0.1249,0.0,0.0,0.0,5.51,0.018,0.0,0.0,2.2131,2.2355,0.8188,0.0,1.64,50.0,0.0,0.0,0.0
