timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,cost_heat_pump_eur,emissions_heat_pump_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur,tess_soc_kwh,tess_soc_pct,tess_charge_kwh,tess_discharge_kwh,cost_tess_eur,emissions_tess_kg
15.01,00:00,0.5297,0.5297,1.5144,0.0,0.0,0.3513,0.0,0.0,0.0,0.0,0.0,7.53,0.0719,0.0,0.0,0.0,0.0,0.0,1.1394,34.74,0.0,0.5297,0.2415,9.5616,42.5,0.0,1.5144,0.0379,0.0
15.01,01:00,0.5112,0.5112,1.57,0.0,0.0,0.3442,0.0,0.0,0.0,0.0,0.0,6.99,0.0719,0.0,0.0,0.0,0.0,0.0,0.6563,20.01,0.0,0.5112,0.2331,7.8125,34.72,0.0,1.57,0.0393,0.0
15.01,02:00,0.5284,0.5284,1.7635,0.0,0.0,0.3569,0.0,0.0,0.0,0.0,0.0,6.5,0.0719,0.0,0.0,0.0,0.0,0.0,0.1569,4.78,0.0,0.5284,0.241,5.8495,26.0,0.0,1.7635,0.0441,0.0
15.01,03:00,0.5142,0.5142,2.3565,0.3659,0.0656,0.264,0.0073,0.0073,0.0,0.0,0.0,6.09,0.0719,0.0,0.0,0.0,0.0,0.0,0.0168,0.51,0.0,0.1483,0.0676,3.2292,14.35,0.0,2.3565,0.0589,0.0
15.01,04:00,0.4759,0.9879,3.5746,0.9721,0.1743,0.4975,0.0194,0.0194,0.0,0.0,0.0,5.76,0.0719,0.0,1.2698,0.512,0.1714,0.0,0.0018,0.05,0.0,0.0159,0.0072,0.541,2.4,0.6015,2.9063,0.0727,0.0
15.01,05:00,0.4847,3.5224,4.4679,3.5207,0.6313,1.7372,0.0704,0.0704,0.0,0.0,0.0,5.41,0.0719,0.0,7.5639,3.0377,1.0211,0.0,0.0002,0.01,0.0,0.0017,0.0008,3.2227,14.32,3.5829,0.4869,0.0122,0.0
15.01,06:00,0.4754,1.5032,4.2527,1.503,0.2695,0.7608,0.0301,0.0301,0.0,0.0,0.0,5.12,0.0719,0.0,2.5693,1.0277,0.3469,0.0,0.0,0.0,0.0,0.0002,0.0001,1.0947,4.87,1.2171,2.9004,0.0725,0.0
15.01,07:00,0.5544,2.6751,3.7867,2.675,0.4796,1.2947,0.0535,0.0535,0.0,0.0,0.0,5.53,0.0719,0.0,5.3228,2.1206,0.7186,0.0,0.0,0.0,0.0,0.0,0.0,2.2678,10.08,2.5213,0.9852,0.0246,0.0
15.01,08:00,0.8199,1.9314,3.521,1.4761,0.2647,0.7717,0.0295,0.0295,0.4552,0.0,0.0,7.94,0.0719,0.0046,2.8119,1.1114,0.3796,0.0,0.0,0.0,0.0,0.0,0.0,1.198,5.32,1.332,2.041,0.051,0.0
15.01,09:00,1.0871,2.7234,3.2915,1.4426,0.2587,0.938,0.0289,0.0289,1.2807,0.0,0.0,13.25,0.0719,0.0128,4.2052,1.6363,0.5677,0.0,0.0,0.0,0.0,0.0,0.0,1.7917,7.96,1.9919,1.0782,0.027,0.0
