timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,emissions_pv_kg,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,cost_heat_pump_eur,emissions_heat_pump_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur,tess_soc_kwh,tess_soc_pct,tess_charge_kwh,tess_discharge_kwh,cost_tess_eur,emissions_tess_kg
15.10,00:00,0.4252,0.4252,1.5018,0.0,0.0,0.0269,0.2764,0.0,0.0047,0.0,0.0,0.0,8.9,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.2381,37.75,0.0,0.4252,0.1939,9.5756,42.56,0.0,1.5018,0.0375,0.0
15.10,01:00,0.3854,0.3854,1.6101,0.0,0.0,0.0269,0.2609,0.0,0.0042,0.0,0.0,0.0,8.72,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.8739,26.64,0.0,0.3854,0.1757,7.7819,34.59,0.0,1.6101,0.0403,0.0
15.10,02:00,0.5371,0.5371,1.6681,0.0,0.0,0.0269,0.3315,0.0,0.0059,0.0,0.0,0.0,8.42,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.3663,11.17,0.0,0.5371,0.2449,5.9249,26.33,0.0,1.6681,0.0417,0.0
15.10,03:00,0.5919,0.5919,1.8667,0.2458,0.0473,0.0269,0.2968,0.0069,0.0107,0.0,0.0,0.0,8.32,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0392,1.19,0.0,0.3462,0.1578,3.8485,17.1,0.0,1.8667,0.0467,0.0
15.10,04:00,0.5607,0.5607,2.4809,0.5236,0.1009,0.0269,0.2247,0.0147,0.0151,0.0,0.0,0.0,7.88,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.13,0.0,0.037,0.0169,1.0913,4.85,0.0,2.4809,0.062,0.0
15.10,05:00,0.6179,2.8651,3.7852,2.8611,0.1183,0.0269,0.9085,0.0801,0.0802,0.0,0.0,0.0,7.68,0.018,0.0,0.0,5.3258,2.2472,0.719,0.0,0.0004,0.01,0.0,0.004,0.0018,2.2691,10.08,2.5227,0.9822,0.0246,0.0
15.10,06:00,0.5566,2.6873,4.7337,2.6869,0.1071,0.0269,0.8937,0.0752,0.0752,0.0,0.0,0.0,7.26,0.018,0.0,0.0,5.1139,2.1308,0.6904,0.0,0.0,0.0,0.0,0.0004,0.0002,2.1788,9.68,2.4224,2.0422,0.0511,0.0
15.10,07:00,0.6431,2.6292,4.5115,1.5885,0.0,0.0269,0.7586,0.0445,0.073,1.0407,0.0,0.0,13.41,0.018,0.0104,0.028514,4.8461,1.9861,0.6542,0.0,0.0,0.0,0.0,0.0,0.0,2.0647,9.18,2.2955,1.9609,0.049,0.0
15.10,08:00,0.6253,2.2853,4.025,0.0,0.0,0.0269,0.6701,0.0,0.0631,2.3016,0.0,0.0,22.99,0.018,0.023,0.063064,4.1168,1.66,0.5558,0.0,0.0173,0.53,0.0163,0.0,0.0,1.754,7.8,1.9501,1.8583,0.0465,0.0
15.10,09:00,0.5607,2.2136,3.7535,0.0,0.0,0.0269,0.6746,0.0,0.0886,3.2329,0.0,0.0,30.42,0.018,0.0323,0.088581,4.1323,1.6529,0.5579,0.0,1.0959,33.41,1.0193,0.0,0.0,1.7606,7.82,1.9574,1.5786,0.0395,0.0
15.10,10:00,0.5923,2.0453,3.5117,0.0,0.0,0.0269,0.617,0.0,0.1046,3.8186,0.0,0.0,35.43,0.018,0.0382,0.10463,3.6616,1.453,0.4943,0.0,2.9724,90.62,1.7733,0.0,0.0,1.5601,6.93,1.7344,1.5845,0.0396,0.0
15.10,11:00,0.6095,2.0619,3.3381,0.0,0.0,0.0269,0.487,0.0,0.1076,3.9255,1.5381,0.1284,37.06,0.018,0.0393,0.107559,3.6747,1.4524,0.4961,0.0,3.28,100.0,0.3255,0.0,0.0,1.5656,6.96,1.7406,1.4041,0.0351,0.0
15.10,12:00,0.5926,1.9895,3.2692,0.0,0.0,0.0269,0.4496,0.0,0.1021,3.7263,1.7368,0.1449,36.28,0.018,0.0373,0.1021,3.5342,1.3969,0.4771,0.0,3.2799,100.0,0.0,0.0,0.0,1.5058,6.69,1.6741,1.4091,0.0352,0.0
15.10,13:00,0.6841,2.0531,3.171,0.0,0.0,0.0269,0.4771,0.0,0.0891,3.2503,1.1971,0.0999,33.34,0.018,0.0325,0.089059,3.45,1.369,0.4657,0.0,3.2799,100.0,0.0001,0.0,0.0,1.4699,6.53,1.6342,1.3552,0.0339,0.0
15.10,14:00,1.0383,2.473,3.2106,0.0,0.0,0.0269,0.5846,0.0,0.0686,2.5046,0.0315,0.0026,28.32,0.018,0.025,0.068627,3.5866,1.4346,0.4842,0.0,3.2799,100.0,0.0001,0.0,0.0,1.5281,6.79,1.6989,1.3229,0.0331,0.0
15.10,15:00,1.0665,2.5419,3.2933,0.0,0.0,0.0269,0.9479,0.0,0.0567,1.7544,0.0,0.0,23.1,0.018,0.0175,0.048071,3.6442,1.4754,0.492,0.0,2.5356,77.31,0.0,0.7875,0.3591,1.5526,6.9,1.7262,1.3753,0.0344,0.0
15.10,16:00,0.8833,2.471,3.4447,0.0,0.0,0.0269,1.4478,0.0,0.0376,0.6365,0.0,0.0,15.37,0.018,0.0064,0.017441,3.8899,1.5877,0.5251,0.0,0.802,24.45,0.0,1.8344,0.8365,1.6573,7.37,1.8426,1.3974,0.0349,0.0
15.10,17:00,0.8073,2.5158,3.6677,1.7579,0.0095,0.0269,0.9955,0.0492,0.0576,0.0,0.0,0.0,10.21,0.018,0.0,0.0,4.1346,1.7085,0.5582,0.0,0.0858,2.61,0.0,0.7579,0.3456,1.7616,7.83,1.9585,1.4916,0.0373,0.0
15.10,18:00,0.7072,2.435,3.7769,2.3539,0.1206,0.0269,0.8042,0.0659,0.0668,0.0,0.0,0.0,9.11,0.018,0.0,0.0,4.1638,1.7277,0.5621,0.0,0.0092,0.28,0.0,0.0811,0.037,1.774,7.88,1.9723,1.5854,0.0396,0.0
15.10,19:00,0.6417,2.4359,3.8536,2.4273,0.122,0.0269,0.7896,0.068,0.0681,0.0,0.0,0.0,8.29,0.018,0.0,0.0,4.2883,1.7942,0.5789,0.0,0.001,0.03,0.0,0.0087,0.004,1.8271,8.12,2.0313,1.5966,0.0399,0.0
