season,hour,electricity_demand_kwh,total_electricity_consumption_kwh,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,electric_boiler_electric_demand_kwh,thermal_demand_kwh,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,grid_supply_kwh,gas_boiler_heat_kwh,electric_boiler_heat_kwh,bess_soc_kwh,bess_charge_kwh,bess_discharge_kwh,tess_soc_kwh,tess_charge_kwh,tess_discharge_kwh,cost_pv_capex_hour_eur,cost_pv_om_eur,cost_grid_eur,cost_gas_boiler_eur,cost_electric_boiler_eur,cost_heat_pump_eur,cost_bess_eur,cost_tess_eur,total_cost_hour_eur,emissions_grid_kg,emissions_gas_boiler_kg,emissions_electric_boiler_kg,emissions_heat_pump_kg,emissions_bess_kg,emissions_tess_kg,total_emissions_hour_kg
Winter,0,0.2656,0.2656,0.0,0.0,0.0,1.262,0.0,0.0,0.0,7.53,0.0,0.0,0.0,1.389,0.0,0.2656,9.8419,0.0,1.262,0.0719,0.0,0.0,0.0,0.0,0.0,0.1211,0.0316,0.2245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,1,0.2596,0.2596,0.0,0.0,0.0,1.3083,0.0,0.0,0.0,6.99,0.0,0.0,0.0,1.1436,0.0,0.2596,8.3831,0.0,1.3083,0.0719,0.0,0.0,0.0,0.0,0.0,0.1184,0.0327,0.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,2,0.2725,0.2725,0.0,0.0,0.0,1.4696,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.8861,0.0,0.2725,6.7462,0.0,1.4696,0.0719,0.0,0.0,0.0,0.0,0.0,0.1243,0.0367,0.2329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,3,0.2517,0.2517,0.0,0.0,0.0,1.9638,0.0,0.0,0.0,6.09,0.0,0.0,0.0,0.6482,0.0,0.2517,4.5615,0.0,1.9638,0.0719,0.0,0.0,0.0,0.0,0.0,0.1148,0.0491,0.2357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,4,0.2432,0.2432,0.0,0.0,0.0,2.9788,0.0,0.0,0.0,5.76,0.0,0.0,0.0,0.4183,0.0,0.2432,1.251,0.0,2.9788,0.0719,0.0,0.0,0.0,0.0,0.0,0.1109,0.0745,0.2572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,5,0.2479,2.2298,4.935,1.9819,0.0,3.7233,0.0,0.0,0.0,5.41,1.8345,0.0,0.0,0.0447,0.0,0.3953,2.1026,2.3376,1.1259,0.0719,0.0,0.3289,0.0,0.0,0.6662,0.1803,0.0281,1.2754,0.0367,0.0,0.0,0.0,0.0,0.0,0.0367
Winter,6,0.233,1.4882,3.138,1.2552,0.0,3.5439,0.0,0.0,0.0,5.12,1.4459,0.0,0.0,0.0048,0.0,0.0423,1.337,1.4864,1.8924,0.0719,0.0,0.2593,0.0,0.0,0.4236,0.0193,0.0473,0.8213,0.0289,0.0,0.0,0.0,0.0,0.0,0.0289
Winter,7,0.2541,1.7319,3.7094,1.4779,0.0,3.1556,0.0,0.0,0.0,5.53,1.7274,0.0,0.0,0.0005,0.0,0.0045,1.5804,1.7571,1.2033,0.0719,0.0,0.3097,0.0,0.0,0.5008,0.0021,0.0301,0.9145,0.0345,0.0,0.0,0.0,0.0,0.0,0.0345
Winter,8,0.38,1.5154,2.8724,1.1353,0.0,2.9342,0.4512,0.0,0.0,7.94,1.0637,0.0,0.0,0.0001,0.0,0.0005,1.2238,1.3606,1.4224,0.0719,0.0045,0.1907,0.0,0.0,0.3878,0.0002,0.0356,0.6907,0.0213,0.0,0.0,0.0,0.0,0.0,0.0213
Winter,9,0.5358,1.7493,3.1188,1.2136,0.0,2.7429,1.2694,0.0,0.0,13.25,0.4798,0.0,0.0,0.0,0.0,0.0001,1.3288,1.4773,1.1014,0.0719,0.0127,0.086,0.0,0.0,0.421,0.0,0.0275,0.6192,0.0096,0.0,0.0,0.0,0.0,0.0,0.0096
