timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,emissions_pv_kg,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,cost_heat_pump_eur,emissions_heat_pump_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur,tess_soc_kwh,tess_soc_pct,tess_charge_kwh,tess_discharge_kwh,cost_tess_eur,emissions_tess_kg
15.04,00:00,0.4403,0.4403,0.4697,0.0,0.0,0.0269,0.2574,0.0,0.0048,0.0,0.0,0.0,7.47,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.2239,37.31,0.0,0.4403,0.2008,10.7217,47.65,0.0,0.4697,0.0117,0.0
15.04,01:00,0.4817,0.4817,0.5277,0.0,0.0,0.0269,0.2777,0.0,0.0053,0.0,0.0,0.0,7.07,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.7687,23.44,0.0,0.4817,0.2196,10.1293,45.02,0.0,0.5277,0.0132,0.0
15.04,02:00,0.5054,0.5054,0.548,0.0,0.0,0.0269,0.2891,0.0,0.0056,0.0,0.0,0.0,6.56,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.2911,8.87,0.0,0.5054,0.2305,9.5147,42.29,0.0,0.548,0.0137,0.0
15.04,03:00,0.6699,0.6699,0.6445,0.3949,0.0761,0.0269,0.2625,0.0111,0.0141,0.0,0.0,0.0,6.36,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0311,0.95,0.0,0.2751,0.1254,8.7933,39.08,0.0,0.6445,0.0161,0.0
15.04,04:00,0.6967,0.6967,1.0198,0.6673,0.1286,0.0269,0.2124,0.0187,0.019,0.0,0.0,0.0,6.16,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.1,0.0,0.0294,0.0134,7.6556,34.02,0.0,1.0198,0.0255,0.0
15.04,05:00,0.8199,0.8199,1.9461,0.8168,0.1574,0.0269,0.2523,0.0229,0.0229,0.0,0.0,0.0,5.96,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.01,0.0,0.0031,0.0014,5.4899,24.4,0.0,1.9461,0.0487,0.0
15.04,06:00,1.0271,1.0271,2.3417,0.7186,0.1384,0.0269,0.2451,0.0201,0.0286,0.3082,0.0,0.0,8.52,0.018,0.0031,0.008445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0002,2.8863,12.83,0.0,2.3417,0.0585,0.0
15.04,07:00,1.0428,1.0428,2.2765,0.1401,0.027,0.0269,0.1378,0.0039,0.0287,0.9026,0.0,0.0,13.09,0.018,0.009,0.024732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3567,1.59,0.0,2.2765,0.0569,0.0
15.04,08:00,1.1918,2.1166,1.8542,1.2227,0.0574,0.0269,0.5125,0.0342,0.0587,0.8939,0.0,0.0,13.5,0.018,0.0089,0.024493,2.9131,0.9248,0.3933,0.0,0.0,0.0,0.0,0.0,0.0,1.2412,5.52,1.3799,0.321,0.008,0.0
15.04,09:00,1.107,1.4952,1.777,0.2354,0.0,0.0269,0.2547,0.0066,0.0411,1.2598,0.0,0.0,16.68,0.018,0.0126,0.034518,1.2539,0.3882,0.1693,0.0,0.0,0.0,0.0,0.0,0.0,0.5342,2.37,0.594,1.117,0.0279,0.0
