timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,emissions_pv_kg,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,cost_heat_pump_eur,emissions_heat_pump_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur,tess_soc_kwh,tess_soc_pct,tess_charge_kwh,tess_discharge_kwh,cost_tess_eur,emissions_tess_kg
15.07,00:00,0.5071,0.5071,0.2665,0.0,0.0,0.0269,0.2828,0.0,0.0056,0.0,0.0,0.0,22.67,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.1607,35.39,0.0,0.5071,0.2312,10.9473,48.65,0.0,0.2665,0.0067,0.0
15.07,01:00,0.5353,0.5353,0.3093,0.0,0.0,0.0269,0.2967,0.0,0.0059,0.0,0.0,0.0,21.71,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,19.97,0.0,0.5353,0.2441,10.5973,47.1,0.0,0.3093,0.0077,0.0
15.07,02:00,0.5046,0.5046,0.3055,0.0,0.0,0.0269,0.2826,0.0,0.0056,0.0,0.0,0.0,20.97,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.178,5.43,0.0,0.5046,0.2301,10.2517,45.56,0.0,0.3055,0.0076,0.0
15.07,03:00,0.5454,0.5454,0.3487,0.3772,0.0727,0.0269,0.203,0.0106,0.0124,0.0,0.0,0.0,20.62,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.58,0.0,0.1682,0.0767,9.8583,43.81,0.0,0.3487,0.0087,0.0
15.07,04:00,0.6738,0.6738,0.5826,0.6558,0.1263,0.0269,0.194,0.0184,0.0186,0.0,0.0,0.0,20.56,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.06,0.0,0.018,0.0082,9.2055,40.91,0.0,0.5826,0.0146,0.0
15.07,05:00,0.6873,0.6873,1.2013,0.47,0.0906,0.0269,0.1685,0.0132,0.0191,0.2154,0.0,0.0,21.86,0.018,0.0022,0.005901,0.0,0.0,0.0,0.0,0.0002,0.01,0.0,0.0019,0.0009,7.866,34.96,0.0,1.2013,0.03,0.0
15.07,06:00,0.6354,0.6354,1.5424,0.4552,0.0877,0.0269,0.1731,0.0127,0.0177,0.18,0.0,0.0,21.93,0.018,0.0018,0.004932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,6.1485,27.33,0.0,1.5424,0.0386,0.0
15.07,07:00,0.7139,0.7139,1.456,0.1295,0.025,0.0269,0.1121,0.0036,0.0196,0.5844,0.0,0.0,24.69,0.018,0.0058,0.016013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.528,20.12,0.0,1.456,0.0364,0.0
15.07,08:00,0.8872,0.8872,1.1381,0.0,0.0,0.0269,0.0833,0.0,0.0271,0.9904,0.0,0.0,27.48,0.018,0.0099,0.027136,0.0,0.0,0.0,0.0,0.1091,3.33,0.1031,0.0,0.0,3.2615,14.5,0.0,1.1381,0.0285,0.0
15.07,09:00,0.8396,0.8396,1.0958,0.0111,0.0021,0.0269,0.1287,0.0003,0.0213,0.7254,0.0,0.0,26.39,0.018,0.0073,0.019876,0.0,0.0,0.0,0.0,0.0117,0.36,0.0,0.1031,0.047,2.0427,9.08,0.0,1.0958,0.0274,0.0
