timestamp,hour,electricity_demand_kwh,total_electricity_consumption_kwh,thermal_demand_kwh,grid_supply_kwh,cost_grid_eur,cost_grid_subscription_eur,total_cost_hour_eur,emissions_grid_kg,total_emissions_hour_kg,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,cost_pv_capex_hour_eur,cost_pv_om_eur,emissions_pv_kg,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,cost_heat_pump_eur,emissions_heat_pump_kg,bess_soc_kwh,bess_soc_pct,bess_charge_kwh,bess_discharge_kwh,cost_bess_eur,tess_soc_kwh,tess_soc_pct,tess_charge_kwh,tess_discharge_kwh,cost_tess_eur,emissions_tess_kg
15.01,00:00,0.5142,0.5142,1.675,0.0,0.0,0.0269,0.3213,0.0,0.0057,0.0,0.0,0.0,7.53,0.018,0.0,0.0,0.0,0.0,0.0,0.0,1.154,35.18,0.0,0.5142,0.2345,9.3833,41.7,0.0,1.675,0.0419,0.0
15.01,01:00,0.4759,0.4759,1.4081,0.0,0.0,0.0269,0.2971,0.0,0.0052,0.0,0.0,0.0,6.99,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.7042,21.47,0.0,0.4759,0.217,7.814,34.73,0.0,1.4081,0.0352,0.0
15.01,02:00,0.4847,0.4847,1.5144,0.0,0.0,0.0269,0.3038,0.0,0.0053,0.0,0.0,0.0,6.5,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.2462,7.5,0.0,0.4847,0.221,6.1277,27.23,0.0,1.5144,0.0379,0.0
15.01,03:00,0.4754,0.4754,1.57,0.2428,0.0468,0.0269,0.237,0.0068,0.0094,0.0,0.0,0.0,6.09,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0263,0.8,0.0,0.2326,0.1061,4.3806,19.47,0.0,1.57,0.0393,0.0
15.01,04:00,0.5544,0.5544,1.7635,0.5295,0.102,0.0269,0.2024,0.0148,0.0151,0.0,0.0,0.0,5.76,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.09,0.0,0.0249,0.0113,2.4197,10.75,0.0,1.7635,0.0441,0.0
15.01,05:00,0.8199,0.9564,2.3565,0.9537,0.1575,0.0269,0.3039,0.0267,0.0267,0.0,0.0,0.0,5.41,0.018,0.0,0.0,0.3397,0.1364,0.0459,0.0,0.0003,0.01,0.0,0.0027,0.0012,0.1447,0.64,0.1609,2.1777,0.0544,0.0
15.01,06:00,1.0871,3.7048,3.5746,3.7045,0.2094,0.0269,1.1411,0.1037,0.1037,0.0,0.0,0.0,5.12,0.018,0.0,0.0,6.5443,2.6177,0.8835,0.0,0.0,0.0,0.0,0.0003,0.0001,2.7882,12.39,3.0999,0.1303,0.0033,0.0
15.01,07:00,1.1957,2.6782,4.4679,2.6782,0.2304,0.0269,0.8404,0.075,0.075,0.0,0.0,0.0,5.53,0.018,0.0,0.0,3.7211,1.4825,0.5023,0.0,0.0,0.0,0.0,0.0,0.0,1.5854,7.05,1.7626,2.5094,0.0627,0.0
15.01,08:00,1.3944,3.5166,4.2527,3.0614,0.1809,0.0269,0.9909,0.0857,0.0982,0.4552,0.0,0.0,7.94,0.018,0.0046,0.012473,5.3691,2.1222,0.7248,0.0,0.0,0.0,0.0,0.0,0.0,2.2875,10.17,2.5432,1.4269,0.0357,0.0
15.01,09:00,1.3549,2.6324,3.7867,1.3516,0.0143,0.0269,0.5667,0.0378,0.0729,1.2807,0.0,0.0,13.25,0.018,0.0128,0.035092,3.283,1.2774,0.4432,0.0,0.0,0.0,0.0,0.0,0.0,1.3988,6.22,1.5551,2.0588,0.0515,0.0
