season,hour,electricity_demand_kwh,total_electricity_consumption_kwh,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,electric_boiler_electric_demand_kwh,thermal_demand_kwh,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,grid_supply_kwh,gas_boiler_heat_kwh,electric_boiler_heat_kwh,bess_soc_kwh,bess_charge_kwh,bess_discharge_kwh,tess_soc_kwh,tess_charge_kwh,tess_discharge_kwh,cost_pv_capex_hour_eur,cost_pv_om_eur,cost_grid_eur,cost_gas_boiler_eur,cost_electric_boiler_eur,cost_heat_pump_eur,cost_bess_eur,cost_tess_eur,total_cost_hour_eur,emissions_grid_kg,emissions_gas_boiler_kg,emissions_electric_boiler_kg,emissions_heat_pump_kg,emissions_bess_kg,emissions_tess_kg,total_emissions_hour_kg
Winter,1,0.2656,0.2656,0.0,0.0,0.0,1.262,0.0,0.0,0.0,0.0,0.2656,1.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476,0.1641,0.0,0.0,0.0,0.0,0.2117,0.0053,0.0252,0.0,0.0,0.0,0.0,0.0306
Winter,2,0.2596,0.2596,0.0,0.0,0.0,1.3083,0.0,0.0,0.0,0.0,0.2596,1.3083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0465,0.1701,0.0,0.0,0.0,0.0,0.2166,0.0052,0.0262,0.0,0.0,0.0,0.0,0.0314
Winter,3,0.2725,0.2725,0.0,0.0,0.0,1.4696,0.0,0.0,0.0,0.0,0.2725,1.4696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489,0.191,0.0,0.0,0.0,0.0,0.2399,0.0054,0.0294,0.0,0.0,0.0,0.0,0.0348
Winter,4,0.2517,0.2517,0.0,0.0,0.0,1.9638,0.0,0.0,0.0,0.0,0.2517,1.9638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0451,0.2553,0.0,0.0,0.0,0.0,0.3004,0.005,0.0393,0.0,0.0,0.0,0.0,0.0443
Winter,5,0.2432,0.2432,0.0,0.0,0.0,2.9788,0.0,0.0,0.0,0.0,0.2432,2.9788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436,0.3872,0.0,0.0,0.0,0.0,0.4309,0.0049,0.0596,0.0,0.0,0.0,0.0,0.0644
Winter,6,0.2479,0.2479,0.0,0.0,0.0,3.7233,0.0,0.0,0.0,0.0,0.2479,3.7233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0445,0.484,0.0,0.0,0.0,0.0,0.5285,0.005,0.0745,0.0,0.0,0.0,0.0,0.0794
Winter,7,0.233,0.233,0.0,0.0,0.0,3.5439,0.0,0.0,0.0,0.0,0.233,3.5439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418,0.4607,0.0,0.0,0.0,0.0,0.5025,0.0047,0.0709,0.0,0.0,0.0,0.0,0.0755
Winter,8,0.2541,0.2541,0.0,0.0,0.0,3.1556,0.0,0.0,0.0,0.0,0.2541,3.1556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0456,0.4102,0.0,0.0,0.0,0.0,0.4558,0.0051,0.0631,0.0,0.0,0.0,0.0,0.0682
Winter,9,0.38,0.38,0.0,0.0,0.0,2.9342,0.0,0.0,0.0,0.0,0.38,2.9342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681,0.3814,0.0,0.0,0.0,0.0,0.4496,0.0076,0.0587,0.0,0.0,0.0,0.0,0.0663
Winter,10,0.5358,0.5358,0.0,0.0,0.0,2.7429,0.0,0.0,0.0,0.0,0.5358,2.7429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0961,0.3566,0.0,0.0,0.0,0.0,0.4526,0.0107,0.0549,0.0,0.0,0.0,0.0,0.0656
Winter,11,0.5568,0.5568,0.0,0.0,0.0,2.6077,0.0,0.0,0.0,0.0,0.5568,2.6077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0998,0.339,0.0,0.0,0.0,0.0,0.4388,0.0111,0.0522,0.0,0.0,0.0,0.0,0.0633
Winter,12,0.6546,0.6546,0.0,0.0,0.0,2.5591,0.0,0.0,0.0,0.0,0.6546,2.5591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1174,0.3327,0.0,0.0,0.0,0.0,0.4501,0.0131,0.0512,0.0,0.0,0.0,0.0,0.0643
Winter,13,0.6845,0.6845,0.0,0.0,0.0,2.4804,0.0,0.0,0.0,0.0,0.6845,2.4804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1227,0.3225,0.0,0.0,0.0,0.0,0.4452,0.0137,0.0496,0.0,0.0,0.0,0.0,0.0633
Winter,14,0.6279,0.6279,0.0,0.0,0.0,2.5143,0.0,0.0,0.0,0.0,0.6279,2.5143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1126,0.3269,0.0,0.0,0.0,0.0,0.4395,0.0126,0.0503,0.0,0.0,0.0,0.0,0.0628
Winter,15,0.5498,0.5498,0.0,0.0,0.0,2.5824,0.0,0.0,0.0,0.0,0.5498,2.5824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0986,0.3357,0.0,0.0,0.0,0.0,0.4343,0.011,0.0516,0.0,0.0,0.0,0.0,0.0626
Winter,16,0.4145,0.4145,0.0,0.0,0.0,2.701,0.0,0.0,0.0,0.0,0.4145,2.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743,0.3511,0.0,0.0,0.0,0.0,0.4254,0.0083,0.054,0.0,0.0,0.0,0.0,0.0623
Winter,17,0.4143,0.4143,0.0,0.0,0.0,2.8807,0.0,0.0,0.0,0.0,0.4143,2.8807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743,0.3745,0.0,0.0,0.0,0.0,0.4488,0.0083,0.0576,0.0,0.0,0.0,0.0,0.0659
Winter,18,0.5512,0.5512,0.0,0.0,0.0,2.9659,0.0,0.0,0.0,0.0,0.5512,2.9659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0988,0.3856,0.0,0.0,0.0,0.0,0.4844,0.011,0.0593,0.0,0.0,0.0,0.0,0.0703
Winter,19,0.715,0.715,0.0,0.0,0.0,3.0227,0.0,0.0,0.0,0.0,0.715,3.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.3929,0.0,0.0,0.0,0.0,0.5211,0.0143,0.0605,0.0,0.0,0.0,0.0,0.0748
Winter,20,0.7474,0.7474,0.0,0.0,0.0,2.9316,0.0,0.0,0.0,0.0,0.7474,2.9316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.3811,0.0,0.0,0.0,0.0,0.5151,0.0149,0.0586,0.0,0.0,0.0,0.0,0.0736
Winter,21,0.5788,0.5788,0.0,0.0,0.0,2.5852,0.0,0.0,0.0,0.0,0.5788,2.5852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1038,0.3361,0.0,0.0,0.0,0.0,0.4399,0.0116,0.0517,0.0,0.0,0.0,0.0,0.0633
Winter,22,0.5416,0.5416,0.0,0.0,0.0,1.8442,0.0,0.0,0.0,0.0,0.5416,1.8442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971,0.2398,0.0,0.0,0.0,0.0,0.3369,0.0108,0.0369,0.0,0.0,0.0,0.0,0.0477
Winter,23,0.42,0.42,0.0,0.0,0.0,1.3268,0.0,0.0,0.0,0.0,0.42,1.3268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0753,0.1725,0.0,0.0,0.0,0.0,0.2478,0.0084,0.0265,0.0,0.0,0.0,0.0,0.0349
Winter,24,0.325,0.325,0.0,0.0,0.0,1.2644,0.0,0.0,0.0,0.0,0.325,1.2644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0583,0.1644,0.0,0.0,0.0,0.0,0.2226,0.0065,0.0253,0.0,0.0,0.0,0.0,0.0318
Spring,1,0.2978,0.2978,0.0,0.0,0.0,0.4567,0.0,0.0,0.0,0.0,0.2978,0.4567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0534,0.0594,0.0,0.0,0.0,0.0,0.1128,0.006,0.0091,0.0,0.0,0.0,0.0,0.0151
Spring,2,0.254,0.254,0.0,0.0,0.0,0.5371,0.0,0.0,0.0,0.0,0.254,0.5371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,0.0698,0.0,0.0,0.0,0.0,0.1154,0.0051,0.0107,0.0,0.0,0.0,0.0,0.0158
Spring,3,0.2357,0.2357,0.0,0.0,0.0,0.8498,0.0,0.0,0.0,0.0,0.2357,0.8498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423,0.1105,0.0,0.0,0.0,0.0,0.1527,0.0047,0.017,0.0,0.0,0.0,0.0,0.0217
Spring,4,0.2091,0.2091,0.0,0.0,0.0,1.6218,0.0,0.0,0.0,0.0,0.2091,1.6218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.2108,0.0,0.0,0.0,0.0,0.2483,0.0042,0.0324,0.0,0.0,0.0,0.0,0.0366
Spring,5,0.2209,0.2209,0.0,0.0,0.0,1.9514,0.0,0.0,0.0,0.0,0.2209,1.9514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0396,0.2537,0.0,0.0,0.0,0.0,0.2933,0.0044,0.039,0.0,0.0,0.0,0.0,0.0434
Spring,6,0.2318,0.2318,0.0,0.0,0.0,1.8971,0.0,0.0,0.0,0.0,0.2318,1.8971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,0.2466,0.0,0.0,0.0,0.0,0.2882,0.0046,0.0379,0.0,0.0,0.0,0.0,0.0426
Spring,7,0.3045,0.3045,0.0,0.0,0.0,1.5452,0.0,0.0,0.0,0.0,0.3045,1.5452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546,0.2009,0.0,0.0,0.0,0.0,0.2555,0.0061,0.0309,0.0,0.0,0.0,0.0,0.037
Spring,8,0.3191,0.3191,0.0,0.0,0.0,1.4808,0.0,0.0,0.0,0.0,0.3191,1.4808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0572,0.1925,0.0,0.0,0.0,0.0,0.2497,0.0064,0.0296,0.0,0.0,0.0,0.0,0.036
Spring,9,0.3513,0.3513,0.0,0.0,0.0,1.3346,0.0,0.0,0.0,0.0,0.3513,1.3346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.1735,0.0,0.0,0.0,0.0,0.2365,0.007,0.0267,0.0,0.0,0.0,0.0,0.0337
Spring,10,0.4728,0.4728,0.0,0.0,0.0,1.2532,0.0,0.0,0.0,0.0,0.4728,1.2532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848,0.1629,0.0,0.0,0.0,0.0,0.2477,0.0095,0.0251,0.0,0.0,0.0,0.0,0.0345
Spring,11,0.5174,0.5174,0.0,0.0,0.0,1.1835,0.0,0.0,0.0,0.0,0.5174,1.1835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0928,0.1539,0.0,0.0,0.0,0.0,0.2466,0.0103,0.0237,0.0,0.0,0.0,0.0,0.034
Spring,12,0.5513,0.5513,0.0,0.0,0.0,1.0622,0.0,0.0,0.0,0.0,0.5513,1.0622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0988,0.1381,0.0,0.0,0.0,0.0,0.2369,0.011,0.0212,0.0,0.0,0.0,0.0,0.0323
Spring,13,0.5918,0.5918,0.0,0.0,0.0,1.0246,0.0,0.0,0.0,0.0,0.5918,1.0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1061,0.1332,0.0,0.0,0.0,0.0,0.2393,0.0118,0.0205,0.0,0.0,0.0,0.0,0.0323
Spring,14,0.5417,0.5417,0.0,0.0,0.0,0.9916,0.0,0.0,0.0,0.0,0.5417,0.9916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971,0.1289,0.0,0.0,0.0,0.0,0.226,0.0108,0.0198,0.0,0.0,0.0,0.0,0.0307
Spring,15,0.4205,0.4205,0.0,0.0,0.0,1.0425,0.0,0.0,0.0,0.0,0.4205,1.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754,0.1355,0.0,0.0,0.0,0.0,0.2109,0.0084,0.0209,0.0,0.0,0.0,0.0,0.0293
Spring,16,0.3699,0.3699,0.0,0.0,0.0,1.1248,0.0,0.0,0.0,0.0,0.3699,1.1248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0663,0.1462,0.0,0.0,0.0,0.0,0.2126,0.0074,0.0225,0.0,0.0,0.0,0.0,0.0299
Spring,17,0.3555,0.3555,0.0,0.0,0.0,1.1923,0.0,0.0,0.0,0.0,0.3555,1.1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0637,0.155,0.0,0.0,0.0,0.0,0.2187,0.0071,0.0238,0.0,0.0,0.0,0.0,0.031
Spring,18,0.358,0.358,0.0,0.0,0.0,1.306,0.0,0.0,0.0,0.0,0.358,1.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0642,0.1698,0.0,0.0,0.0,0.0,0.234,0.0072,0.0261,0.0,0.0,0.0,0.0,0.0333
Spring,19,0.553,0.553,0.0,0.0,0.0,1.3216,0.0,0.0,0.0,0.0,0.553,1.3216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0992,0.1718,0.0,0.0,0.0,0.0,0.271,0.0111,0.0264,0.0,0.0,0.0,0.0,0.0375
Spring,20,0.5203,0.5203,0.0,0.0,0.0,1.1685,0.0,0.0,0.0,0.0,0.5203,1.1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0933,0.1519,0.0,0.0,0.0,0.0,0.2452,0.0104,0.0234,0.0,0.0,0.0,0.0,0.0338
Spring,21,0.5521,0.5521,0.0,0.0,0.0,0.8699,0.0,0.0,0.0,0.0,0.5521,0.8699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.1131,0.0,0.0,0.0,0.0,0.2121,0.011,0.0174,0.0,0.0,0.0,0.0,0.0284
Spring,22,0.4349,0.4349,0.0,0.0,0.0,0.5108,0.0,0.0,0.0,0.0,0.4349,0.5108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0664,0.0,0.0,0.0,0.0,0.1444,0.0087,0.0102,0.0,0.0,0.0,0.0,0.0189
Spring,23,0.3891,0.3891,0.0,0.0,0.0,0.3978,0.0,0.0,0.0,0.0,0.3891,0.3978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0698,0.0517,0.0,0.0,0.0,0.0,0.1215,0.0078,0.008,0.0,0.0,0.0,0.0,0.0157
Spring,24,0.3405,0.3405,0.0,0.0,0.0,0.4468,0.0,0.0,0.0,0.0,0.3405,0.4468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0611,0.0581,0.0,0.0,0.0,0.0,0.1191,0.0068,0.0089,0.0,0.0,0.0,0.0,0.0157
Summer,1,0.2838,0.2838,0.0,0.0,0.0,0.2546,0.0,0.0,0.0,0.0,0.2838,0.2546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0509,0.0331,0.0,0.0,0.0,0.0,0.084,0.0057,0.0051,0.0,0.0,0.0,0.0,0.0108
Summer,2,0.2655,0.2655,0.0,0.0,0.0,0.2906,0.0,0.0,0.0,0.0,0.2655,0.2906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476,0.0378,0.0,0.0,0.0,0.0,0.0854,0.0053,0.0058,0.0,0.0,0.0,0.0,0.0111
Summer,3,0.2482,0.2482,0.0,0.0,0.0,0.4855,0.0,0.0,0.0,0.0,0.2482,0.4855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0445,0.0631,0.0,0.0,0.0,0.0,0.1076,0.005,0.0097,0.0,0.0,0.0,0.0,0.0147
Summer,4,0.2505,0.2505,0.0,0.0,0.0,1.0011,0.0,0.0,0.0,0.0,0.2505,1.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449,0.1301,0.0,0.0,0.0,0.0,0.1751,0.005,0.02,0.0,0.0,0.0,0.0,0.025
Summer,5,0.2573,0.2573,0.0,0.0,0.0,1.2853,0.0,0.0,0.0,0.0,0.2573,1.2853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0461,0.1671,0.0,0.0,0.0,0.0,0.2132,0.0051,0.0257,0.0,0.0,0.0,0.0,0.0309
Summer,6,0.2521,0.2521,0.0,0.0,0.0,1.2133,0.0,0.0,0.0,0.0,0.2521,1.2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0452,0.1577,0.0,0.0,0.0,0.0,0.2029,0.005,0.0243,0.0,0.0,0.0,0.0,0.0293
Summer,7,0.2836,0.2836,0.0,0.0,0.0,0.9484,0.0,0.0,0.0,0.0,0.2836,0.9484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0509,0.1233,0.0,0.0,0.0,0.0,0.1742,0.0057,0.019,0.0,0.0,0.0,0.0,0.0246
Summer,8,0.3194,0.3194,0.0,0.0,0.0,0.9132,0.0,0.0,0.0,0.0,0.3194,0.9132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573,0.1187,0.0,0.0,0.0,0.0,0.176,0.0064,0.0183,0.0,0.0,0.0,0.0,0.0247
Summer,9,0.3361,0.3361,0.0,0.0,0.0,0.8448,0.0,0.0,0.0,0.0,0.3361,0.8448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603,0.1098,0.0,0.0,0.0,0.0,0.1701,0.0067,0.0169,0.0,0.0,0.0,0.0,0.0236
Summer,10,0.3036,0.3036,0.0,0.0,0.0,0.8244,0.0,0.0,0.0,0.0,0.3036,0.8244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544,0.1072,0.0,0.0,0.0,0.0,0.1616,0.0061,0.0165,0.0,0.0,0.0,0.0,0.0226
Summer,11,0.3001,0.3001,0.0,0.0,0.0,0.7916,0.0,0.0,0.0,0.0,0.3001,0.7916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0538,0.1029,0.0,0.0,0.0,0.0,0.1567,0.006,0.0158,0.0,0.0,0.0,0.0,0.0218
Summer,12,0.4579,0.4579,0.0,0.0,0.0,0.6608,0.0,0.0,0.0,0.0,0.4579,0.6608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0821,0.0859,0.0,0.0,0.0,0.0,0.168,0.0092,0.0132,0.0,0.0,0.0,0.0,0.0224
Summer,13,0.4576,0.4576,0.0,0.0,0.0,0.6308,0.0,0.0,0.0,0.0,0.4576,0.6308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.082,0.0,0.0,0.0,0.0,0.1641,0.0092,0.0126,0.0,0.0,0.0,0.0,0.0218
Summer,14,0.4906,0.4906,0.0,0.0,0.0,0.5786,0.0,0.0,0.0,0.0,0.4906,0.5786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0752,0.0,0.0,0.0,0.0,0.1632,0.0098,0.0116,0.0,0.0,0.0,0.0,0.0214
Summer,15,0.3647,0.3647,0.0,0.0,0.0,0.612,0.0,0.0,0.0,0.0,0.3647,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654,0.0796,0.0,0.0,0.0,0.0,0.1449,0.0073,0.0122,0.0,0.0,0.0,0.0,0.0195
Summer,16,0.3796,0.3796,0.0,0.0,0.0,0.6864,0.0,0.0,0.0,0.0,0.3796,0.6864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681,0.0892,0.0,0.0,0.0,0.0,0.1573,0.0076,0.0137,0.0,0.0,0.0,0.0,0.0213
