season,hour,electricity_demand_kwh,total_electricity_consumption_kwh,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,electric_boiler_electric_demand_kwh,thermal_demand_kwh,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,grid_supply_kwh,gas_boiler_heat_kwh,electric_boiler_heat_kwh,bess_soc_kwh,bess_charge_kwh,bess_discharge_kwh,tess_soc_kwh,tess_charge_kwh,tess_discharge_kwh,cost_pv_capex_hour_eur,cost_pv_om_eur,cost_grid_eur,cost_gas_boiler_eur,cost_electric_boiler_eur,cost_heat_pump_eur,cost_bess_eur,cost_tess_eur,total_cost_hour_eur,emissions_grid_kg,emissions_gas_boiler_kg,emissions_electric_boiler_kg,emissions_heat_pump_kg,emissions_bess_kg,emissions_tess_kg,total_emissions_hour_kg
Winter,1,0.2656,1.5404,0.0,0.0,1.2747,1.262,0.0,0.0,0.0,7.53,0.0,0.0,1.262,0.0099,0.0,1.5404,0.0,0.0,0.0,0.0719,0.0,0.0,0.0,0.1893,0.0,0.0007,0.0,0.2619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,2,0.2596,1.5812,0.0,0.0,1.3215,1.3083,0.0,0.0,0.0,6.99,1.5718,0.0,1.3083,0.0,0.0,0.0094,0.0,0.0,0.0,0.0719,0.0,0.2818,0.0,0.1963,0.0,0.0007,0.0,0.5506,0.0314,0.0,0.0,0.0,0.0,0.0,0.0314
Winter,3,0.2725,1.7569,0.0,0.0,1.4844,1.4696,0.0,0.0,0.0,6.5,1.7569,0.0,1.4696,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.315,0.0,0.2204,0.0,0.0007,0.0,0.608,0.0351,0.0,0.0,0.0,0.0,0.0,0.0351
Winter,4,0.2517,2.2353,0.0,0.0,1.9836,1.9638,0.0,0.0,0.0,6.09,2.2353,0.0,1.9638,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.4008,0.0,0.2946,0.0,0.0007,0.0,0.7679,0.0447,0.0,0.0,0.0,0.0,0.0,0.0447
Winter,5,0.2432,3.2521,0.0,0.0,3.0089,2.9788,0.0,0.0,0.0,5.76,3.2521,0.0,2.9788,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.5831,0.0,0.4468,0.0,0.0007,0.0,1.1025,0.065,0.0,0.0,0.0,0.0,0.0,0.065
Winter,6,0.2479,4.0088,0.0,0.0,3.7609,3.7233,0.0,0.0,0.0,5.41,4.0088,0.0,3.7233,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.7188,0.0,0.5585,0.0,0.0007,0.0,1.3498,0.0802,0.0,0.0,0.0,0.0,0.0,0.0802
Winter,7,0.233,3.8127,0.0,0.0,3.5797,3.5439,0.0,0.0,0.0,5.12,3.8127,0.0,3.5439,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.6836,0.0,0.5316,0.0,0.0007,0.0,1.2878,0.0763,0.0,0.0,0.0,0.0,0.0,0.0763
Winter,8,0.2541,3.4415,0.0,0.0,3.1875,3.1556,0.0,0.0,0.0,5.53,3.4415,0.0,3.1556,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.6171,0.0,0.4733,0.0,0.0007,0.0,1.163,0.0688,0.0,0.0,0.0,0.0,0.0,0.0688
Winter,9,0.38,3.3438,0.0,0.0,2.9638,2.9342,0.4512,0.0,0.0,7.94,2.8926,0.0,2.9342,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0045,0.5187,0.0,0.4401,0.0,0.0007,0.0,1.0358,0.0579,0.0,0.0,0.0,0.0,0.0,0.0579
Winter,10,0.5358,3.3064,0.0,0.0,2.7706,2.7429,1.2694,0.0,0.0,13.25,2.037,0.0,2.7429,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0127,0.3652,0.0,0.4114,0.0,0.0007,0.0,0.8619,0.0407,0.0,0.0,0.0,0.0,0.0,0.0407
Winter,11,0.5568,3.1909,0.0,0.0,2.634,2.6077,0.5887,0.0,0.0,9.51,2.6022,0.0,2.6077,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0059,0.4666,0.0,0.3911,0.0,0.0007,0.0,0.9362,0.052,0.0,0.0,0.0,0.0,0.0,0.052
Winter,12,0.6546,3.2395,0.0,0.0,2.5849,2.5591,0.566,0.0,0.0,10.17,2.6736,0.0,2.5591,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0057,0.4794,0.0,0.3839,0.0,0.0007,0.0,0.9414,0.0535,0.0,0.0,0.0,0.0,0.0,0.0535
Winter,13,0.6845,3.1899,0.0,0.0,2.5055,2.4804,1.6625,0.0,0.0,17.86,1.5274,0.0,2.4804,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0166,0.2739,0.0,0.3721,0.0,0.0007,0.0,0.7351,0.0305,0.0,0.0,0.0,0.0,0.0,0.0305
Winter,14,0.6279,3.1677,0.0,0.0,2.5397,2.5143,0.3537,0.0,0.0,9.76,2.8139,0.0,2.5143,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0035,0.5045,0.0,0.3771,0.0,0.0007,0.0,0.9578,0.0563,0.0,0.0,0.0,0.0,0.0,0.0563
Winter,15,0.5498,3.1584,0.0,0.0,2.6085,2.5824,0.2286,0.0,0.0,9.2,2.9297,0.0,2.5824,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0023,0.5253,0.0,0.3874,0.0,0.0007,0.0,0.9875,0.0586,0.0,0.0,0.0,0.0,0.0,0.0586
Winter,16,0.4145,3.1427,0.0,0.0,2.7283,2.701,0.1927,0.0,0.0,8.91,2.95,0.0,2.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0019,0.5289,0.0,0.4052,0.0,0.0007,0.0,1.0086,0.059,0.0,0.0,0.0,0.0,0.0,0.059
Winter,17,0.4143,3.3242,0.0,0.0,2.9098,2.8807,0.0,0.0,0.0,7.32,3.3242,0.0,2.8807,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.596,0.0,0.4321,0.0,0.0007,0.0,1.1007,0.0665,0.0,0.0,0.0,0.0,0.0,0.0665
Winter,18,0.5512,3.547,0.0,0.0,2.9959,2.9659,0.0,0.0,0.0,6.86,3.547,0.0,2.9659,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.636,0.0,0.4449,0.0,0.0007,0.0,1.1534,0.0709,0.0,0.0,0.0,0.0,0.0,0.0709
Winter,19,0.715,3.7682,0.0,0.0,3.0532,3.0227,0.0,0.0,0.0,6.7,3.7682,0.0,3.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.6756,0.0,0.4534,0.0,0.0007,0.0,1.2016,0.0754,0.0,0.0,0.0,0.0,0.0,0.0754
Winter,20,0.7474,3.7086,0.0,0.0,2.9612,2.9316,0.0,0.0,0.0,6.7,3.7086,0.0,2.9316,0.0,0.0,0.0,0.0,0.0,0.0,0.0719,0.0,0.6649,0.0,0.4397,0.0,0.0007,0.0,1.1772,0.0742,0.0,0.0,0.0,0.0,0.0,0.0742
