season,hour,electricity_demand_kwh,total_electricity_consumption_kwh,heat_pump_heat_kwh,heat_pump_electric_demand_kwh,electric_boiler_electric_demand_kwh,thermal_demand_kwh,pv_output_kwh,grid_export_kwh,grid_revenue_eur,pv_cell_temp_c,grid_supply_kwh,gas_boiler_heat_kwh,electric_boiler_heat_kwh,bess_soc_kwh,bess_charge_kwh,bess_discharge_kwh,tess_soc_kwh,tess_charge_kwh,tess_discharge_kwh,cost_pv_capex_hour_eur,cost_pv_om_eur,cost_grid_eur,cost_gas_boiler_eur,cost_electric_boiler_eur,cost_heat_pump_eur,cost_bess_eur,cost_tess_eur,total_cost_hour_eur,emissions_grid_kg,emissions_gas_boiler_kg,emissions_electric_boiler_kg,emissions_heat_pump_kg,emissions_bess_kg,emissions_tess_kg,total_emissions_hour_kg
Winter,1,0.2656,0.2656,0.0,0.0,0.0,1.262,0.0,0.0,0.0,7.53,0.0,0.0,0.0,1.3589,0.0,0.2656,9.841,0.0,1.4022,0.0431,0.0,0.0,0.0,0.0,0.0,0.0007,0.0351,0.0789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,2,0.2596,0.2596,0.0,0.0,0.0,1.3083,0.0,0.0,0.0,6.99,0.0,0.0,0.0,1.0841,0.0,0.2596,8.3814,0.0,1.4537,0.0431,0.0,0.0,0.0,0.0,0.0,0.0007,0.0363,0.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,3,0.2725,0.2725,0.0,0.0,0.0,1.4696,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.7958,0.0,0.2725,6.7435,0.0,1.6329,0.0431,0.0,0.0,0.0,0.0,0.0,0.0007,0.0408,0.0846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,4,0.2517,0.2517,0.0,0.0,0.0,1.9638,0.0,0.0,0.0,6.09,0.0,0.0,0.0,0.5294,0.0,0.2517,4.5575,0.0,2.1819,0.0431,0.0,0.0,0.0,0.0,0.0,0.0007,0.0545,0.0984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,5,0.2432,0.2432,0.0,0.0,0.0,2.9788,0.0,0.0,0.0,5.76,0.0,0.0,0.0,0.272,0.0,0.2432,1.245,0.0,3.3098,0.0431,0.0,0.0,0.0,0.0,0.0,0.0007,0.0827,0.1266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,6,0.2479,2.3385,5.2055,2.0906,0.0,3.7233,0.0,0.0,0.0,5.41,2.0814,0.0,0.0,0.0,0.0,0.257,2.602,2.6028,1.245,0.0431,0.0,0.3732,0.0,0.0,0.7027,0.0007,0.0311,1.1509,0.0416,0.0,0.0,0.0,0.0,0.0,0.0416
Winter,7,0.233,1.1947,2.4042,0.9617,0.0,3.5439,0.0,0.0,0.0,5.12,1.1947,0.0,0.0,0.0,0.0,0.0,1.2005,1.2021,2.602,0.0431,0.0,0.2142,0.0,0.0,0.3246,0.0007,0.0651,0.6476,0.0239,0.0,0.0,0.0,0.0,0.0,0.0239
Winter,8,0.2541,1.9075,4.1502,1.6535,0.0,3.1556,0.0,0.0,0.0,5.53,1.9075,0.0,0.0,0.0,0.0,0.0,2.0744,2.0751,1.2005,0.0431,0.0,0.342,0.0,0.0,0.5603,0.0007,0.03,0.9761,0.0382,0.0,0.0,0.0,0.0,0.0,0.0382
Winter,9,0.38,1.2237,2.1344,0.8437,0.0,2.9342,0.2707,0.0,0.0,7.94,0.953,0.0,0.0,0.0,0.0,0.0,1.066,1.0672,2.0744,0.0431,0.0027,0.1709,0.0,0.0,0.2882,0.0007,0.0519,0.5574,0.0191,0.0,0.0,0.0,0.0,0.0,0.0191
Winter,10,0.5358,1.9237,3.5671,1.388,0.0,2.7429,0.7616,0.0,0.0,13.25,1.1621,0.0,0.0,0.0,0.0,0.0,1.7829,1.7835,1.066,0.0431,0.0076,0.2084,0.0,0.0,0.4816,0.0007,0.0266,0.768,0.0232,0.0,0.0,0.0,0.0,0.0,0.0232
Winter,11,0.5568,1.3284,2.0061,0.7716,0.0,2.6077,0.3532,0.0,0.0,9.51,0.9752,0.0,0.0,0.0,0.0,0.0,1.002,1.0031,1.7829,0.0431,0.0035,0.1749,0.0,0.0,0.2708,0.0007,0.0446,0.5376,0.0195,0.0,0.0,0.0,0.0,0.0,0.0195
Winter,12,0.6546,1.9197,3.3146,1.2651,0.0,2.5591,0.3396,0.0,0.0,10.17,1.5801,0.0,0.0,0.0,0.0,0.0,1.6567,1.6573,1.002,0.0431,0.0034,0.2833,0.0,0.0,0.4475,0.0007,0.025,0.803,0.0316,0.0,0.0,0.0,0.0,0.0,0.0316
Winter,13,0.6845,1.4368,1.9788,0.7524,0.0,2.4804,0.9975,0.0,0.0,17.86,0.4393,0.0,0.0,0.0,0.0,0.0,0.9884,0.9894,1.6567,0.0431,0.01,0.0788,0.0,0.0,0.2671,0.0007,0.0414,0.4411,0.0088,0.0,0.0,0.0,0.0,0.0,0.0088
Winter,14,0.6279,1.8635,3.2495,1.2356,0.0,2.5143,0.2122,0.0,0.0,9.76,1.6513,0.0,0.0,0.0,0.0,0.0,1.6242,1.6248,0.9884,0.0431,0.0021,0.2961,0.0,0.0,0.4387,0.0007,0.0247,0.8054,0.033,0.0,0.0,0.0,0.0,0.0,0.033
Winter,15,0.5498,1.4053,2.2413,0.8555,0.0,2.5824,0.1372,0.0,0.0,9.2,1.2681,0.0,0.0,0.0,0.0,0.0,1.1197,1.1207,1.6242,0.0431,0.0014,0.2274,0.0,0.0,0.3026,0.0007,0.0406,0.6157,0.0254,0.0,0.0,0.0,0.0,0.0,0.0254
Winter,16,0.4145,1.722,3.3866,1.3076,0.0,2.701,0.1156,0.0,0.0,8.91,1.6064,0.0,0.0,0.0,0.0,0.0,1.6926,1.6933,1.1197,0.0431,0.0012,0.288,0.0,0.0,0.4572,0.0007,0.028,0.8182,0.0321,0.0,0.0,0.0,0.0,0.0,0.0321
Winter,17,0.4143,1.4748,2.7148,1.0605,0.0,2.8807,0.0,0.0,0.0,7.32,1.4748,0.0,0.0,0.0,0.0,0.0,1.3564,1.3574,1.6926,0.0431,0.0,0.2644,0.0,0.0,0.3665,0.0007,0.0423,0.717,0.0295,0.0,0.0,0.0,0.0,0.0,0.0295
Winter,18,0.5512,1.9253,3.4903,1.3742,0.0,2.9659,0.0,0.0,0.0,6.86,1.9253,0.0,0.0,0.0,0.0,0.0,1.7444,1.7452,1.3564,0.0431,0.0,0.3452,0.0,0.0,0.4712,0.0007,0.0339,0.8941,0.0385,0.0,0.0,0.0,0.0,0.0,0.0385
Winter,19,0.715,1.8634,2.9055,1.1484,0.0,3.0227,0.0,0.0,0.0,6.7,1.8634,0.0,0.0,0.0,0.0,0.0,1.4517,1.4527,1.7444,0.0431,0.0,0.3341,0.0,0.0,0.3922,0.0007,0.0436,0.8138,0.0373,0.0,0.0,0.0,0.0,0.0,0.0373
Winter,20,0.7474,2.0422,3.2501,1.2949,0.0,2.9316,0.0,0.0,0.0,6.7,2.0422,0.0,0.0,0.0,0.0,0.0,1.6242,1.6251,1.4517,0.0431,0.0,0.3662,0.0,0.0,0.4388,0.0007,0.0363,0.885,0.0408,0.0,0.0,0.0,0.0,0.0,0.0408
Winter,21,0.5788,1.4776,2.247,0.8988,0.0,2.5852,0.0,0.0,0.0,6.56,1.4776,0.0,0.0,0.0,0.0,0.0,1.1225,1.1235,1.6242,0.0431,0.0,0.2649,0.0,0.0,0.3033,0.0007,0.0406,0.6527,0.0296,0.0,0.0,0.0,0.0,0.0,0.0296
Winter,22,0.5416,1.2115,1.668,0.6699,0.0,1.8442,0.0,0.0,0.0,6.29,1.2115,0.0,0.0,0.0,0.0,0.0,0.8333,0.834,1.1225,0.0431,0.0,0.2172,0.0,0.0,0.2252,0.0007,0.0281,0.5143,0.0242,0.0,0.0,0.0,0.0,0.0,0.0242
Winter,23,0.42,0.8852,1.1537,0.4652,0.0,1.3268,0.0,0.0,0.0,5.88,0.8852,0.0,0.0,0.0,0.0,0.0,0.5763,0.5768,0.8333,0.0431,0.0,0.1587,0.0,0.0,0.1557,0.0007,0.0208,0.3791,0.0177,0.0,0.0,0.0,0.0,0.0,0.0177
Winter,24,0.325,0.9288,1.4914,0.6038,0.0,1.2644,0.0,0.0,0.0,5.51,0.9288,0.0,0.0,0.0,0.0,0.0,0.7454,0.7457,0.5763,0.0431,0.0,0.1665,0.0,0.0,0.2013,0.0007,0.0144,0.4261,0.0186,0.0,0.0,0.0,0.0,0.0,0.0186
Spring,1,0.2978,0.2978,0.0,0.0,0.0,0.4567,0.0,0.0,0.0,7.47,0.0,0.0,0.0,1.3249,0.0,0.2978,10.7358,0.0,0.5074,0.0431,0.0,0.0,0.0,0.0,0.0,0.0007,0.0127,0.0565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring,2,0.254,0.254,0.0,0.0,0.0,0.5371,0.0,0.0,0.0,7.07,0.0,0.0,0.0,1.056,0.0,0.254,10.1326,0.0,0.5968,0.0431,0.0,0.0,0.0,0.0,0.0,0.0007,0.0149,0.0587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring,3,0.2357,0.2357,0.0,0.0,0.0,0.8498,0.0,0.0,0.0,6.56,0.0,0.0,0.0,0.8066,0.0,0.2357,9.1823,0.0,0.9443,0.0431,0.0,0.0,0.0,0.0,0.0,0.0007,0.0236,0.0674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spring,4,0.2091,0.2091,0.0,0.0,0.0,1.6218,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.5852,0.0,0.2091,7.3748,0.0,1.8019,0.0431,0.0,0.0,0.0,0.0,0.0,0.0007,0.045,0.0889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
