season,hour,electricity_demand_kwh,thermal_demand_kwh,utility_grid_supply_kwh,gas_boiler_heat_kwh,cost_utility_grid_eur,cost_gas_boiler_eur,emissions_utility_grid_kg,emissions_gas_boiler_kg,total_cost_hour_eur,total_emissions_hour_kg
Winter,1,0.171,15.144,0.171,15.144,0.0307,1.9687,0.0089,0.3029,1.9994,0.3118
Winter,2,0.155,15.7,0.155,15.7,0.0278,2.041,0.0081,0.314,2.0688,0.3221
Winter,3,0.158,17.635,0.158,17.635,0.0283,2.2926,0.0082,0.3527,2.3209,0.3609
Winter,4,0.15,23.565,0.15,23.565,0.0269,3.0635,0.0078,0.4713,3.0903,0.4791
Winter,5,0.151,35.746,0.151,35.746,0.0271,4.647,0.0079,0.7149,4.6741,0.7228
Winter,6,0.151,44.679,0.151,44.679,0.0271,5.8083,0.0079,0.8936,5.8353,0.9014
Winter,7,0.169,42.527,0.169,42.527,0.0303,5.5285,0.0088,0.8505,5.5588,0.8593
Winter,8,0.186,37.867,0.186,37.867,0.0333,4.9227,0.0097,0.7573,4.9561,0.767
Winter,9,0.251,35.21,0.251,35.21,0.045,4.5773,0.0131,0.7042,4.6223,0.7173
Winter,10,0.302,32.915,0.302,32.915,0.0541,4.279,0.0157,0.6583,4.3331,0.674
Winter,11,0.336,31.292,0.336,31.292,0.0602,4.068,0.0175,0.6258,4.1282,0.6433
Winter,12,0.43,30.709,0.43,30.709,0.0771,3.9922,0.0224,0.6142,4.0693,0.6365
Winter,13,0.313,29.765,0.313,29.765,0.0561,3.8695,0.0163,0.5953,3.9256,0.6116
Winter,14,0.309,30.172,0.309,30.172,0.0554,3.9224,0.0161,0.6034,3.9778,0.6195
Winter,15,0.269,30.989,0.269,30.989,0.0482,4.0286,0.014,0.6198,4.0768,0.6338
Winter,16,0.34,32.412,0.34,32.412,0.061,4.2136,0.0177,0.6482,4.2745,0.6659
Winter,17,0.272,34.569,0.272,34.569,0.0488,4.494,0.0141,0.6914,4.5427,0.7055
Winter,18,0.387,35.591,0.387,35.591,0.0694,4.6268,0.0201,0.7118,4.6962,0.7319
Winter,19,0.478,36.272,0.478,36.272,0.0857,4.7154,0.0249,0.7254,4.8011,0.7503
Winter,20,0.471,35.179,0.471,35.179,0.0845,4.5733,0.0245,0.7036,4.6577,0.7281
Winter,21,0.483,31.023,0.483,31.023,0.0866,4.033,0.0251,0.6205,4.1196,0.6456
Winter,22,0.331,22.131,0.331,22.131,0.0593,2.877,0.0172,0.4426,2.9364,0.4598
Winter,23,0.261,15.922,0.261,15.922,0.0468,2.0699,0.0136,0.3184,2.1167,0.332
Winter,24,0.215,15.173,0.215,15.173,0.0385,1.9725,0.0112,0.3035,2.011,0.3146
Spring,1,0.158,5.48,0.158,5.48,0.0283,0.7124,0.0082,0.1096,0.7407,0.1178
Spring,2,0.136,6.445,0.136,6.445,0.0244,0.8379,0.0071,0.1289,0.8622,0.136
Spring,3,0.132,10.198,0.132,10.198,0.0237,1.3257,0.0069,0.204,1.3494,0.2108
Spring,4,0.144,19.461,0.144,19.461,0.0258,2.5299,0.0075,0.3892,2.5557,0.3967
Spring,5,0.14,23.417,0.14,23.417,0.0251,3.0442,0.0073,0.4683,3.0693,0.4756
Spring,6,0.148,22.765,0.148,22.765,0.0265,2.9595,0.0077,0.4553,2.986,0.463
Spring,7,0.174,18.542,0.174,18.542,0.0312,2.4105,0.009,0.3708,2.4417,0.3799
Spring,8,0.184,17.77,0.184,17.77,0.033,2.3101,0.0096,0.3554,2.3431,0.365
Spring,9,0.244,16.015,0.244,16.015,0.0437,2.0819,0.0127,0.3203,2.1257,0.333
Spring,10,0.234,15.038,0.234,15.038,0.042,1.9549,0.0122,0.3008,1.9969,0.3129
Spring,11,0.28,14.202,0.28,14.202,0.0502,1.8463,0.0146,0.284,1.8965,0.2986
Spring,12,0.324,12.747,0.324,12.747,0.0581,1.6571,0.0168,0.2549,1.7152,0.2718
Spring,13,0.308,12.295,0.308,12.295,0.0552,1.5983,0.016,0.2459,1.6536,0.2619
Spring,14,0.268,11.899,0.268,11.899,0.0481,1.5469,0.0139,0.238,1.5949,0.2519
Spring,15,0.27,12.51,0.27,12.51,0.0484,1.6263,0.014,0.2502,1.6747,0.2642
Spring,16,0.246,13.498,0.246,13.498,0.0441,1.7547,0.0128,0.27,1.7988,0.2828
Spring,17,0.248,14.307,0.248,14.307,0.0445,1.8599,0.0129,0.2861,1.9044,0.299
Spring,18,0.218,15.672,0.218,15.672,0.0391,2.0374,0.0113,0.3134,2.0764,0.3248
Spring,19,0.316,15.859,0.316,15.859,0.0567,2.0617,0.0164,0.3172,2.1183,0.3336
Spring,20,0.29,14.022,0.29,14.022,0.052,1.8229,0.0151,0.2804,1.8749,0.2955
Spring,21,0.28,10.439,0.28,10.439,0.0502,1.3571,0.0146,0.2088,1.4073,0.2233
Spring,22,0.264,6.129,0.264,6.129,0.0473,0.7968,0.0137,0.1226,0.8441,0.1363
Spring,23,0.238,4.774,0.238,4.774,0.0427,0.6206,0.0124,0.0955,0.6633,0.1079
Spring,24,0.188,5.362,0.188,5.362,0.0337,0.6971,0.0098,0.1072,0.7308,0.117
Summer,1,0.18,3.055,0.18,3.055,0.0323,0.3972,0.0094,0.0611,0.4294,0.0705
Summer,2,0.15,3.487,0.15,3.487,0.0269,0.4533,0.0078,0.0697,0.4802,0.0775
Summer,3,0.146,5.826,0.146,5.826,0.0262,0.7574,0.0076,0.1165,0.7836,0.1241
Summer,4,0.142,12.013,0.142,12.013,0.0255,1.5617,0.0074,0.2403,1.5872,0.2476
Summer,5,0.162,15.424,0.162,15.424,0.029,2.0051,0.0084,0.3085,2.0342,0.3169
Summer,6,0.164,14.56,0.164,14.56,0.0294,1.8928,0.0085,0.2912,1.9222,0.2997
Summer,7,0.152,11.381,0.152,11.381,0.0273,1.4795,0.0079,0.2276,1.5068,0.2355
Summer,8,0.192,10.958,0.192,10.958,0.0344,1.4245,0.01,0.2192,1.459,0.2291
Summer,9,0.21,10.138,0.21,10.138,0.0377,1.3179,0.0109,0.2028,1.3556,0.2137
Summer,10,0.214,9.893,0.214,9.893,0.0384,1.2861,0.0111,0.1979,1.3245,0.209
Summer,11,0.194,9.499,0.194,9.499,0.0348,1.2349,0.0101,0.19,1.2697,0.2001
Summer,12,0.248,7.93,0.248,7.93,0.0445,1.0309,0.0129,0.1586,1.0754,0.1715
Summer,13,0.252,7.57,0.252,7.57,0.0452,0.9841,0.0131,0.1514,1.0293,0.1645
Summer,14,0.238,6.943,0.238,6.943,0.0427,0.9026,0.0124,0.1389,0.9453,0.1512
Summer,15,0.182,7.344,0.182,7.344,0.0326,0.9547,0.0095,0.1469,0.9874,0.1563
Summer,16,0.196,8.237,0.196,8.237,0.0351,1.0708,0.0102,0.1647,1.106,0.1749
Summer,17,0.212,8.328,0.212,8.328,0.038,1.0826,0.011,0.1666,1.1207,0.1776
Summer,18,0.196,8.987,0.196,8.987,0.0351,1.1683,0.0102,0.1797,1.2035,0.1899
Summer,19,0.25,9.38,0.25,9.38,0.0448,1.2194,0.013,0.1876,1.2642,0.2006
Summer,20,0.27,8.339,0.27,8.339,0.0484,1.0841,0.014,0.1668,1.1325,0.1808
Summer,21,0.304,6.215,0.304,6.215,0.0545,0.808,0.0158,0.1243,0.8625,0.1401
Summer,22,0.262,3.696,0.262,3.696,0.047,0.4805,0.0136,0.0739,0.5275,0.0875
Summer,23,0.234,2.503,0.234,2.503,0.042,0.3254,0.0122,0.0501,0.3673,0.0622
Summer,24,0.166,2.922,0.166,2.922,0.0298,0.3799,0.0086,0.0584,0.4096,0.0671
Autumn,1,0.152,16.681,0.152,16.681,0.0273,2.1685,0.0079,0.3336,2.1958,0.3415
Autumn,2,0.144,18.667,0.144,18.667,0.0258,2.4267,0.0075,0.3733,2.4525,0.3808
Autumn,3,0.138,24.809,0.138,24.809,0.0247,3.2252,0.0072,0.4962,3.2499,0.5034
