season,hour,electricity_demand_kwh,total_electricity_consumption_kwh,electric_boiler_electric_demand_kwh,thermal_demand_kwh,pv_output_kwh,pv_curtailed_kwh,pv_cell_temp_c,grid_supply_kwh,gas_boiler_heat_kwh,electric_boiler_heat_kwh,cost_pv_capex_hour_eur,cost_pv_om_eur,cost_grid_eur,cost_gas_boiler_eur,cost_electric_boiler_eur,total_cost_hour_eur,emissions_grid_kg,emissions_gas_boiler_kg,emissions_electric_boiler_kg,total_emissions_hour_kg
Winter,1,0.2656,0.2656,0.0,1.262,0.0,0.0,7.53,0.2656,1.262,0.0,0.0431,0.0,0.0476,0.1641,0.0,0.2548,0.0053,0.0252,0.0,0.0306
Winter,2,0.2596,0.2596,0.0,1.3083,0.0,0.0,6.99,0.2596,1.3083,0.0,0.0431,0.0,0.0465,0.1701,0.0,0.2598,0.0052,0.0262,0.0,0.0314
Winter,3,0.2725,0.2725,0.0,1.4696,0.0,0.0,6.5,0.2725,1.4696,0.0,0.0431,0.0,0.0489,0.191,0.0,0.283,0.0054,0.0294,0.0,0.0348
Winter,4,0.2517,0.2517,0.0,1.9638,0.0,0.0,6.09,0.2517,1.9638,0.0,0.0431,0.0,0.0451,0.2553,0.0,0.3435,0.005,0.0393,0.0,0.0443
Winter,5,0.2432,0.2432,0.0,2.9788,0.0,0.0,5.76,0.2432,2.9788,0.0,0.0431,0.0,0.0436,0.3872,0.0,0.474,0.0049,0.0596,0.0,0.0644
Winter,6,0.2479,0.2479,0.0,3.7233,0.0,0.0,5.41,0.2479,3.7233,0.0,0.0431,0.0,0.0445,0.484,0.0,0.5716,0.005,0.0745,0.0,0.0794
Winter,7,0.233,0.233,0.0,3.5439,0.0,0.0,5.12,0.233,3.5439,0.0,0.0431,0.0,0.0418,0.4607,0.0,0.5456,0.0047,0.0709,0.0,0.0755
Winter,8,0.2541,0.2541,0.0,3.1556,0.0,0.0,5.53,0.2541,3.1556,0.0,0.0431,0.0,0.0456,0.4102,0.0,0.4989,0.0051,0.0631,0.0,0.0682
Winter,9,0.38,0.38,0.0,2.9342,0.2707,0.0,7.94,0.1093,2.9342,0.0,0.0431,0.0027,0.0196,0.3814,0.0,0.4469,0.0022,0.0587,0.0,0.0609
Winter,10,0.5358,0.5358,0.0,2.7429,0.7616,0.2259,13.25,0.0,2.7429,0.0,0.0431,0.0076,0.0,0.3566,0.0,0.4073,0.0,0.0549,0.0,0.0549
Winter,11,0.5568,0.5568,0.0,2.6077,0.3532,0.0,9.51,0.2036,2.6077,0.0,0.0431,0.0035,0.0365,0.339,0.0,0.4222,0.0041,0.0522,0.0,0.0562
Winter,12,0.6546,0.6546,0.0,2.5591,0.3396,0.0,10.17,0.315,2.5591,0.0,0.0431,0.0034,0.0565,0.3327,0.0,0.4357,0.0063,0.0512,0.0,0.0575
Winter,13,0.6845,0.6845,0.0,2.4804,0.9975,0.3131,17.86,0.0,2.4804,0.0,0.0431,0.01,0.0,0.3225,0.0,0.3756,0.0,0.0496,0.0,0.0496
Winter,14,0.6279,0.6279,0.0,2.5143,0.2122,0.0,9.76,0.4157,2.5143,0.0,0.0431,0.0021,0.0745,0.3269,0.0,0.4466,0.0083,0.0503,0.0,0.0586
Winter,15,0.5498,0.5498,0.0,2.5824,0.1372,0.0,9.2,0.4127,2.5824,0.0,0.0431,0.0014,0.074,0.3357,0.0,0.4542,0.0083,0.0516,0.0,0.0599
Winter,16,0.4145,0.4145,0.0,2.701,0.1156,0.0,8.91,0.2988,2.701,0.0,0.0431,0.0012,0.0536,0.3511,0.0,0.449,0.006,0.054,0.0,0.06
Winter,17,0.4143,0.4143,0.0,2.8807,0.0,0.0,7.32,0.4143,2.8807,0.0,0.0431,0.0,0.0743,0.3745,0.0,0.4919,0.0083,0.0576,0.0,0.0659
Winter,18,0.5512,0.5512,0.0,2.9659,0.0,0.0,6.86,0.5512,2.9659,0.0,0.0431,0.0,0.0988,0.3856,0.0,0.5275,0.011,0.0593,0.0,0.0703
Winter,19,0.715,0.715,0.0,3.0227,0.0,0.0,6.7,0.715,3.0227,0.0,0.0431,0.0,0.1282,0.3929,0.0,0.5643,0.0143,0.0605,0.0,0.0748
Winter,20,0.7474,0.7474,0.0,2.9316,0.0,0.0,6.7,0.7474,2.9316,0.0,0.0431,0.0,0.134,0.3811,0.0,0.5582,0.0149,0.0586,0.0,0.0736
Winter,21,0.5788,0.5788,0.0,2.5852,0.0,0.0,6.56,0.5788,2.5852,0.0,0.0431,0.0,0.1038,0.3361,0.0,0.483,0.0116,0.0517,0.0,0.0633
Winter,22,0.5416,0.5416,0.0,1.8442,0.0,0.0,6.29,0.5416,1.8442,0.0,0.0431,0.0,0.0971,0.2398,0.0,0.38,0.0108,0.0369,0.0,0.0477
Winter,23,0.42,0.42,0.0,1.3268,0.0,0.0,5.88,0.42,1.3268,0.0,0.0431,0.0,0.0753,0.1725,0.0,0.2909,0.0084,0.0265,0.0,0.0349
Winter,24,0.325,0.325,0.0,1.2644,0.0,0.0,5.51,0.325,1.2644,0.0,0.0431,0.0,0.0583,0.1644,0.0,0.2658,0.0065,0.0253,0.0,0.0318
Spring,1,0.2978,0.2978,0.0,0.4567,0.0,0.0,7.47,0.2978,0.4567,0.0,0.0431,0.0,0.0534,0.0594,0.0,0.1559,0.006,0.0091,0.0,0.0151
Spring,2,0.254,0.254,0.0,0.5371,0.0,0.0,7.07,0.254,0.5371,0.0,0.0431,0.0,0.0455,0.0698,0.0,0.1585,0.0051,0.0107,0.0,0.0158
Spring,3,0.2357,0.2357,0.0,0.8498,0.0,0.0,6.56,0.2357,0.8498,0.0,0.0431,0.0,0.0423,0.1105,0.0,0.1959,0.0047,0.017,0.0,0.0217
Spring,4,0.2091,0.2091,0.0,1.6218,0.0,0.0,6.36,0.2091,1.6218,0.0,0.0431,0.0,0.0375,0.2108,0.0,0.2915,0.0042,0.0324,0.0,0.0366
Spring,5,0.2209,0.2209,0.0,1.9514,0.0,0.0,6.16,0.2209,1.9514,0.0,0.0431,0.0,0.0396,0.2537,0.0,0.3364,0.0044,0.039,0.0,0.0434
Spring,6,0.2318,0.2318,0.0,1.8971,0.0,0.0,5.96,0.2318,1.8971,0.0,0.0431,0.0,0.0416,0.2466,0.0,0.3313,0.0046,0.0379,0.0,0.0426
Spring,7,0.3045,0.3045,0.0,1.5452,0.1833,0.0,8.52,0.1212,1.5452,0.0,0.0431,0.0018,0.0217,0.2009,0.0,0.2676,0.0024,0.0309,0.0,0.0333
Spring,8,0.3191,0.3191,0.0,1.4808,0.5368,0.2176,13.09,0.0,1.4808,0.0,0.0431,0.0054,0.0,0.1925,0.0,0.241,0.0,0.0296,0.0,0.0296
Spring,9,0.3513,0.3513,0.0,1.3346,0.5316,0.1803,13.5,0.0,1.3346,0.0,0.0431,0.0053,0.0,0.1735,0.0,0.2219,0.0,0.0267,0.0,0.0267
Spring,10,0.4728,0.4728,0.0,1.2532,0.7492,0.2764,16.68,0.0,1.2532,0.0,0.0431,0.0075,0.0,0.1629,0.0,0.2135,0.0,0.0251,0.0,0.0251
Spring,11,0.5174,0.5174,0.0,1.1835,0.5696,0.0523,15.72,0.0,1.1835,0.0,0.0431,0.0057,0.0,0.1539,0.0,0.2027,0.0,0.0237,0.0,0.0237
Spring,12,0.5513,0.5513,0.0,1.0622,0.5371,0.0,16.29,0.0142,1.0622,0.0,0.0431,0.0054,0.0025,0.1381,0.0,0.1891,0.0003,0.0212,0.0,0.0215
Spring,13,0.5918,0.5918,0.0,1.0246,2.307,1.7152,37.43,0.0,1.0246,0.0,0.0431,0.0231,0.0,0.1332,0.0,0.1994,0.0,0.0205,0.0,0.0205
Spring,14,0.5417,0.5417,0.0,0.9916,1.6136,1.0718,30.56,0.0,0.9916,0.0,0.0431,0.0161,0.0,0.1289,0.0,0.1882,0.0,0.0198,0.0,0.0198
Spring,15,0.4205,0.4205,0.0,1.0425,2.0458,1.6253,36.46,0.0,1.0425,0.0,0.0431,0.0205,0.0,0.1355,0.0,0.1991,0.0,0.0209,0.0,0.0209
Spring,16,0.3699,0.3699,0.0,1.1248,0.2431,0.0,16.86,0.1269,1.1248,0.0,0.0431,0.0024,0.0227,0.1462,0.0,0.2145,0.0025,0.0225,0.0,0.025
Spring,17,0.3555,0.3555,0.0,1.1923,0.188,0.0,16.03,0.1676,1.1923,0.0,0.0431,0.0019,0.03,0.155,0.0,0.23,0.0034,0.0238,0.0,0.0272
Spring,18,0.358,0.358,0.0,1.306,0.4762,0.1183,18.63,0.0,1.306,0.0,0.0431,0.0048,0.0,0.1698,0.0,0.2177,0.0,0.0261,0.0,0.0261
Spring,19,0.553,0.553,0.0,1.3216,0.0428,0.0,12.81,0.5102,1.3216,0.0,0.0431,0.0004,0.0915,0.1718,0.0,0.3068,0.0102,0.0264,0.0,0.0366
Spring,20,0.5203,0.5203,0.0,1.1685,0.0,0.0,10.57,0.5203,1.1685,0.0,0.0431,0.0,0.0933,0.1519,0.0,0.2883,0.0104,0.0234,0.0,0.0338
Spring,21,0.5521,0.5521,0.0,0.8699,0.0,0.0,9.1,0.5521,0.8699,0.0,0.0431,0.0,0.099,0.1131,0.0,0.2552,0.011,0.0174,0.0,0.0284
Spring,22,0.4349,0.4349,0.0,0.5108,0.0,0.0,7.76,0.4349,0.5108,0.0,0.0431,0.0,0.078,0.0664,0.0,0.1875,0.0087,0.0102,0.0,0.0189
Spring,23,0.3891,0.3891,0.0,0.3978,0.0,0.0,6.62,0.3891,0.3978,0.0,0.0431,0.0,0.0698,0.0517,0.0,0.1646,0.0078,0.008,0.0,0.0157
Spring,24,0.3405,0.3405,0.0,0.4468,0.0,0.0,5.61,0.3405,0.4468,0.0,0.0431,0.0,0.0611,0.0581,0.0,0.1623,0.0068,0.0089,0.0,0.0157
Summer,1,0.2838,0.2838,0.0,0.2546,0.0,0.0,22.67,0.2838,0.2546,0.0,0.0431,0.0,0.0509,0.0331,0.0,0.1271,0.0057,0.0051,0.0,0.0108
Summer,2,0.2655,0.2655,0.0,0.2906,0.0,0.0,21.71,0.2655,0.2906,0.0,0.0431,0.0,0.0476,0.0378,0.0,0.1285,0.0053,0.0058,0.0,0.0111
Summer,3,0.2482,0.2482,0.0,0.4855,0.0,0.0,20.97,0.2482,0.4855,0.0,0.0431,0.0,0.0445,0.0631,0.0,0.1507,0.005,0.0097,0.0,0.0147
Summer,4,0.2505,0.2505,0.0,1.0011,0.0,0.0,20.62,0.2505,1.0011,0.0,0.0431,0.0,0.0449,0.1301,0.0,0.2182,0.005,0.02,0.0,0.025
Summer,5,0.2573,0.2573,0.0,1.2853,0.0,0.0,20.56,0.2573,1.2853,0.0,0.0431,0.0,0.0461,0.1671,0.0,0.2564,0.0051,0.0257,0.0,0.0309
Summer,6,0.2521,0.2521,0.0,1.2133,0.1281,0.0,21.86,0.124,1.2133,0.0,0.0431,0.0013,0.0222,0.1577,0.0,0.2244,0.0025,0.0243,0.0,0.0267
Summer,7,0.2836,0.2836,0.0,0.9484,0.107,0.0,21.93,0.1766,0.9484,0.0,0.0431,0.0011,0.0317,0.1233,0.0,0.1992,0.0035,0.019,0.0,0.0225
Summer,8,0.3194,0.3194,0.0,0.9132,0.3475,0.0281,24.69,0.0,0.9132,0.0,0.0431,0.0035,0.0,0.1187,0.0,0.1653,0.0,0.0183,0.0,0.0183
Summer,9,0.3361,0.3361,0.0,0.8448,0.589,0.2529,27.48,0.0,0.8448,0.0,0.0431,0.0059,0.0,0.1098,0.0,0.1588,0.0,0.0169,0.0,0.0169
Summer,10,0.3036,0.3036,0.0,0.8244,0.4314,0.1278,26.39,0.0,0.8244,0.0,0.0431,0.0043,0.0,0.1072,0.0,0.1546,0.0,0.0165,0.0,0.0165
Summer,11,0.3001,0.3001,0.0,0.7916,1.1049,0.8049,34.3,0.0,0.7916,0.0,0.0431,0.011,0.0,0.1029,0.0,0.1571,0.0,0.0158,0.0,0.0158
Summer,12,0.4579,0.4579,0.0,0.6608,1.8113,1.3533,43.12,0.0,0.6608,0.0,0.0431,0.0181,0.0,0.0859,0.0,0.1471,0.0,0.0132,0.0,0.0132
Summer,13,0.4576,0.4576,0.0,0.6308,2.2143,1.7567,48.26,0.0,0.6308,0.0,0.0431,0.0221,0.0,0.082,0.0,0.1473,0.0,0.0126,0.0,0.0126
Summer,14,0.4906,0.4906,0.0,0.5786,1.6721,1.1815,41.89,0.0,0.5786,0.0,0.0431,0.0167,0.0,0.0752,0.0,0.1351,0.0,0.0116,0.0,0.0116
Summer,15,0.3647,0.3647,0.0,0.612,2.1755,1.8108,47.63,0.0,0.612,0.0,0.0431,0.0218,0.0,0.0796,0.0,0.1444,0.0,0.0122,0.0,0.0122
Summer,16,0.3796,0.3796,0.0,0.6864,1.1415,0.7619,35.7,0.0,0.6864,0.0,0.0431,0.0114,0.0,0.0892,0.0,0.1438,0.0,0.0137,0.0,0.0137
Summer,17,0.4429,0.4429,0.0,0.694,0.8436,0.4007,32.55,0.0,0.694,0.0,0.0431,0.0084,0.0,0.0902,0.0,0.1418,0.0,0.0139,0.0,0.0139
Summer,18,0.3946,0.3946,0.0,0.7489,0.548,0.1534,29.36,0.0,0.7489,0.0,0.0431,0.0055,0.0,0.0974,0.0,0.146,0.0,0.015,0.0,0.015
Summer,19,0.4213,0.4213,0.0,0.7817,0.2203,0.0,25.44,0.201,0.7817,0.0,0.0431,0.0022,0.036,0.1016,0.0,0.183,0.004,0.0156,0.0,0.0197
Summer,20,0.3696,0.3696,0.0,0.6949,0.0688,0.0,22.98,0.3008,0.6949,0.0,0.0431,0.0007,0.0539,0.0903,0.0,0.1881,0.006,0.0139,0.0,0.0199
Summer,21,0.452,0.452,0.0,0.5179,0.0,0.0,21.76,0.452,0.5179,0.0,0.0431,0.0,0.081,0.0673,0.0,0.1915,0.009,0.0104,0.0,0.0194
Summer,22,0.3551,0.3551,0.0,0.308,0.0,0.0,20.68,0.3551,0.308,0.0,0.0431,0.0,0.0637,0.04,0.0,0.1468,0.0071,0.0062,0.0,0.0133
Summer,23,0.2937,0.2937,0.0,0.2086,0.0,0.0,19.46,0.2937,0.2086,0.0,0.0431,0.0,0.0527,0.0271,0.0,0.1229,0.0059,0.0042,0.0,0.01
Summer,24,0.2875,0.2875,0.0,0.2435,0.0,0.0,18.45,0.2875,0.2435,0.0,0.0431,0.0,0.0516,0.0317,0.0,0.1263,0.0058,0.0049,0.0,0.0106
Autumn,1,0.2419,0.2419,0.0,1.3901,0.0,0.0,8.9,0.2419,1.3901,0.0,0.0431,0.0,0.0434,0.1807,0.0,0.2672,0.0048,0.0278,0.0,0.0326
Autumn,2,0.242,0.242,0.0,1.5556,0.0,0.0,8.72,0.242,1.5556,0.0,0.0431,0.0,0.0434,0.2022,0.0,0.2887,0.0048,0.0311,0.0,0.036
Autumn,3,0.2305,0.2305,0.0,2.0674,0.0,0.0,8.42,0.2305,2.0674,0.0,0.0431,0.0,0.0413,0.2688,0.0,0.3532,0.0046,0.0413,0.0,0.046
Autumn,4,0.201,0.201,0.0,3.1543,0.0,0.0,8.32,0.201,3.1543,0.0,0.0431,0.0,0.036,0.4101,0.0,0.4892,0.004,0.0631,0.0,0.0671
Autumn,5,0.2066,0.2066,0.0,3.9447,0.0,0.0,7.88,0.2066,3.9447,0.0,0.0431,0.0,0.037,0.5128,0.0,0.593,0.0041,0.0789,0.0,0.083
Autumn,6,0.2753,0.2753,0.0,3.7596,0.0,0.0,7.68,0.2753,3.7596,0.0,0.0431,0.0,0.0494,0.4887,0.0,0.5812,0.0055,0.0752,0.0,0.0807
Autumn,7,0.2515,0.2515,0.0,3.3542,0.0,0.0,7.26,0.2515,3.3542,0.0,0.0431,0.0,0.0451,0.436,0.0,0.5243,0.005,0.0671,0.0,0.0721
Autumn,8,0.2345,0.2345,0.0,3.1279,0.6189,0.3844,13.41,0.0,3.1279,0.0,0.0431,0.0062,0.0,0.4066,0.0,0.4559,0.0,0.0626,0.0,0.0626
Autumn,9,0.3736,0.3736,0.0,2.9264,1.3688,0.9952,22.99,0.0,2.9264,0.0,0.0431,0.0137,0.0,0.3804,0.0,0.4372,0.0,0.0585,0.0,0.0585
Autumn,10,0.3333,0.3333,0.0,2.7818,1.9226,1.5893,30.42,0.0,2.7818,0.0,0.0431,0.0192,0.0,0.3616,0.0,0.424,0.0,0.0556,0.0,0.0556
Autumn,11,0.374,0.374,0.0,2.7243,2.2709,1.8969,35.43,0.0,2.7243,0.0,0.0431,0.0227,0.0,0.3542,0.0,0.42,0.0,0.0545,0.0,0.0545
Autumn,12,0.3699,0.3699,0.0,2.6425,2.3345,1.9646,37.06,0.0,2.6425,0.0,0.0431,0.0233,0.0,0.3435,0.0,0.41,0.0,0.0529,0.0,0.0529
Autumn,13,0.3551,0.3551,0.0,2.6755,2.216,1.8609,36.28,0.0,2.6755,0.0,0.0431,0.0222,0.0,0.3478,0.0,0.4131,0.0,0.0535,0.0,0.0535
Autumn,14,0.3397,0.3397,0.0,2.7444,1.9329,1.5933,33.34,0.0,2.7444,0.0,0.0431,0.0193,0.0,0.3568,0.0,0.4192,0.0,0.0549,0.0,0.0549
Autumn,15,0.2854,0.2854,0.0,2.8706,1.4895,1.2041,28.32,0.0,2.8706,0.0,0.0431,0.0149,0.0,0.3732,0.0,0.4312,0.0,0.0574,0.0,0.0574
Autumn,16,0.2852,0.2852,0.0,3.0564,1.0433,0.7581,23.1,0.0,3.0564,0.0,0.0431,0.0104,0.0,0.3973,0.0,0.4509,0.0,0.0611,0.0,0.0611
Autumn,17,0.2819,0.2819,0.0,3.1474,0.3785,0.0966,15.37,0.0,3.1474,0.0,0.0431,0.0038,0.0,0.4092,0.0,0.4561,0.0,0.0629,0.0,0.0629
Autumn,18,0.4342,0.4342,0.0,3.2113,0.0,0.0,10.21,0.4342,3.2113,0.0,0.0431,0.0,0.0778,0.4175,0.0,0.5384,0.0087,0.0642,0.0,0.0729
Autumn,19,0.6022,0.6022,0.0,3.1153,0.0,0.0,9.11,0.6022,3.1153,0.0,0.0431,0.0,0.108,0.405,0.0,0.5561,0.012,0.0623,0.0,0.0743
Autumn,20,0.443,0.443,0.0,2.7511,0.0,0.0,8.29,0.443,2.7511,0.0,0.0431,0.0,0.0794,0.3576,0.0,0.4802,0.0089,0.055,0.0,0.0639
Autumn,21,0.3731,0.3731,0.0,1.9637,0.0,0.0,7.68,0.3731,1.9637,0.0,0.0431,0.0,0.0669,0.2553,0.0,0.3653,0.0075,0.0393,0.0,0.0467
Autumn,22,0.3159,0.3159,0.0,1.4133,0.0,0.0,7.16,0.3159,1.4133,0.0,0.0431,0.0,0.0566,0.1837,0.0,0.2835,0.0063,0.0283,0.0,0.0346
Autumn,23,0.2435,0.2435,0.0,1.3014,0.0,0.0,6.73,0.2435,1.3014,0.0,0.0431,0.0,0.0437,0.1692,0.0,0.256,0.0049,0.026,0.0,0.0309
Autumn,24,0.2537,0.2537,0.0,1.3831,0.0,0.0,6.43,0.2537,1.3831,0.0,0.0431,0.0,0.0455,0.1798,0.0,0.2684,0.0051,0.0277,0.0,0.0327
